symbol,date,open,high,low,close,adj_close,volume
A1AP34,2021-01-04,51.1,52.03,50.62,51.9,47.0489,6425
A1AP34,2021-01-05,52.06,52.2,51.66,51.66,46.8313,15
A1AP34,2021-01-06,53.45,55.05,53.45,55.05,49.9044,6937
A1AP34,2021-01-07,55.3,56.96,55.05,56.94,51.6178,106
A1AP34,2021-01-08,56.75,57.65,56.75,56.95,51.6269,15
A1AP34,2021-01-11,55.2,59.63,55.2,58.91,53.4037,41
A1AP34,2021-01-12,58.91,60.0,58.56,58.75,53.2586,5725
A1AP34,2021-01-13,56.7,58.05,56.7,57.16,51.8172,3218
A1AP34,2021-01-14,55.75,56.14,54.75,54.88,49.7503,4270
A1AP34,2021-01-15,55.05,55.35,54.6,54.8,49.6778,1031
A1AP34,2021-01-18,50.02,50.61,50.01,50.61,45.8795,27
A1AP34,2021-01-19,50.58,55.65,50.58,55.6,50.403,19798
A1AP34,2021-01-20,55.0,55.0,54.4,54.45,49.3605,25
A1AP34,2021-01-21,53.4,56.2,53.4,56.0,50.7656,48
A1AP34,2021-01-22,56.0,56.1,55.05,55.8,50.5843,34
A1AP34,2021-01-26,55.81,55.81,52.4,52.45,47.5475,103
A1AP34,2021-01-27,51.85,51.85,49.55,50.13,45.4443,6198
A1AP34,2021-01-28,50.1,52.5,50.1,52.1,47.2302,11
A1AP34,2021-01-29,51.8,52.45,51.4,51.4,46.5956,14
A1AP34,2021-02-01,50.1,51.35,50.1,51.15,46.369,10
A1AP34,2021-02-02,51.05,52.2,51.0,51.8,46.9582,14
A1AP34,2021-02-03,51.79,52.0,51.25,52.0,47.1395,6184
A1AP34,2021-02-04,52.0,53.7,52.0,53.7,48.6806,65
A1AP34,2021-02-05,53.0,53.05,52.6,52.75,47.8194,90
A1AP34,2021-02-08,53.52,53.52,52.57,52.57,47.6563,700
A1AP34,2021-02-09,53.0,54.9,53.0,54.5,49.4059,19
A1AP34,2021-02-10,55.95,55.95,53.4,54.85,49.7231,363
A1AP34,2021-02-11,53.75,53.75,52.25,52.25,47.3662,38
A1AP34,2021-02-12,53.75,53.75,51.45,51.45,46.6409,28275
A1AP34,2021-02-17,54.4,55.1,54.4,54.95,49.8138,44
A1AP34,2021-02-18,54.9,56.7,54.3,56.7,51.4002,1063
A1AP34,2021-02-19,56.37,57.0,55.55,55.95,50.7203,209
A1AP34,2021-02-22,55.02,57.5,55.02,56.85,51.5362,26
A1AP34,2021-02-23,56.0,56.2,56.0,56.2,50.947,12
A1AP34,2021-02-24,56.2,57.5,55.55,56.0,50.7656,8329
A1AP34,2021-02-25,56.0,56.8,55.5,55.65,50.4484,21
