symbol,date,open,high,low,close,adj_close,volume
A,2021-01-04,114.9497,116.0611,113.1811,114.6597,114.6597,2030700
A,2021-01-05,114.5051,116.2834,114.1089,115.5972,115.5972,2344000
A,2021-01-06,114.7081,119.724,114.2442,118.7672,118.7672,2428500
A,2021-01-07,120.1589,123.2032,119.9462,121.9275,121.9275,1775900
A,2021-01-08,122.2464,123.3578,121.6279,122.7973,122.7973,1577200
A,2021-01-11,122.2077,125.0008,121.9951,123.8507,123.8507,1746800
A,2021-01-12,124.0246,124.0826,121.9661,122.7103,122.7103,1826400
A,2021-01-13,123.1838,123.7541,122.488,122.72,122.72,1530400
A,2021-01-14,123.0002,123.8894,121.5989,121.8018,121.8018,924900
A,2021-01-15,121.7148,122.8553,120.5551,121.9758,121.9758,2115400
A,2021-01-19,123.1065,123.5125,122.0531,123.0775,123.0775,1677200
A,2021-01-20,123.4255,124.5949,123.0872,123.812,123.812,1843000
A,2021-01-21,123.4834,124.4595,122.1787,122.7393,122.7393,1612100
A,2021-01-22,122.8166,123.5125,122.0628,122.0918,122.0918,1438700
A,2021-01-25,122.4397,123.2032,120.2555,121.2703,121.2703,1365400
A,2021-01-26,121.2896,121.7245,119.7143,119.7626,119.7626,1476600
A,2021-01-27,117.9843,118.8735,114.1475,114.8144,114.8144,1923500
A,2021-01-28,115.0077,118.5545,114.7951,117.4818,117.4818,1677900
A,2021-01-29,117.1435,117.6074,115.2783,116.1384,116.1384,1822000
A,2021-02-01,116.641,117.994,116.1481,116.7763,116.7763,1292700
A,2021-02-02,118.3902,121.6278,118.3129,119.0571,119.0571,1489200
A,2021-02-03,119.3567,120.4198,117.8104,118.052,118.052,1448400
A,2021-02-04,118.3999,120.1685,117.5205,119.9076,119.9076,1251200
A,2021-02-05,120.3328,121.7342,118.9798,119.0474,119.0474,1919700
A,2021-02-08,119.7626,121.5216,118.4579,119.2697,119.2697,2065300
A,2021-02-09,119.2697,119.347,118.2549,119.1054,119.1054,1988300
A,2021-02-10,120.4101,121.5215,119.7239,120.8837,120.8837,1112600
A,2021-02-11,121.4829,122.9906,120.9127,122.7006,122.7006,1122200
A,2021-02-12,122.6716,124.2856,122.0821,123.6864,123.6864,1278000
A,2021-02-16,124.9718,126.6824,123.5608,123.6574,123.6574,2132500
A,2021-02-17,128.3447,132.3845,125.2424,125.7546,125.7546,4214700
A,2021-02-18,124.6722,126.0156,123.2998,123.3965,123.3965,1941400
A,2021-02-19,124.102,124.5755,122.2464,122.6136,122.6136,1263900
A,2021-02-22,121.7245,121.9275,118.9605,119.3567,119.3567,1340100
A,2021-02-23,119.3664,119.3664,116.3704,118.3129,118.3129,2125400
A,2021-02-24,118.1583,121.2026,117.9167,120.8257,120.8257,1898400
A,2021-02-25,120.6228,121.048,117.8394,118.0037,118.0037,1430900
A,2021-02-26,118.8058,119.3664,116.6023,117.9747,117.9747,1909700
A,2021-03-01,118.9218,120.9513,118.7575,120.3038,120.3038,1404400
A,2021-03-02,120.3908,121.6665,119.0378,119.492,119.492,1267300
A,2021-03-03,118.6608,118.6608,115.2493,115.2976,115.2976,1612400
A,2021-03-04,114.7081,114.8434,109.5375,111.1322,111.1322,2725000
A,2021-03-05,111.9924,112.292,108.6968,112.2436,112.2436,2441500
A,2021-03-08,112.4079,114.969,111.4028,112.1856,112.1856,2766600
A,2021-03-09,113.9156,117.3175,113.5967,115.8195,115.8195,2291100
A,2021-03-10,116.5443,118.11,115.6745,115.9645,115.9645,1934600
A,2021-03-11,117.3465,118.7961,116.8439,117.7427,117.7427,1818700
A,2021-03-12,116.525,117.936,115.2783,117.3658,117.3658,1368700
A,2021-03-15,116.8632,120.1105,116.3027,119.8786,119.8786,1230000
