,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2013-05-13,84.31,87.0,84.3,84.73,10.6739,483500,0.0,1.0,ABEV3
2013-05-14,85.07,86.39,84.51,86.1,10.8465,211500,0.0,1.0,ABEV3
2013-05-15,86.01,86.81,85.0,86.5,10.8969,227800,0.0,1.0,ABEV3
2013-05-16,86.1,86.85,85.45,85.62,10.786,262400,0.0,1.0,ABEV3
2013-05-17,86.08,86.53,84.95,86.53,10.9006,179400,0.0,1.0,ABEV3
2013-05-20,86.02,86.77,85.29,85.9,10.8213,99100,0.0,1.0,ABEV3
2013-05-21,86.36,86.5,84.5,85.49,10.7696,150500,0.0,1.0,ABEV3
2013-05-22,85.19,85.35,83.29,84.79,10.6814,233600,0.0,1.0,ABEV3
2013-05-23,84.03,84.76,83.06,84.33,10.6235,308700,0.0,1.0,ABEV3
2013-05-24,84.48,84.89,83.39,83.85,10.563,142600,0.0,1.0,ABEV3
2013-05-27,83.84,84.16,83.5,83.77,10.5529,99500,0.0,1.0,ABEV3
2013-05-28,83.96,85.57,83.85,84.9,10.6953,178800,0.0,1.0,ABEV3
2013-05-29,84.7,85.05,82.93,83.13,10.4723,200600,0.0,1.0,ABEV3
2013-05-31,82.98,83.27,79.77,82.05,10.3363,745700,0.0,1.0,ABEV3
2013-06-03,82.0,82.6,80.15,80.18,10.1007,233400,0.0,1.0,ABEV3
2013-06-04,80.73,80.73,78.63,79.55,10.0213,482000,0.0,1.0,ABEV3
2013-06-05,79.6,79.6,77.97,78.56,9.8966,162600,0.0,1.0,ABEV3
2013-06-06,78.56,79.65,78.05,79.02,9.9546,200700,0.0,1.0,ABEV3
2013-06-07,79.61,79.92,78.0,78.0,9.8261,146900,0.0,1.0,ABEV3
2013-06-10,78.0,79.56,77.58,78.08,9.8361,139000,0.0,1.0,ABEV3
2013-06-11,77.5,77.5,76.0,76.15,9.593,249700,0.0,1.0,ABEV3
2013-06-12,77.23,77.32,76.11,76.21,9.6006,185800,0.0,1.0,ABEV3
2013-06-13,76.0,76.78,75.69,75.69,9.5351,217000,0.0,1.0,ABEV3
2013-06-14,76.2,78.72,76.2,76.7,9.6623,233500,0.0,1.0,ABEV3
2013-06-17,77.2,79.74,77.2,78.05,9.8324,271800,0.0,1.0,ABEV3
2013-06-18,77.78,78.51,76.63,77.65,9.782,115600,0.0,1.0,ABEV3
2013-06-19,77.65,78.15,75.6,77.2,9.7253,234900,0.0,1.0,ABEV3
2013-06-20,76.05,76.75,75.06,76.25,9.6056,199800,0.0,1.0,ABEV3
2013-06-21,75.76,78.49,75.76,77.81,9.8021,543100,0.0,1.0,ABEV3
2013-06-24,76.68,77.78,75.68,76.01,9.5754,235200,0.0,1.0,ABEV3
2013-06-25,76.57,77.53,74.65,76.19,9.5981,236400,0.0,1.0,ABEV3
2013-06-26,76.51,78.99,76.51,78.2,9.8513,248400,0.0,1.0,ABEV3
2013-06-27,77.96,80.69,77.96,79.3,9.9898,129800,0.0,1.0,ABEV3
2013-06-28,79.13,83.0,78.2,82.58,10.403,365300,0.0,1.0,ABEV3
2013-07-01,81.86,83.82,81.86,82.77,10.427,144800,0.0,1.0,ABEV3
2013-07-02,82.38,83.3,80.96,81.2,10.2292,236800,0.0,1.0,ABEV3
2013-07-03,81.09,82.19,80.35,80.35,10.1221,156600,0.0,1.0,ABEV3
2013-07-04,80.86,81.7,80.15,80.2,10.1032,59200,0.0,1.0,ABEV3
2013-07-05,79.82,81.48,79.81,81.48,10.2645,152900,0.0,1.0,ABEV3
2013-07-08,81.65,82.8,81.04,81.11,10.2179,219800,0.0,1.0,ABEV3
2013-07-10,81.21,83.35,81.21,81.8,10.3048,182300,0.0,1.0,ABEV3
2013-07-11,82.07,83.0,81.68,81.75,10.2985,121200,0.0,1.0,ABEV3
2013-07-12,81.94,82.47,81.43,81.97,10.3262,115700,0.0,1.0,ABEV3
2013-07-15,81.92,83.01,81.92,83.01,10.4572,141300,0.0,1.0,ABEV3
2013-07-16,83.11,83.29,81.11,81.81,10.306,144100,0.0,1.0,ABEV3
2013-07-17,81.82,82.48,80.94,81.12,10.2191,203500,0.0,1.0,ABEV3
2013-07-18,81.0,81.49,79.7,80.2,10.1032,248200,0.0,1.0,ABEV3
2013-07-19,80.14,80.37,79.43,80.08,10.0881,159700,0.0,1.0,ABEV3
2013-07-22,80.2,81.7,80.08,81.2,10.2292,197600,0.0,1.0,ABEV3
2013-07-23,81.71,82.39,81.12,81.79,10.3035,116500,0.0,1.0,ABEV3
2013-07-24,81.7,82.31,80.51,81.0,10.204,162300,0.0,1.0,ABEV3
2013-07-25,80.89,81.42,80.61,81.04,10.209,140100,0.0,1.0,ABEV3
2013-07-26,81.05,81.97,80.42,81.4,10.2544,134300,0.0,1.0,ABEV3
2013-07-29,81.11,82.02,80.53,81.13,10.2204,120900,0.0,1.0,ABEV3
2013-07-30,82.0,82.07,80.48,82.07,10.3388,211900,0.0,1.0,ABEV3
2013-07-31,82.09,86.13,82.09,85.99,10.8326,515200,0.0,1.0,ABEV3
2013-08-01,85.79,88.5,85.79,87.9,11.0732,1116800,0.0,1.0,ABEV3
2013-08-02,87.81,88.48,86.5,87.01,10.9611,244100,0.0,1.0,ABEV3
2013-08-05,87.01,87.01,85.5,86.4,10.8843,191000,0.0,1.0,ABEV3
2013-08-06,86.01,86.65,85.0,85.6,10.7835,532700,0.0,1.0,ABEV3
2013-08-07,85.01,85.71,84.91,85.16,10.7281,151700,0.0,1.0,ABEV3
2013-08-08,85.71,86.02,84.74,86.0,10.8339,353900,0.0,1.0,ABEV3
2013-08-09,85.46,86.12,84.82,85.18,10.7306,174000,0.0,1.0,ABEV3
2013-08-12,85.17,85.77,83.87,84.85,10.689,250200,0.0,1.0,ABEV3
2013-08-13,84.64,86.53,84.21,86.19,10.8578,133000,0.0,1.0,ABEV3
2013-08-14,86.04,86.73,85.66,85.7,10.7961,181500,0.0,1.0,ABEV3
2013-08-15,85.02,87.17,84.41,86.65,10.9158,247600,0.0,1.0,ABEV3
2013-08-16,86.07,87.55,86.03,87.2,10.985,169200,0.0,1.0,ABEV3
2013-08-19,87.2,87.91,86.27,86.85,10.9409,170700,0.0,1.0,ABEV3
2013-08-20,86.15,86.15,82.9,83.0,10.4559,307000,0.0,1.0,ABEV3
2013-08-21,83.0,84.0,81.59,82.35,10.3741,202800,0.0,1.0,ABEV3
2013-08-22,82.5,83.78,82.12,83.0,10.4559,144600,0.0,1.0,ABEV3
2013-08-23,83.03,83.59,81.34,82.27,10.364,117800,0.0,1.0,ABEV3
2013-08-26,82.34,82.35,80.81,81.18,10.2267,236300,0.0,1.0,ABEV3
2013-08-27,80.56,81.0,79.82,81.0,10.204,616800,0.0,1.0,ABEV3
2013-08-28,80.73,81.47,79.85,80.35,10.1221,107500,0.0,1.0,ABEV3
2013-08-29,80.27,83.49,80.11,82.75,10.4245,245000,0.0,1.0,ABEV3
2013-08-30,82.81,83.68,80.77,83.68,10.5416,1313100,0.0,1.0,ABEV3
2013-09-02,84.08,84.42,81.99,83.5,10.5189,208600,0.0,1.0,ABEV3
2013-09-03,83.99,84.26,81.1,81.2,10.2292,246700,0.0,1.0,ABEV3
2013-09-04,81.11,81.34,80.08,81.2,10.2292,114400,0.0,1.0,ABEV3
2013-09-05,80.91,82.0,80.18,82.0,10.33,205200,0.0,1.0,ABEV3
2013-09-06,82.01,82.7,80.9,81.84,10.3098,317200,0.0,1.0,ABEV3
2013-09-09,81.54,82.74,81.0,82.74,10.4232,273000,0.0,1.0,ABEV3
2013-09-10,82.74,84.25,82.39,84.25,10.6134,366900,0.0,1.0,ABEV3
2013-09-11,84.23,85.09,83.0,85.09,10.7192,472400,0.0,1.0,ABEV3
2013-09-12,85.02,85.13,83.87,84.45,10.6386,553200,0.0,1.0,ABEV3
2013-09-13,84.53,85.0,84.12,84.49,10.6436,329500,0.0,1.0,ABEV3
2013-09-16,84.59,84.83,83.75,84.83,10.7693,216300,0.13,1.0,ABEV3
2013-09-17,84.35,85.23,84.35,84.98,10.7884,209500,0.0,1.0,ABEV3
2013-09-18,84.98,85.88,83.74,85.46,10.8493,223200,0.0,1.0,ABEV3
2013-09-19,85.25,87.12,85.2,87.12,11.06,189700,0.0,1.0,ABEV3
2013-09-20,86.79,87.96,85.71,86.71,11.008,295900,0.0,1.0,ABEV3
2013-09-23,86.7,86.94,85.84,86.64,10.9991,193500,0.0,1.0,ABEV3
2013-09-24,86.69,87.0,85.42,86.22,10.9458,177600,0.0,1.0,ABEV3
2013-09-25,86.29,86.48,85.56,86.1,10.9306,409100,0.0,1.0,ABEV3
2013-09-26,86.86,87.9,86.82,87.76,11.1413,324500,0.0,1.0,ABEV3
2013-09-27,87.49,87.92,87.0,87.55,11.1146,163800,0.0,1.0,ABEV3
2013-09-30,87.41,87.6,84.68,84.68,10.7503,446200,0.0,1.0,ABEV3
2013-10-01,85.61,85.64,83.67,85.32,10.8315,153800,0.0,1.0,ABEV3
2013-10-02,85.33,85.45,84.26,84.82,10.7681,162200,0.0,1.0,ABEV3
2013-10-03,85.07,85.1,83.52,84.62,10.7427,151300,0.0,1.0,ABEV3
2013-10-04,84.71,85.69,83.97,85.49,10.8531,81400,0.0,1.0,ABEV3
2013-10-07,85.49,85.49,84.29,84.8,10.7655,147100,0.0,1.0,ABEV3
2013-10-08,84.89,84.9,83.0,83.6,10.6132,138500,0.0,1.0,ABEV3
2013-10-09,83.64,84.02,83.02,83.46,10.5954,223600,0.0,1.0,ABEV3
2013-10-10,83.89,84.46,83.2,84.35,10.7084,125300,0.0,1.0,ABEV3
2013-10-11,84.0,84.7,83.57,84.7,10.7528,81900,0.0,1.0,ABEV3
2013-10-14,84.25,85.89,83.98,85.29,10.8277,188900,0.0,1.0,ABEV3
2013-10-15,85.4,86.4,84.98,85.44,10.8468,320300,0.0,1.0,ABEV3
2013-10-16,85.59,85.67,84.01,84.7,10.7528,120600,0.0,1.0,ABEV3
2013-10-17,84.69,85.99,84.51,85.99,10.9166,119600,0.0,1.0,ABEV3
2013-10-18,85.59,86.43,85.4,86.4,10.9686,434400,0.0,1.0,ABEV3
2013-10-21,86.19,86.62,85.23,86.27,10.9521,199100,0.0,1.0,ABEV3
2013-10-22,86.36,87.43,85.88,86.8,11.0194,154400,0.0,1.0,ABEV3
2013-10-23,86.6,86.6,84.5,84.5,10.7274,205000,0.0,1.0,ABEV3
2013-10-24,84.78,85.25,84.08,85.0,10.7909,175200,0.0,1.0,ABEV3
2013-10-25,84.59,85.85,83.5,85.51,10.8557,315400,0.0,1.0,ABEV3
2013-10-28,85.61,85.64,84.3,85.63,10.8709,467900,0.0,1.0,ABEV3
2013-10-29,85.59,85.59,84.13,84.9,10.7782,233200,0.0,1.0,ABEV3
2013-10-30,84.49,85.1,83.71,84.13,10.6805,239700,0.0,1.0,ABEV3
2013-10-31,83.99,84.08,82.21,83.45,10.5941,800100,0.0,1.0,ABEV3
2013-11-01,83.49,84.4,83.08,84.4,10.7147,272400,0.0,1.0,ABEV3
2013-11-04,84.21,84.21,82.72,83.5,10.6005,233300,0.0,1.0,ABEV3
2013-11-05,83.71,83.71,81.75,82.4,10.4608,179500,0.0,1.0,ABEV3
2013-11-06,82.54,84.48,82.54,83.8,10.6386,422500,0.0,1.0,ABEV3
2013-11-07,83.82,85.11,83.65,84.96,10.7858,273700,0.0,1.0,ABEV3
2013-11-08,84.82,87.85,84.82,87.0,11.0448,7163200,0.0,1.0,ABEV3
2013-12-02,17.4,17.73,17.37,17.51,11.1146,9394700,0.0,1.0,ABEV3
2013-12-03,17.43,17.49,16.85,17.16,10.8925,12956400,0.0,1.0,ABEV3
2013-12-04,17.25,17.36,16.6,16.6,10.537,23923700,0.0,1.0,ABEV3
2013-12-05,16.83,17.04,16.6,16.85,10.6957,10741700,0.0,1.0,ABEV3
2013-12-06,17.02,17.09,16.71,16.74,10.6259,9004800,0.0,1.0,ABEV3
2013-12-09,16.84,17.0,16.64,16.99,10.7846,12373800,0.0,1.0,ABEV3
2013-12-10,16.95,17.04,16.65,16.8,10.664,6007700,0.0,1.0,ABEV3
2013-12-11,16.8,17.01,16.71,16.87,10.7084,5106200,0.0,1.0,ABEV3
2013-12-12,16.85,16.93,16.53,16.6,10.537,6630100,0.0,1.0,ABEV3
2013-12-13,16.7,16.78,16.31,16.41,10.4164,5949400,0.0,1.0,ABEV3
2013-12-16,16.39,16.66,16.22,16.51,10.4799,7405500,0.0,1.0,ABEV3
2013-12-17,16.56,16.68,16.27,16.5,10.4735,6671500,0.0,1.0,ABEV3
