,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2011-02-03,19.56,19.99,19.5,19.69,7.7147,3482439,0.0,1.0,ALOS3
2011-02-04,19.71,19.8,19.5,19.69,7.7147,384455,0.0,1.0,ALOS3
2011-02-07,19.6,19.69,19.3,19.45,7.6207,268798,0.0,1.0,ALOS3
2011-02-08,19.45,19.82,19.45,19.8,7.7578,94620,0.0,1.0,ALOS3
2011-02-09,19.9,19.9,19.73,19.82,7.7656,148539,0.0,1.0,ALOS3
2011-02-10,19.82,20.19,19.82,20.1,7.8753,77192,0.0,1.0,ALOS3
2011-02-11,20.15,20.19,20.0,20.18,7.9067,389749,0.0,1.0,ALOS3
2011-02-14,20.01,20.4,19.9,20.4,7.9929,325888,0.0,1.0,ALOS3
2011-02-15,20.0,20.48,20.0,20.4,7.9929,51707,0.0,1.0,ALOS3
2011-02-16,20.12,20.6,20.12,20.6,8.0713,41389,0.0,1.0,ALOS3
2011-02-17,20.49,21.0,20.49,21.0,8.228,180377,0.0,1.0,ALOS3
2011-02-18,20.61,21.54,20.61,21.4,8.3847,91539,0.0,1.0,ALOS3
2011-02-21,21.24,21.69,21.01,21.25,8.3259,12552,0.0,1.0,ALOS3
2011-02-22,21.48,21.65,21.0,21.65,8.4827,55783,0.0,1.0,ALOS3
2011-02-23,21.23,21.98,21.23,21.98,8.6119,33932,0.0,1.0,ALOS3
2011-02-24,21.95,21.97,21.4,21.95,8.6002,56968,0.0,1.0,ALOS3
2011-02-25,21.95,22.5,21.76,22.0,8.6198,148477,0.0,1.0,ALOS3
2011-02-28,21.38,22.85,21.38,22.6,8.8549,295680,0.0,1.0,ALOS3
2011-03-01,22.8,22.8,22.35,22.4,8.7765,43730,0.0,1.0,ALOS3
2011-03-02,22.24,22.99,22.24,22.95,8.992,428258,0.0,1.0,ALOS3
2011-03-03,22.95,23.5,22.69,23.45,9.1879,202413,0.0,1.0,ALOS3
2011-03-04,23.47,23.74,22.94,23.49,9.2036,44141,0.0,1.0,ALOS3
2011-03-09,23.86,23.86,23.45,23.67,9.2741,4298,0.0,1.0,ALOS3
2011-03-10,23.8,23.8,23.26,23.4,9.1683,10448,0.0,1.0,ALOS3
2011-03-11,23.86,23.86,23.35,23.35,9.1487,45600,0.0,1.0,ALOS3
2011-03-14,23.75,23.75,22.76,23.0,9.0116,132762,0.0,1.0,ALOS3
2011-03-15,22.99,22.99,22.3,22.9,8.9724,49214,0.0,1.0,ALOS3
2011-03-16,22.69,23.0,22.5,23.0,9.0116,46800,0.0,1.0,ALOS3
2011-03-17,22.99,23.0,22.51,23.0,9.0116,9200,0.0,1.0,ALOS3
2011-03-18,23.0,23.0,22.51,23.0,9.0116,35277,0.0,1.0,ALOS3
2011-03-21,23.02,23.92,22.9,23.8,9.325,169705,0.0,1.0,ALOS3
2011-03-22,23.5,23.7,23.2,23.7,9.2859,23424,0.0,1.0,ALOS3
2011-03-23,23.12,23.5,22.65,23.3,9.1291,163222,0.0,1.0,ALOS3
2011-03-24,23.3,23.3,22.0,22.55,8.8353,173804,0.0,1.0,ALOS3
2011-03-25,23.0,23.38,22.12,22.6,8.8549,71920,0.0,1.0,ALOS3
2011-03-28,22.33,22.63,22.33,22.62,8.8627,29322,0.0,1.0,ALOS3
2011-03-29,23.23,23.39,22.3,22.3,8.7373,60818,0.0,1.0,ALOS3
2011-03-30,22.89,22.99,22.3,22.8,8.9332,453008,0.0,1.0,ALOS3
2011-03-31,23.25,23.25,22.56,23.2,9.09,251314,0.0,1.0,ALOS3
2011-04-01,22.72,22.89,22.5,22.6,8.8549,132566,0.0,1.0,ALOS3
2011-04-04,23.19,23.19,22.7,22.99,9.0077,197214,0.0,1.0,ALOS3
2011-04-05,22.9,23.0,22.76,23.0,9.0116,24850,0.0,1.0,ALOS3
2011-04-06,22.72,22.99,22.71,22.99,9.0077,10642,0.0,1.0,ALOS3
2011-04-07,22.99,23.1,22.66,23.0,9.0116,26413,0.0,1.0,ALOS3
2011-04-08,23.09,23.1,22.76,22.94,8.9881,25700,0.0,1.0,ALOS3
2011-04-11,22.99,23.03,22.45,22.8,8.9332,27157,0.0,1.0,ALOS3
2011-04-12,23.05,23.06,22.6,22.75,8.9136,20375,0.0,1.0,ALOS3
2011-04-13,22.99,23.1,22.65,22.9,8.9724,193938,0.0,1.0,ALOS3
2011-04-14,22.89,23.2,22.0,22.85,8.9528,139261,0.0,1.0,ALOS3
2011-04-15,23.04,23.05,22.89,22.99,9.0077,24006,0.0,1.0,ALOS3
2011-04-18,22.55,23.08,22.55,23.0,9.0116,21271,0.0,1.0,ALOS3
2011-04-19,23.1,23.29,22.55,22.87,8.9607,82448,0.0,1.0,ALOS3
2011-04-20,23.28,23.4,22.69,23.4,9.1683,405905,0.0,1.0,ALOS3
