,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,27.9,28.66,27.86,28.44,4.9569,9095905,0.0,1.0,BBAS3
2010-07-14,28.4,28.54,27.78,28.29,4.9308,5040183,0.0,1.0,BBAS3
2010-07-15,28.2,28.73,27.91,28.73,5.0075,4571271,0.0,1.0,BBAS3
2010-07-16,28.6,28.69,27.54,27.91,4.8645,4107575,0.0,1.0,BBAS3
2010-07-19,28.01,28.3,27.78,28.2,4.9151,4034122,0.0,1.0,BBAS3
2010-07-20,27.93,28.36,27.75,28.1,4.8976,4861489,0.0,1.0,BBAS3
2010-07-21,28.15,28.41,28.02,28.26,4.9255,4274607,0.0,1.0,BBAS3
2010-07-22,28.5,29.3,28.4,29.08,5.0685,9336207,0.0,1.0,BBAS3
2010-07-23,29.0,29.48,28.85,29.48,5.1382,3410709,0.0,1.0,BBAS3
2010-07-26,29.15,29.62,28.77,29.05,5.0632,3512185,0.0,1.0,BBAS3
2010-07-27,29.29,29.35,28.47,28.7,5.0022,4367243,0.0,1.0,BBAS3
2010-07-28,28.83,29.9,28.44,29.9,5.2114,6204765,0.0,1.0,BBAS3
2010-07-29,29.84,30.2,29.56,29.9,5.2114,4050737,0.0,1.0,BBAS3
2010-07-30,29.7,30.72,29.41,30.54,5.3229,4360693,0.0,1.0,BBAS3
2010-08-02,30.5,30.97,30.35,30.46,5.309,4159195,0.0,1.0,BBAS3
2010-08-03,30.2,30.43,29.6,29.6,5.1591,3816296,0.0,1.0,BBAS3
2010-08-04,29.71,29.84,29.2,29.3,5.1068,2842396,0.0,1.0,BBAS3
2010-08-05,29.16,30.0,29.03,30.0,5.2288,3080478,0.0,1.0,BBAS3
2010-08-06,29.8,30.34,29.66,30.34,5.2881,2465192,0.0,1.0,BBAS3
2010-08-09,30.25,31.1,30.25,30.7,5.3508,5855133,0.0,1.0,BBAS3
2010-08-10,30.4,30.66,30.17,30.31,5.2828,4508493,0.0,1.0,BBAS3
2010-08-11,29.91,30.08,29.5,29.7,5.1765,4302511,0.0,1.0,BBAS3
2010-08-12,29.5,30.35,29.25,30.35,5.2898,3919097,0.0,1.0,BBAS3
2010-08-13,30.14,30.69,30.1,30.44,5.3055,4052893,0.0,1.0,BBAS3
2010-08-16,30.68,31.0,30.08,30.3,5.2811,3597553,0.0,1.0,BBAS3
2010-08-17,30.42,30.42,29.94,30.15,5.255,4713533,0.0,1.0,BBAS3
2010-08-18,30.12,30.13,29.75,29.92,5.2863,3932865,0.2036,1.0,BBAS3
2010-08-19,29.5,29.95,29.12,29.2,5.159,3356415,0.0,1.0,BBAS3
2010-08-20,29.02,29.7,29.02,29.63,5.235,3420445,0.0,1.0,BBAS3
2010-08-23,29.61,29.69,29.22,29.4,5.1944,2256712,0.0,1.0,BBAS3
2010-08-24,29.06,29.14,28.56,28.99,5.1219,3566109,0.0,1.0,BBAS3
2010-08-25,28.75,29.05,28.59,28.99,5.1219,3098852,0.0,1.0,BBAS3
2010-08-26,29.05,29.07,27.99,28.2,4.9824,4388629,0.0,1.0,BBAS3
2010-08-27,28.15,28.25,27.8,28.25,4.9912,7463716,0.0,1.0,BBAS3
2010-08-30,28.4,28.4,27.42,27.69,4.8923,5940949,0.0,1.0,BBAS3
2010-08-31,27.69,28.48,27.62,28.48,5.0318,8533369,0.0,1.0,BBAS3
2010-09-01,28.6,29.45,28.5,29.45,5.2032,5022352,0.0,1.0,BBAS3
2010-09-02,29.4,29.41,28.81,28.95,5.1149,3235599,0.0,1.0,BBAS3
2010-09-03,29.23,29.27,28.36,28.49,5.0336,3319615,0.0,1.0,BBAS3
