,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2021-02-10,28.45,28.5,20.21,21.4,18.3241,29329400,0.0,1.0,BMOB3
2021-02-11,21.81,22.35,20.45,22.16,18.9749,5116000,0.0,1.0,BMOB3
2021-02-12,22.25,22.3,21.4,22.2,19.0091,1484400,0.0,1.0,BMOB3
2021-02-17,22.0,22.14,21.52,21.8,18.6666,943200,0.0,1.0,BMOB3
2021-02-18,21.6,21.9,20.85,21.65,18.5382,1312800,0.0,1.0,BMOB3
2021-02-19,21.64,22.97,21.21,22.4,19.1804,1339100,0.0,1.0,BMOB3
2021-02-22,21.85,23.15,21.21,22.9,19.6085,1349700,0.0,1.0,BMOB3
2021-02-23,23.2,25.18,23.03,24.8,21.2354,3599500,0.0,1.0,BMOB3
2021-02-24,25.06,27.56,25.06,26.61,22.7852,3475200,0.0,1.0,BMOB3
2021-02-25,27.3,28.5,25.1,25.19,21.5693,3789400,0.0,1.0,BMOB3
2021-02-26,25.8,27.2,24.76,25.81,22.1002,2462600,0.0,1.0,BMOB3
2021-03-01,27.0,27.1,26.0,26.0,22.2629,1040700,0.0,1.0,BMOB3
2021-03-02,25.75,26.25,24.89,25.28,21.6464,1205100,0.0,1.0,BMOB3
2021-03-03,25.5,26.47,24.51,26.15,22.3914,1719200,0.0,1.0,BMOB3
2021-03-04,26.4,27.04,25.09,25.21,21.5865,1903500,0.0,1.0,BMOB3
2021-03-05,25.33,25.64,23.6,23.85,20.4219,1438700,0.0,1.0,BMOB3
2021-03-08,23.86,23.86,21.95,21.95,18.795,1801400,0.0,1.0,BMOB3
2021-03-09,22.06,22.78,21.52,22.0,18.8379,2691400,0.0,1.0,BMOB3
2021-03-10,22.22,22.59,21.31,21.51,18.4183,4271100,0.0,1.0,BMOB3
2021-03-11,21.77,22.22,21.46,22.01,18.8464,1100300,0.0,1.0,BMOB3
2021-03-12,22.05,22.1,21.53,22.06,18.8892,2120900,0.0,1.0,BMOB3
2021-03-15,22.06,22.46,21.86,21.93,18.7779,430400,0.0,1.0,BMOB3
2021-03-16,21.8,22.68,21.8,21.9,18.7522,951900,0.0,1.0,BMOB3
2021-03-17,21.83,22.09,21.41,21.9,18.7522,686800,0.0,1.0,BMOB3
2021-03-18,21.8,21.8,20.07,20.22,17.3137,1160400,0.0,1.0,BMOB3
2021-03-19,20.44,20.65,19.57,19.77,16.9284,1137600,0.0,1.0,BMOB3
2021-03-22,19.95,20.0,19.5,19.75,16.9113,451300,0.0,1.0,BMOB3
2021-03-23,19.58,20.42,19.54,19.75,16.9113,925500,0.0,1.0,BMOB3
2021-03-24,20.3,21.2,19.72,19.8,16.9541,1136200,0.0,1.0,BMOB3
2021-03-25,19.7,20.44,19.5,19.86,17.0054,2237000,0.0,1.0,BMOB3
2021-03-26,19.88,20.07,19.55,19.91,17.0483,725300,0.0,1.0,BMOB3
2021-03-29,19.82,20.17,19.5,19.52,16.7143,813900,0.0,1.0,BMOB3
2021-03-30,19.4,19.66,18.04,18.8,16.0978,2399500,0.0,1.0,BMOB3
2021-03-31,18.9,19.5,18.47,18.51,15.8495,735900,0.0,1.0,BMOB3
2021-04-01,18.7,19.31,18.57,18.75,16.055,272900,0.0,1.0,BMOB3
2021-04-05,18.9,19.06,18.1,18.11,15.507,641300,0.0,1.0,BMOB3
2021-04-06,18.11,18.27,17.57,17.8,15.2415,735400,0.0,1.0,BMOB3
2021-04-07,17.8,17.91,17.46,17.53,15.0103,750200,0.0,1.0,BMOB3
2021-04-08,18.25,19.01,18.25,19.01,16.2776,2047300,0.0,1.0,BMOB3
2021-04-09,18.9,19.0,18.33,18.43,15.781,596500,0.0,1.0,BMOB3
2021-04-12,18.39,18.64,17.96,18.24,15.6183,580700,0.0,1.0,BMOB3
2021-04-13,18.36,18.49,17.76,17.76,15.2073,1048600,0.0,1.0,BMOB3
2021-04-14,17.81,18.08,17.6,18.0,15.4128,853500,0.0,1.0,BMOB3
2021-04-15,18.11,19.85,17.86,19.65,16.8256,1764300,0.0,1.0,BMOB3
2021-04-16,19.66,21.5,19.37,20.96,17.9473,2422900,0.0,1.0,BMOB3
2021-04-19,21.24,22.32,20.56,21.01,17.9901,1159000,0.0,1.0,BMOB3
2021-04-20,20.95,21.4,20.33,20.68,17.7076,450500,0.0,1.0,BMOB3
2021-04-22,20.94,21.37,20.11,20.14,17.2452,552800,0.0,1.0,BMOB3
2021-04-23,20.29,20.38,19.2,19.2,16.4403,834900,0.0,1.0,BMOB3
2021-04-26,19.25,19.5,18.41,18.58,15.9094,960900,0.0,1.0,BMOB3
2021-04-27,18.53,18.93,18.21,18.55,15.8837,700600,0.0,1.0,BMOB3
2021-04-28,18.57,19.17,18.3,18.64,15.9608,672200,0.0,1.0,BMOB3
2021-04-29,18.69,20.01,18.46,19.49,16.6886,1546600,0.0,1.0,BMOB3
2021-04-30,19.5,20.23,19.34,19.81,16.9626,1011000,0.0,1.0,BMOB3
2021-05-03,19.84,20.65,19.72,20.31,17.3908,655600,0.0,1.0,BMOB3
2021-05-04,20.32,20.84,19.88,20.5,17.5535,724700,0.0,1.0,BMOB3
2021-05-05,20.59,21.5,20.5,20.85,17.8531,434400,0.0,1.0,BMOB3
2021-05-06,20.94,21.48,20.58,20.82,17.8275,445900,0.0,1.0,BMOB3
2021-05-07,20.98,21.12,20.69,21.01,17.9901,527200,0.0,1.0,BMOB3
2021-05-10,21.03,21.5,20.28,20.36,17.4336,754500,0.0,1.0,BMOB3
2021-05-11,20.51,21.57,20.17,20.86,17.8617,1018900,0.0,1.0,BMOB3
2021-05-12,20.67,20.93,19.14,19.23,16.466,1679000,0.0,1.0,BMOB3
2021-05-13,19.53,19.6,18.24,18.84,16.1321,1210300,0.0,1.0,BMOB3
2021-05-14,19.19,20.2,19.1,19.35,16.5687,7012500,0.0,1.0,BMOB3
2021-05-17,19.35,20.1,19.35,19.48,16.6801,2335700,0.0,1.0,BMOB3
2021-05-18,19.68,20.41,19.55,20.07,17.1853,2215600,0.0,1.0,BMOB3
2021-05-19,19.85,20.74,19.65,20.39,17.4593,2251100,0.0,1.0,BMOB3
2021-05-20,20.39,21.95,20.39,21.78,18.6495,1128500,0.0,1.0,BMOB3
2021-05-21,21.78,22.8,21.63,22.58,19.3345,1219800,0.0,1.0,BMOB3
2021-05-24,22.81,23.54,22.34,23.26,19.9167,982500,0.0,1.0,BMOB3
2021-05-25,23.38,23.96,22.84,23.64,20.2421,588300,0.0,1.0,BMOB3
