,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2017-02-24,18.2,18.2,18.2,18.2,2.6522,5200,0.0,1.0,BPAC11
2017-03-01,18.2,18.2,17.95,17.95,2.6158,17200,0.0,1.0,BPAC11
2017-03-02,17.95,17.95,17.95,17.95,2.6158,0,0.0,1.0,BPAC11
2017-03-03,19.0,19.0,18.5,18.75,2.7324,7200,0.0,1.0,BPAC11
2017-03-06,18.8,19.5,18.5,19.2,2.798,22800,0.0,1.0,BPAC11
2017-03-07,18.1,19.0,18.1,18.38,2.6785,13600,0.0,1.0,BPAC11
2017-03-08,18.22,19.0,17.86,18.5,2.6959,16400,0.0,1.0,BPAC11
2017-03-09,17.9,19.0,17.63,18.99,2.7673,6800,0.0,1.0,BPAC11
2017-03-10,18.1,18.98,18.0,18.69,2.7236,26000,0.0,1.0,BPAC11
2017-03-13,18.4,18.4,18.4,18.4,2.6814,2400,0.0,1.0,BPAC11
2017-03-14,18.79,19.0,18.5,18.59,2.7091,3600,0.0,1.0,BPAC11
2017-03-15,18.5,18.68,18.5,18.68,2.7222,6400,0.0,1.0,BPAC11
2017-03-16,18.5,18.99,18.5,18.6,2.7105,3200,0.0,1.0,BPAC11
2017-03-17,18.5,18.9,18.5,18.6,2.7105,4400,0.0,1.0,BPAC11
2017-03-20,18.3,18.3,17.5,17.5,2.5502,8000,0.0,1.0,BPAC11
2017-03-21,17.5,17.5,17.01,17.01,2.4788,10000,0.0,1.0,BPAC11
2017-03-22,17.8,18.6,17.8,18.59,2.7091,623200,0.0,1.0,BPAC11
2017-03-23,18.18,18.57,17.9,17.9,2.6085,12000,0.0,1.0,BPAC11
2017-03-24,17.92,18.29,17.84,17.86,2.6027,46800,0.0,1.0,BPAC11
2017-03-27,17.9,17.9,17.8,17.8,2.5939,1600,0.0,1.0,BPAC11
2017-03-28,17.95,18.7,17.95,18.7,2.7251,61200,0.0,1.0,BPAC11
2017-03-29,18.78,19.0,18.63,18.79,2.7382,85200,0.0,1.0,BPAC11
2017-03-30,18.79,19.05,18.5,18.9,2.7542,349200,0.0,1.0,BPAC11
2017-03-31,18.78,19.07,18.78,19.0,2.7688,390400,0.0,1.0,BPAC11
2017-04-03,18.9,19.25,18.7,19.25,2.8052,105200,0.0,1.0,BPAC11
2017-04-04,18.9,19.89,18.9,19.89,2.8985,24000,0.0,1.0,BPAC11
2017-04-05,19.23,19.84,19.23,19.58,2.8533,18000,0.0,1.0,BPAC11
2017-04-06,19.06,19.16,18.5,18.5,2.6959,74000,0.0,1.0,BPAC11
2017-04-07,18.88,19.05,18.85,19.05,2.7761,9200,0.0,1.0,BPAC11
2017-04-10,18.71,19.25,18.69,18.99,2.7673,19600,0.0,1.0,BPAC11
2017-04-11,18.99,19.0,18.52,18.72,2.728,11600,0.0,1.0,BPAC11
2017-04-12,18.5,19.09,18.5,19.09,2.7819,27600,0.0,1.0,BPAC11
2017-04-13,18.61,18.61,18.1,18.41,2.6828,39544400,0.0,1.0,BPAC11
2017-04-17,17.41,18.6,17.41,18.4,2.6814,4008000,0.0,1.0,BPAC11
2017-04-18,18.4,18.4,17.9,18.0,2.6231,3004400,0.0,1.0,BPAC11
2017-04-19,17.61,18.4,17.0,17.49,2.5488,6914000,0.0,1.0,BPAC11
2017-04-20,17.08,17.95,17.08,17.5,2.5502,2558400,0.0,1.0,BPAC11
2017-04-24,18.01,18.01,17.8,17.8,2.5939,8001600,0.0,1.0,BPAC11
2017-04-25,17.8,17.8,17.8,17.8,2.5939,0,0.0,1.0,BPAC11
2017-04-26,18.0,18.0,18.0,18.0,2.6231,400,0.0,1.0,BPAC11
2017-04-27,18.0,18.0,18.0,18.0,2.6231,0,0.0,1.0,BPAC11
2017-04-28,18.0,18.0,18.0,18.0,2.6231,0,0.0,1.0,BPAC11
2017-05-02,18.0,18.3,17.7,18.3,2.6668,51600,0.0,1.0,BPAC11
2017-05-03,18.6,19.0,18.25,19.0,2.7688,6040400,0.0,1.0,BPAC11
2017-05-04,18.69,18.69,18.2,18.54,2.7018,6047600,0.0,1.0,BPAC11
2017-05-05,18.5,18.6,18.3,18.6,2.7105,11200,0.0,1.0,BPAC11
2017-05-08,18.0,18.6,18.0,18.6,2.7105,1600,0.0,1.0,BPAC11
2017-05-09,18.6,18.75,18.32,18.75,2.7324,21200,0.0,1.0,BPAC11
2017-05-10,18.75,19.35,18.75,18.75,2.7324,6203200,0.0,1.0,BPAC11
2017-05-11,18.75,18.99,18.75,18.99,2.7673,11200,0.0,1.0,BPAC11
2017-05-12,19.0,19.0,18.17,19.0,2.7688,1600,0.0,1.0,BPAC11
2017-05-15,19.0,19.0,19.0,19.0,2.7688,0,0.0,1.0,BPAC11
2017-05-16,18.8,18.8,18.8,18.8,2.7397,400,0.0,1.0,BPAC11
2017-05-17,18.6,18.8,18.4,18.8,2.7397,45200,0.0,1.0,BPAC11
2017-05-18,18.08,18.08,16.31,16.76,2.4424,527200,0.0,1.0,BPAC11
2017-05-19,17.56,17.56,17.2,17.35,2.5284,14400,0.0,1.0,BPAC11
2017-05-22,16.3,16.8,16.3,16.8,2.4482,30000,0.0,1.0,BPAC11
2017-05-23,16.8,17.1,16.33,16.33,2.3797,17200,0.0,1.0,BPAC11
2017-05-24,16.8,17.25,15.75,15.75,2.2952,6968400,0.0,1.0,BPAC11
2017-05-25,16.2,16.2,15.76,15.76,2.2967,8000,0.0,1.0,BPAC11
