,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,33.01,33.23,32.56,33.1,7.6078,1109713,0.0,1.0,BRAP4
2010-07-14,32.8,33.05,32.45,32.93,7.5687,1033949,0.0,1.0,BRAP4
2010-07-15,32.88,32.88,31.9,32.19,7.3986,722288,0.0,1.0,BRAP4
2010-07-16,31.99,32.25,31.8,31.8,7.309,960157,0.0,1.0,BRAP4
2010-07-19,32.06,32.4,31.8,32.4,7.4469,812280,0.0,1.0,BRAP4
2010-07-20,32.2,34.56,32.14,34.56,7.9434,1189437,0.0,1.0,BRAP4
2010-07-21,34.72,35.56,34.72,35.14,8.0767,1011675,0.0,1.0,BRAP4
2010-07-22,35.8,36.2,35.48,35.51,8.1617,902898,0.0,1.0,BRAP4
2010-07-23,35.89,36.4,35.18,36.4,8.3663,934505,0.0,1.0,BRAP4
2010-07-26,36.17,36.6,35.67,35.86,8.2422,1071619,0.0,1.0,BRAP4
2010-07-27,36.19,36.4,35.61,36.18,8.3157,491309,0.0,1.0,BRAP4
2010-07-28,35.85,36.98,35.82,36.98,8.4996,758132,0.0,1.0,BRAP4
2010-07-29,36.89,37.4,36.81,37.15,8.5387,767479,0.0,1.0,BRAP4
2010-07-30,37.15,37.35,36.6,36.92,8.4858,642141,0.0,1.0,BRAP4
2010-08-02,37.28,38.36,37.28,38.36,8.8168,552875,0.0,1.0,BRAP4
2010-08-03,38.2,39.0,38.0,39.0,8.9639,711683,0.0,1.0,BRAP4
2010-08-04,38.85,39.48,38.2,39.0,8.9639,813088,0.0,1.0,BRAP4
2010-08-05,38.5,39.39,38.5,39.28,9.0282,692624,0.0,1.0,BRAP4
2010-08-06,39.0,39.45,38.7,38.91,8.9432,492600,0.0,1.0,BRAP4
2010-08-09,39.28,39.5,39.03,39.4,9.0558,436375,0.0,1.0,BRAP4
2010-08-10,38.88,38.98,38.5,38.93,8.9478,651946,0.0,1.0,BRAP4
2010-08-11,38.18,38.8,37.34,37.34,8.5823,455763,0.0,1.0,BRAP4
2010-08-12,36.99,37.69,36.94,37.5,8.6191,1074242,0.0,1.0,BRAP4
2010-08-13,37.49,38.17,37.11,37.82,8.6926,502693,0.0,1.0,BRAP4
2010-08-16,38.01,38.75,37.83,38.74,8.9041,276171,0.0,1.0,BRAP4
2010-08-17,38.85,39.2,38.49,39.2,9.0098,498074,0.0,1.0,BRAP4
2010-08-18,39.19,39.54,38.66,39.54,9.088,1042970,0.0,1.0,BRAP4
2010-08-19,39.44,39.81,38.52,38.61,8.8742,665789,0.0,1.0,BRAP4
2010-08-20,38.5,38.99,38.07,38.4,8.8259,262064,0.0,1.0,BRAP4
2010-08-23,38.68,38.68,37.22,37.45,8.6076,889918,0.0,1.0,BRAP4
2010-08-24,36.8,37.21,36.15,36.25,8.3318,636485,0.0,1.0,BRAP4
2010-08-25,36.05,36.29,35.32,35.68,8.2008,900195,0.0,1.0,BRAP4
2010-08-26,36.18,36.6,35.11,35.9,8.2514,720733,0.0,1.0,BRAP4
2010-08-27,36.02,36.89,35.75,36.66,8.426,1001590,0.0,1.0,BRAP4
2010-08-30,36.54,36.73,35.8,35.8,8.2284,678237,0.0,1.0,BRAP4
2010-08-31,35.87,36.6,35.87,36.6,8.4122,962734,0.0,1.0,BRAP4
2010-09-01,37.08,38.45,36.59,38.44,8.8352,833322,0.0,1.0,BRAP4
2010-09-02,38.19,38.67,37.6,38.67,8.888,1085636,0.0,1.0,BRAP4
2010-09-03,38.87,39.1,37.6,37.6,8.6421,839213,0.0,1.0,BRAP4
2010-09-06,37.9,37.96,37.07,37.62,8.6467,216324,0.0,1.0,BRAP4
2010-09-08,37.4,37.4,36.61,36.89,8.4789,481640,0.0,1.0,BRAP4
2010-09-09,37.15,37.39,36.76,36.9,8.4812,581361,0.0,1.0,BRAP4
2010-09-10,37.15,37.16,36.51,36.87,8.4743,353305,0.0,1.0,BRAP4
2010-09-13,37.4,38.1,37.16,38.0,8.734,814614,0.0,1.0,BRAP4
2010-09-14,37.93,38.2,37.46,38.0,8.734,478757,0.0,1.0,BRAP4
2010-09-15,37.51,37.9,37.1,37.69,8.6628,1344365,0.0,1.0,BRAP4
2010-09-16,37.4,37.6,37.03,37.03,8.5111,430803,0.0,1.0,BRAP4
2010-09-17,37.0,37.29,36.57,36.57,8.4054,451708,0.0,1.0,BRAP4
2010-09-20,36.89,37.69,36.61,37.69,8.6628,565297,0.0,1.0,BRAP4
2010-09-21,37.35,38.14,37.29,37.93,8.7179,745768,0.0,1.0,BRAP4
2010-09-22,37.66,38.88,37.52,38.88,8.9363,747768,0.0,1.0,BRAP4
2010-09-23,38.67,39.65,38.4,39.09,8.9845,1181402,0.0,1.0,BRAP4
2010-09-24,39.5,40.44,39.2,40.02,9.1983,1259952,0.0,1.0,BRAP4
2010-09-27,39.99,40.9,39.76,40.9,9.4006,749743,0.0,1.0,BRAP4
2010-09-28,40.75,41.1,40.29,40.7,9.3546,785494,0.0,1.0,BRAP4
2010-09-29,40.7,41.0,40.41,40.47,9.3017,987482,0.0,1.0,BRAP4
2010-09-30,40.8,40.99,40.12,40.5,9.3086,1367560,0.0,1.0,BRAP4
2010-10-01,40.86,41.38,40.51,41.38,9.5109,710400,0.0,1.0,BRAP4
2010-10-04,41.3,41.75,40.85,41.75,9.5959,399046,0.0,1.0,BRAP4
2010-10-05,41.89,42.4,41.29,42.4,9.7453,965435,0.0,1.0,BRAP4
2010-10-06,42.45,42.58,41.6,41.91,9.6327,2023218,0.0,1.0,BRAP4
2010-10-07,41.95,42.05,41.31,41.76,9.5982,502391,0.0,1.0,BRAP4
2010-10-08,41.6,41.95,41.49,41.8,9.6074,338427,0.0,1.0,BRAP4
2010-10-11,41.95,42.1,41.56,41.6,9.5615,425978,0.0,1.0,BRAP4
2010-10-13,42.0,42.11,41.71,41.71,9.5867,712132,0.0,1.0,BRAP4
2010-10-14,41.77,42.55,41.68,41.92,9.635,719596,0.0,1.0,BRAP4
2010-10-15,42.5,42.5,41.5,42.18,9.6948,760453,0.0,1.0,BRAP4
2010-10-18,42.18,43.35,41.6,43.15,9.9177,556982,0.0,1.0,BRAP4
2010-10-19,42.23,43.06,41.75,41.96,9.6442,569685,0.0,1.0,BRAP4
2010-10-20,42.49,43.23,42.17,42.95,9.8717,562898,0.0,1.0,BRAP4
2010-10-21,42.97,43.54,41.46,42.99,9.8809,802847,0.0,1.0,BRAP4
2010-10-22,43.07,43.08,42.0,42.62,9.7959,795649,0.0,1.0,BRAP4
2010-10-25,42.51,44.0,42.51,43.6,10.0211,1345874,0.0,1.0,BRAP4
2010-10-26,43.3,44.76,43.23,44.48,10.2234,810839,0.0,1.0,BRAP4
2010-10-27,44.4,44.4,43.41,43.91,10.0924,684574,0.0,1.0,BRAP4
2010-10-28,44.55,44.71,43.0,43.0,9.8832,968320,0.0,1.0,BRAP4
2010-10-29,43.24,43.75,42.78,43.57,10.149,866109,0.5057,1.0,BRAP4
2010-11-01,43.25,44.27,42.8,44.27,10.3209,547482,0.0329,1.0,BRAP4
2010-11-03,44.35,45.5,44.06,44.62,10.4025,1270752,0.0,1.0,BRAP4
2010-11-04,45.2,46.49,44.95,46.23,10.7778,997335,0.0,1.0,BRAP4
2010-11-05,45.81,46.39,45.6,46.28,10.7895,1982919,0.0,1.0,BRAP4
2010-11-08,45.98,46.27,45.9,46.0,10.7242,1205304,0.0,1.0,BRAP4
2010-11-09,46.3,46.4,45.45,46.0,10.7242,1222563,0.0,1.0,BRAP4
2010-11-10,45.17,45.6,45.03,45.05,10.5027,769152,0.0,1.0,BRAP4
2010-11-11,45.03,45.49,44.76,45.29,10.5587,838445,0.0,1.0,BRAP4
2010-11-12,44.84,45.0,44.0,44.75,10.4328,582576,0.0,1.0,BRAP4
2010-11-16,44.1,44.45,42.8,43.58,10.16,782955,0.0,1.0,BRAP4
2010-11-17,43.4,44.3,43.21,43.8,10.2113,639420,0.0,1.0,BRAP4
2010-11-18,44.2,45.1,43.85,45.1,10.5144,778790,0.0,1.0,BRAP4
2010-11-19,44.24,45.44,43.85,45.25,10.5494,499796,0.0,1.0,BRAP4
2010-11-22,44.85,45.16,44.3,44.69,10.4188,608289,0.0,1.0,BRAP4
2010-11-23,43.8,44.4,43.0,43.0,10.0248,682863,0.0,1.0,BRAP4
2010-11-24,43.6,44.35,43.39,44.13,10.2883,628188,0.0,1.0,BRAP4
2010-11-25,44.4,44.5,43.52,43.73,10.195,419673,0.0,1.0,BRAP4
2010-11-26,43.63,43.63,42.81,43.05,10.0365,787016,0.0,1.0,BRAP4
2010-11-29,42.7,43.3,42.12,43.05,10.0365,499359,0.0,1.0,BRAP4
2010-11-30,42.62,43.66,42.29,42.4,9.8849,1057209,0.0,1.0,BRAP4
2010-12-01,43.1,44.05,42.9,43.9,10.2346,693429,0.0,1.0,BRAP4
2010-12-02,43.61,44.82,43.47,44.58,10.3932,529706,0.0,1.0,BRAP4
2010-12-03,44.58,45.3,44.07,45.3,10.561,485050,0.0,1.0,BRAP4
2010-12-06,45.0,45.43,44.86,45.19,10.5354,361739,0.0,1.0,BRAP4
2010-12-07,45.77,45.9,45.0,45.0,10.4911,1054287,0.0,1.0,BRAP4
2010-12-08,44.85,44.97,43.61,43.92,10.2393,962774,0.0,1.0,BRAP4
2010-12-09,43.82,44.5,43.62,44.24,10.3139,665645,0.0,1.0,BRAP4
2010-12-10,44.5,44.51,43.9,44.47,10.3675,689425,0.0,1.0,BRAP4
2010-12-13,44.85,45.23,44.59,45.2,10.5377,1061411,0.0,1.0,BRAP4
2010-12-14,45.0,45.39,44.7,45.11,10.5167,443003,0.0,1.0,BRAP4
2010-12-15,44.7,44.99,44.3,44.9,10.4678,601593,0.0,1.0,BRAP4
2010-12-16,44.8,45.06,43.98,44.31,10.3302,824138,0.0,1.0,BRAP4
2010-12-17,44.15,44.5,43.8,44.5,10.3745,748503,0.0,1.0,BRAP4
2010-12-20,44.5,44.97,44.09,44.42,10.3559,606766,0.0,1.0,BRAP4
2010-12-21,44.6,44.88,44.35,44.74,10.4305,477433,0.0,1.0,BRAP4
2010-12-22,44.64,44.68,44.03,44.64,10.4071,400135,0.0,1.0,BRAP4
2010-12-23,44.6,44.62,44.27,44.62,10.4025,219937,0.0,1.0,BRAP4
2010-12-27,43.99,44.3,43.36,43.36,10.1087,513705,0.0,1.0,BRAP4
2010-12-28,43.37,43.5,42.59,42.7,9.9549,474980,0.0,1.0,BRAP4
2010-12-29,42.79,43.3,42.66,43.23,10.0784,743221,0.0,1.0,BRAP4
2010-12-30,43.39,43.66,42.72,43.32,10.0994,1914466,0.0,1.0,BRAP4
2011-01-03,44.6,44.91,42.71,44.71,10.4235,884262,0.0,1.0,BRAP4
2011-01-04,44.8,45.59,44.8,45.5,10.6076,785035,0.0,1.0,BRAP4
2011-01-05,45.27,47.12,45.13,47.12,10.9853,1700497,0.0,1.0,BRAP4
2011-01-06,46.95,47.3,46.37,46.6,10.8641,833387,0.0,1.0,BRAP4
2011-01-07,46.44,46.74,45.72,46.31,10.7965,495384,0.0,1.0,BRAP4
2011-01-10,45.77,46.68,45.77,46.66,10.8781,936197,0.0,1.0,BRAP4
2011-01-11,46.66,47.43,46.63,47.21,11.0063,1374836,0.0,1.0,BRAP4
2011-01-12,47.21,48.35,47.21,48.27,11.2534,1305045,0.0,1.0,BRAP4
2011-01-13,48.49,48.64,47.83,47.93,11.1742,1061219,0.0,1.0,BRAP4
2011-01-14,47.43,48.14,47.4,47.85,11.1555,444775,0.0,1.0,BRAP4
2011-01-17,47.4,48.35,47.15,48.0,11.1905,573396,0.0,1.0,BRAP4
2011-01-18,48.1,48.8,48.01,48.66,11.3444,874679,0.0,1.0,BRAP4
2011-01-19,48.7,48.85,47.59,47.81,11.1462,767077,0.0,1.0,BRAP4
2011-01-20,47.5,47.63,46.68,47.54,11.0832,683550,0.0,1.0,BRAP4
2011-01-21,47.9,48.15,47.23,47.99,11.1881,375793,0.0,1.0,BRAP4
2011-01-24,48.19,48.79,47.58,48.77,11.37,559364,0.0,1.0,BRAP4
2011-01-26,48.37,48.78,47.8,48.01,11.1928,609362,0.0,1.0,BRAP4
2011-01-27,48.16,48.21,46.9,47.0,10.9573,650002,0.0,1.0,BRAP4
2011-01-28,46.91,47.2,45.0,45.99,10.7219,850847,0.0,1.0,BRAP4
2011-01-31,46.2,46.94,45.65,45.72,10.6589,469330,0.0,1.0,BRAP4
2011-02-01,46.22,46.86,46.04,46.65,10.8758,571551,0.0,1.0,BRAP4
2011-02-02,46.49,47.0,45.22,45.55,10.6193,1255212,0.0,1.0,BRAP4
2011-02-03,45.2,45.81,44.85,45.45,10.596,571591,0.0,1.0,BRAP4
2011-02-04,45.1,45.63,44.18,44.7,10.4211,566968,0.0,1.0,BRAP4
2011-02-07,45.03,45.34,44.53,45.15,10.526,1291283,0.0,1.0,BRAP4
2011-02-08,45.09,45.13,44.52,44.75,10.4328,1222414,0.0,1.0,BRAP4
2011-02-09,44.52,44.95,43.18,43.18,10.0668,1283896,0.0,1.0,BRAP4
2011-02-10,43.08,43.74,42.8,43.0,10.0248,1182934,0.0,1.0,BRAP4
2011-02-11,43.16,43.86,42.74,43.72,10.1927,1131577,0.0,1.0,BRAP4
2011-02-14,43.72,44.6,43.35,44.4,10.3512,479930,0.0,1.0,BRAP4
2011-02-15,44.4,44.65,43.97,43.97,10.2509,417940,0.0,1.0,BRAP4
2011-02-16,44.13,45.22,44.03,44.8,10.4445,815797,0.0,1.0,BRAP4
2011-02-17,45.0,45.0,44.37,44.6,10.3978,595466,0.0,1.0,BRAP4
2011-02-18,44.5,44.62,44.18,44.35,10.3396,481258,0.0,1.0,BRAP4
2011-02-21,44.34,44.34,43.32,43.32,10.0994,487726,0.0,1.0,BRAP4
2011-02-22,43.11,43.91,42.47,42.47,9.9012,917258,0.0,1.0,BRAP4
2011-02-23,42.7,43.24,41.88,42.68,9.9502,1133464,0.0,1.0,BRAP4
2011-02-24,42.33,43.34,42.33,42.6,9.9316,602691,0.0,1.0,BRAP4
2011-02-25,43.5,43.87,42.65,43.18,10.0668,842320,0.0,1.0,BRAP4
2011-02-28,43.36,43.36,42.96,43.18,10.0668,576541,0.0,1.0,BRAP4
2011-03-01,43.3,43.6,42.14,42.45,9.8966,760419,0.0,1.0,BRAP4
2011-03-02,42.4,43.19,42.19,43.12,10.0528,617287,0.0,1.0,BRAP4
2011-03-03,43.3,43.67,43.08,43.48,10.1367,1626598,0.0,1.0,BRAP4
2011-03-04,43.29,43.29,42.6,43.29,10.0924,724138,0.0,1.0,BRAP4
2011-03-09,42.3,42.5,41.62,41.7,9.7217,787573,0.0,1.0,BRAP4
2011-03-10,41.2,41.2,40.22,40.5,9.442,2871541,0.0,1.0,BRAP4
2011-03-11,40.5,41.01,40.01,40.95,9.5469,1722646,0.0,1.0,BRAP4
2011-03-14,40.69,41.23,40.0,41.23,9.6122,933681,0.0,1.0,BRAP4
2011-03-15,40.0,40.57,39.16,40.47,9.435,1481623,0.0,1.0,BRAP4
2011-03-16,40.55,40.87,39.03,39.74,9.2648,1000519,0.0,1.0,BRAP4
2011-03-17,40.15,40.52,39.86,40.52,9.4466,993858,0.0,1.0,BRAP4
2011-03-18,40.8,41.5,40.73,41.41,9.6541,810275,0.0,1.0,BRAP4
2011-03-21,41.9,41.98,41.14,41.4,9.6518,837088,0.0,1.0,BRAP4
2011-03-22,41.17,41.5,40.7,41.5,9.6751,1147694,0.0,1.0,BRAP4
2011-03-23,41.3,42.2,41.3,42.2,9.8383,1096047,0.0,1.0,BRAP4
2011-03-24,42.18,42.18,41.4,42.06,9.8057,920647,0.0,1.0,BRAP4
2011-03-25,41.99,42.7,41.41,42.4,9.8849,1095632,0.0,1.0,BRAP4
2011-03-28,42.29,42.41,41.67,41.67,9.7147,896285,0.0,1.0,BRAP4
2011-03-29,41.78,42.43,41.78,42.29,9.8593,500036,0.0,1.0,BRAP4
2011-03-30,42.21,42.48,41.84,41.99,9.7893,651073,0.0,1.0,BRAP4
2011-03-31,42.06,42.83,41.65,42.8,9.9782,1724924,0.0,1.0,BRAP4
2011-04-01,42.86,43.05,42.39,43.0,10.0248,729878,0.0,1.0,BRAP4
2011-04-04,43.05,44.0,42.65,44.0,10.2579,1095104,0.0,1.0,BRAP4
2011-04-05,43.65,44.63,43.58,44.25,10.3162,2362188,0.0,1.0,BRAP4
2011-04-06,44.45,45.06,43.65,43.8,10.2113,2543025,0.0,1.0,BRAP4
2011-04-07,44.0,44.0,42.89,43.3,10.0947,1631071,0.0,1.0,BRAP4
2011-04-08,43.64,43.8,42.65,42.94,10.0108,2924081,0.0,1.0,BRAP4
2011-04-11,42.87,43.53,42.62,43.14,10.0575,915240,0.0,1.0,BRAP4
2011-04-12,42.66,42.77,41.34,42.02,9.7963,1193029,0.0,1.0,BRAP4
2011-04-13,42.69,42.72,40.96,41.45,9.6635,1293654,0.0,1.0,BRAP4
2011-04-14,41.23,41.54,40.88,41.17,9.5982,1986696,0.0,1.0,BRAP4
2011-04-15,41.34,41.64,40.68,41.2,9.6052,889534,0.0,1.0,BRAP4
2011-04-18,40.9,41.19,40.2,40.98,9.5539,803765,0.0,1.0,BRAP4
2011-04-19,41.0,42.15,40.7,41.0,9.5585,1147680,0.0,1.0,BRAP4
2011-04-20,41.5,42.28,41.31,41.79,9.7427,1130449,0.0,1.0,BRAP4
2011-04-25,41.8,42.04,41.3,42.0,9.7917,535308,0.0,1.0,BRAP4
2011-04-26,41.89,42.09,41.67,41.99,9.7893,595002,0.0,1.0,BRAP4
2011-04-27,41.81,41.96,41.05,41.25,9.6168,493578,0.0,1.0,BRAP4
2011-04-28,40.8,41.2,40.72,41.0,9.8131,866668,0.9474,1.0,BRAP4
2011-04-29,40.1,40.99,39.95,40.7,9.7413,812959,0.0,1.0,BRAP4
2011-05-02,40.66,40.99,39.62,39.94,9.5594,1089586,0.0,1.0,BRAP4
2011-05-03,39.88,40.1,39.15,39.25,9.3942,392459,0.0,1.0,BRAP4
2011-05-04,39.9,39.9,38.4,38.4,9.1908,836889,0.0,1.0,BRAP4
2011-05-05,38.12,39.05,38.09,38.8,9.2865,1301690,0.0,1.0,BRAP4
2011-05-06,39.5,39.5,38.15,38.74,9.2722,809615,0.0,1.0,BRAP4
2011-05-09,38.79,39.31,38.4,39.25,9.3942,655378,0.0,1.0,BRAP4
2011-05-10,39.47,39.65,38.83,39.2,9.3823,622955,0.0,1.0,BRAP4
2011-05-11,38.81,39.04,37.6,37.69,9.0209,1013672,0.0,1.0,BRAP4
2011-05-12,37.58,37.89,36.93,37.75,9.0352,637767,0.0,1.0,BRAP4
2011-05-13,37.85,37.85,36.74,36.9,8.8318,817789,0.0,1.0,BRAP4
2011-05-16,36.76,37.33,36.43,36.93,8.839,743324,0.0,1.0,BRAP4
2011-05-17,36.93,37.43,36.5,37.43,8.9587,664251,0.0,1.0,BRAP4
2011-05-18,37.7,38.19,37.21,37.99,9.0927,1985057,0.0,1.0,BRAP4
2011-05-19,38.18,38.73,38.01,38.05,9.107,876060,0.0,1.0,BRAP4
2011-05-20,38.16,38.88,37.93,38.67,9.2554,462890,0.0,1.0,BRAP4
2011-05-23,37.8,38.55,37.76,38.55,9.2267,585525,0.0,1.0,BRAP4
2011-05-24,38.9,38.91,38.48,38.84,9.2961,660076,0.0,1.0,BRAP4
2011-05-25,38.82,39.06,38.54,38.99,9.332,527687,0.0,1.0,BRAP4
2011-05-26,39.15,39.79,38.7,39.79,9.5235,821409,0.0,1.0,BRAP4
2011-05-27,39.77,40.29,39.56,40.29,9.6432,750174,0.0,1.0,BRAP4
2011-05-30,40.29,40.5,39.9,40.17,9.6144,137847,0.0,1.0,BRAP4
2011-05-31,40.65,40.65,39.81,40.5,9.6934,962520,0.0,1.0,BRAP4
2011-06-01,40.0,40.3,39.44,39.82,9.5307,937705,0.0,1.0,BRAP4
2011-06-02,39.89,39.98,39.35,39.8,9.5259,801320,0.0,1.0,BRAP4
2011-06-03,39.32,40.0,39.3,39.8,9.5259,1040609,0.0,1.0,BRAP4
2011-06-06,39.6,39.79,39.14,39.34,9.4158,540982,0.0,1.0,BRAP4
2011-06-07,39.35,39.74,39.17,39.4,9.4302,746289,0.0,1.0,BRAP4
2011-06-08,39.18,39.5,38.91,39.5,9.4541,582010,0.0,1.0,BRAP4
2011-06-09,39.4,39.71,39.12,39.3,9.4062,579434,0.0,1.0,BRAP4
2011-06-10,39.21,39.48,38.83,39.1,9.3583,551870,0.0,1.0,BRAP4
2011-06-13,38.91,39.44,38.26,38.41,9.1932,453871,0.0,1.0,BRAP4
2011-06-14,38.6,38.79,38.22,38.69,9.2602,1099872,0.0,1.0,BRAP4
2011-06-15,38.15,38.5,37.99,38.5,9.2147,673657,0.0,1.0,BRAP4
2011-06-16,38.15,38.6,37.63,38.12,9.1238,963988,0.0,1.0,BRAP4
2011-06-17,38.5,38.65,37.62,38.1,9.119,899410,0.0,1.0,BRAP4
2011-06-20,37.71,38.65,37.71,38.65,9.2506,611761,0.0,1.0,BRAP4
2011-06-21,38.51,39.15,38.51,38.75,9.2746,737753,0.0,1.0,BRAP4
2011-06-22,38.7,39.37,38.68,38.96,9.3248,435474,0.0,1.0,BRAP4
2011-06-24,38.75,39.49,38.75,39.0,9.3344,847659,0.0,1.0,BRAP4
2011-06-27,38.95,39.4,38.32,38.32,9.1717,1485930,0.0,1.0,BRAP4
2011-06-28,38.38,38.91,38.34,38.91,9.3129,790902,0.0,1.0,BRAP4
2011-06-29,39.06,39.26,38.83,39.02,9.3392,1083026,0.0,1.0,BRAP4
2011-06-30,39.29,40.0,38.9,39.6,9.478,601699,0.0,1.0,BRAP4
2011-07-01,39.86,41.09,39.54,41.0,9.8131,2154644,0.0,1.0,BRAP4
2011-07-04,40.7,41.59,40.68,41.5,9.9328,532917,0.0,1.0,BRAP4
2011-07-05,41.38,41.39,40.74,40.9,9.7892,918677,0.0,1.0,BRAP4
2011-07-06,40.78,40.98,40.3,40.8,9.7652,418451,0.0,1.0,BRAP4
2011-07-07,41.46,41.46,41.03,41.05,9.8251,353775,0.0,1.0,BRAP4
2011-07-08,40.67,40.98,40.46,40.54,9.703,607476,0.0,1.0,BRAP4
2011-07-11,40.04,40.29,39.57,40.0,9.5738,536497,0.0,1.0,BRAP4
2011-07-12,39.8,40.42,39.61,39.77,9.5187,538845,0.0,1.0,BRAP4
2011-07-13,40.0,40.79,40.0,40.2,9.6216,526531,0.0,1.0,BRAP4
