,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,23.62,23.96,23.42,23.75,20.6828,2426438,0.0,1.0,BRFS3
2010-07-14,23.62,24.2,23.25,24.13,21.0137,2504783,0.0,1.0,BRFS3
2010-07-15,24.3,24.85,23.92,24.61,21.4317,3418506,0.0,1.0,BRFS3
2010-07-16,24.62,24.75,24.26,24.56,21.3882,2140709,0.0,1.0,BRFS3
2010-07-19,24.42,24.93,24.41,24.93,21.7104,1457945,0.0,1.0,BRFS3
2010-07-20,24.88,25.07,24.59,25.0,21.7714,1910945,0.0,1.0,BRFS3
2010-07-21,25.4,25.4,24.8,24.95,21.7278,1265031,0.0,1.0,BRFS3
2010-07-22,25.27,25.5,24.52,24.52,21.3534,2410811,0.0,1.0,BRFS3
2010-07-23,24.56,24.63,23.82,24.13,21.0137,2894618,0.0,1.0,BRFS3
2010-07-26,24.14,24.25,23.8,24.02,20.9179,2420013,0.0,1.0,BRFS3
2010-07-27,24.21,24.3,23.86,24.0,20.9005,3019668,0.0,1.0,BRFS3
2010-07-28,23.89,24.17,23.65,23.76,20.6915,1680641,0.0,1.0,BRFS3
2010-07-29,23.9,23.96,23.22,23.5,20.4651,1910049,0.0,1.0,BRFS3
2010-07-30,23.5,24.71,23.31,24.71,21.5188,3284136,0.0,1.0,BRFS3
2010-08-02,24.89,25.17,24.6,24.9,21.6843,2193167,0.0,1.0,BRFS3
2010-08-03,24.89,25.1,24.25,24.26,21.1269,2660033,0.0,1.0,BRFS3
2010-08-04,24.55,24.62,23.56,24.17,21.0486,3174563,0.0,1.0,BRFS3
2010-08-05,24.19,24.29,23.7,23.85,20.7699,2005876,0.0,1.0,BRFS3
2010-08-06,23.96,23.98,23.38,23.46,20.4303,2207812,0.0,1.0,BRFS3
2010-08-09,23.75,23.75,23.28,23.44,20.4128,1524732,0.0,1.0,BRFS3
2010-08-10,23.25,23.88,23.12,23.75,20.6828,2296748,0.0,1.0,BRFS3
2010-08-11,23.51,23.98,23.05,23.06,20.0819,1546096,0.0,1.0,BRFS3
2010-08-12,23.11,23.18,22.85,22.9,19.9426,1661257,0.0,1.0,BRFS3
2010-08-13,23.0,23.47,22.9,23.38,20.3606,1298105,0.0,1.0,BRFS3
2010-08-16,23.35,23.93,23.01,23.34,20.3258,2689045,0.0,1.0,BRFS3
2010-08-17,23.5,23.8,23.25,23.72,20.6567,1875141,0.0,1.0,BRFS3
2010-08-18,23.72,23.82,23.36,23.82,20.7438,2593665,0.0,1.0,BRFS3
2010-08-19,23.84,23.91,23.4,23.41,20.3867,1970608,0.0,1.0,BRFS3
2010-08-20,23.35,23.46,23.1,23.16,20.169,1686013,0.0,1.0,BRFS3
2010-08-23,23.24,23.41,22.85,22.86,19.9077,1641249,0.0,1.0,BRFS3
2010-08-24,22.75,22.96,22.51,22.51,19.603,1944800,0.0,1.0,BRFS3
2010-08-25,22.5,23.02,22.3,22.92,19.96,1662589,0.0,1.0,BRFS3
2010-08-26,22.92,23.14,22.35,22.35,19.4636,1991729,0.0,1.0,BRFS3
2010-08-27,22.51,22.97,22.35,22.92,19.96,2180159,0.0,1.0,BRFS3
2010-08-30,22.66,22.87,22.42,22.51,19.603,1390906,0.0,1.0,BRFS3
2010-08-31,22.4,23.55,22.4,23.55,20.5086,7733686,0.0,1.0,BRFS3
