,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,34.75,34.9,34.75,34.9,0.8481,7688,0.0,1.0,CPLE3
2010-07-14,34.5,34.7,34.5,34.7,0.8432,24164,0.0,1.0,CPLE3
2010-07-19,34.5,35.35,34.5,35.35,0.859,32974,0.0,1.0,CPLE3
2010-07-21,34.3,34.4,34.1,34.4,0.8359,84577,0.0,1.0,CPLE3
2010-07-22,35.0,35.0,34.0,34.0,0.8262,78865,0.0,1.0,CPLE3
2010-07-23,34.5,34.5,34.49,34.49,0.8381,5272,0.0,1.0,CPLE3
2010-07-27,34.48,35.19,34.48,35.18,0.8549,128601,0.0,1.0,CPLE3
2010-07-28,35.18,35.18,35.18,35.18,0.8549,724948,0.0,1.0,CPLE3
2010-07-29,35.0,35.25,35.0,35.25,0.8566,109840,0.0,1.0,CPLE3
2010-08-02,35.4,36.05,35.4,36.05,0.876,67002,0.0,1.0,CPLE3
2010-08-03,35.9,36.2,35.9,36.2,0.8797,153776,0.0,1.0,CPLE3
2010-08-04,36.23,36.23,36.23,36.23,0.8804,24362,0.0,1.0,CPLE3
2010-08-05,36.4,36.4,36.35,36.4,0.8846,25263,0.0,1.0,CPLE3
2010-08-06,36.1,36.4,36.1,36.4,0.8846,116431,0.0,1.0,CPLE3
2010-08-09,36.52,36.52,35.65,36.45,0.8858,5744,0.0,1.0,CPLE3
2010-08-10,36.44,36.46,36.44,36.46,0.886,2251,0.0,1.0,CPLE3
2010-08-11,36.14,36.14,36.12,36.13,0.878,169154,0.0,1.0,CPLE3
2010-08-13,36.1,36.1,36.1,36.1,0.8773,1098,0.0,1.0,CPLE3
2010-08-16,36.0,36.0,36.0,36.0,0.8748,1098,0.0,1.0,CPLE3
2010-08-17,36.0,36.52,36.0,36.4,0.8846,38444,0.0,1.0,CPLE3
2010-08-18,36.5,36.52,36.2,36.52,0.8875,21968,0.0,1.0,CPLE3
2010-08-19,39.7,39.7,36.0,36.0,0.8748,31853,0.0,1.0,CPLE3
2010-08-20,37.05,37.05,36.99,36.99,0.9071,3295,0.0297,1.0,CPLE3
2010-08-23,35.7,36.1,35.7,36.0,0.8967,1315145,0.0252,1.0,CPLE3
2010-08-24,36.3,36.3,36.3,36.3,0.9041,1089,0.0,1.0,CPLE3
2010-08-26,36.4,36.4,34.8,35.58,0.8862,42712,0.0,1.0,CPLE3
2010-08-27,35.99,36.0,35.85,36.0,0.8967,51211,0.0,1.0,CPLE3
2010-08-30,36.43,36.43,35.95,35.95,0.8954,10895,0.0,1.0,CPLE3
2010-08-31,35.95,35.95,35.19,35.7,0.8892,34867,0.0,1.0,CPLE3
2010-09-01,35.7,35.8,35.7,35.8,0.8917,4358,0.0,1.0,CPLE3
2010-09-02,35.68,35.68,35.68,35.68,0.8887,518648,0.0,1.0,CPLE3
2010-09-03,34.7,35.69,34.7,35.69,0.8889,220207,0.0,1.0,CPLE3
2010-09-09,35.6,35.95,34.4,35.8,0.8917,178192,0.0,1.0,CPLE3
2010-09-10,34.8,35.8,34.8,35.79,0.8914,47452,0.0,1.0,CPLE3
2010-09-13,34.93,36.23,34.93,36.23,0.9024,4358,0.0,1.0,CPLE3
2010-09-14,36.45,36.45,35.7,36.4,0.9066,3671,0.0,1.0,CPLE3
2010-09-15,35.4,36.0,35.25,35.41,0.882,240801,0.0,1.0,CPLE3
2010-09-16,35.99,35.99,35.99,35.99,0.8964,1089,0.0,1.0,CPLE3
2010-09-17,35.0,35.49,34.5,34.79,0.8665,227726,0.0,1.0,CPLE3
2010-09-20,34.8,35.47,34.8,35.3,0.8792,73765,0.0,1.0,CPLE3
2010-09-21,34.38,34.9,34.25,34.9,0.8693,201575,0.0,1.0,CPLE3
2010-09-22,33.9,35.0,33.9,34.9,0.8693,87167,0.0,1.0,CPLE3
2010-09-23,34.15,35.14,33.71,34.39,0.8566,143827,0.0,1.0,CPLE3
2010-09-24,34.2,34.2,33.09,34.0,0.8469,93106,0.0,1.0,CPLE3
2010-09-27,34.2,34.2,33.4,33.99,0.8466,100243,0.0,1.0,CPLE3
2010-09-30,33.25,33.9,33.25,33.9,0.8444,267485,0.0,1.0,CPLE3
2010-10-04,34.14,34.2,33.94,34.09,0.8491,751822,0.0,1.0,CPLE3
2010-10-05,34.01,35.35,34.0,35.35,0.8805,683232,0.0,1.0,CPLE3
2010-10-08,35.35,35.35,34.8,35.35,0.8805,141647,0.0,1.0,CPLE3
2010-10-11,35.75,35.75,35.35,35.35,0.8805,21791,0.0,1.0,CPLE3
2010-10-13,35.75,35.75,35.57,35.6,0.8867,217919,0.0,1.0,CPLE3
2010-10-14,35.7,35.7,34.51,35.6,0.8867,77361,0.0,1.0,CPLE3
2010-10-15,35.5,35.6,35.5,35.6,0.8867,3323,0.0,1.0,CPLE3
2010-10-18,35.59,35.59,35.1,35.58,0.8862,796496,0.0,1.0,CPLE3
2010-10-20,35.59,35.59,35.59,35.59,0.8864,1089,0.0,1.0,CPLE3
2010-10-25,34.53,35.49,34.53,34.65,0.8631,23971,0.0,1.0,CPLE3
2010-10-26,35.61,35.61,35.5,35.5,0.8842,2179,0.0,1.0,CPLE3
2010-10-27,35.2,35.2,35.2,35.2,0.8767,4358,0.0,1.0,CPLE3
2010-10-28,35.3,35.3,35.3,35.3,0.8792,1307,0.0,1.0,CPLE3
2010-10-29,34.34,35.3,34.31,35.3,0.8792,11985,0.0,1.0,CPLE3
2010-11-01,35.3,35.3,35.3,35.3,0.8792,17520,0.0,1.0,CPLE3
2010-11-03,35.3,35.59,35.3,35.59,0.8864,16343,0.0,1.0,CPLE3
2010-11-04,35.9,36.4,35.9,36.4,0.9066,29419,0.0,1.0,CPLE3
2010-11-05,37.0,37.0,37.0,37.0,0.9216,2288,0.0,1.0,CPLE3
2010-11-08,36.9,38.5,36.9,38.5,0.9589,32796,0.0,1.0,CPLE3
2010-11-09,38.49,38.49,38.49,38.49,0.9587,2233,0.0,1.0,CPLE3
2010-11-10,38.4,38.4,38.34,38.35,0.9552,61050,0.0,1.0,CPLE3
2010-11-11,38.0,38.0,38.0,38.0,0.9465,5447,0.0,1.0,CPLE3
2010-11-12,37.0,38.5,37.0,38.5,0.9589,184142,0.0,1.0,CPLE3
2010-11-16,37.5,38.49,37.5,38.37,0.9557,44673,0.0,1.0,CPLE3
2010-11-17,37.95,38.5,37.95,38.36,0.9555,853329,0.0,1.0,CPLE3
2010-11-18,37.21,38.02,37.0,38.02,0.947,7627,0.0,1.0,CPLE3
2010-11-19,38.36,38.4,38.0,38.38,0.956,32687,0.0,1.0,CPLE3
2010-11-22,38.0,38.44,38.0,38.42,0.957,19612,0.0,1.0,CPLE3
2010-11-23,38.4,38.4,38.3,38.3,0.954,3977,0.0,1.0,CPLE3
2010-11-24,37.21,38.45,37.17,38.45,0.9577,87887,0.0,1.0,CPLE3
2010-11-25,38.5,38.5,38.5,38.5,0.9589,7648,0.0,1.0,CPLE3
2010-11-26,38.0,38.3,37.5,37.5,0.934,43583,0.0,1.0,CPLE3
2010-11-29,38.5,38.5,37.01,37.99,0.9462,79540,0.0,1.0,CPLE3
2010-11-30,38.29,38.48,38.29,38.29,0.9537,95884,0.0,1.0,CPLE3
2010-12-01,38.3,38.75,38.3,38.7,0.9639,125303,0.0,1.0,CPLE3
2010-12-02,38.4,38.4,38.4,38.4,0.9564,546978,0.0,1.0,CPLE3
2010-12-03,38.4,39.24,38.4,39.24,0.9774,2453775,0.0,1.0,CPLE3
2010-12-06,39.0,39.0,39.0,39.0,0.9714,250781,0.0,1.0,CPLE3
2010-12-07,38.6,38.99,38.5,38.5,0.9589,310546,0.0,1.0,CPLE3
2010-12-08,38.61,38.61,38.5,38.5,0.9589,66944,0.0,1.0,CPLE3
2010-12-09,38.5,38.5,38.32,38.32,0.9545,56986,0.0,1.0,CPLE3
2010-12-10,38.4,38.4,38.4,38.4,0.9564,14164,0.0,1.0,CPLE3
2010-12-13,38.01,38.57,38.01,38.5,0.9589,16474,0.0,1.0,CPLE3
2010-12-14,38.1,38.1,38.1,38.1,0.949,30508,0.0,1.0,CPLE3
2010-12-15,38.1,38.1,38.1,38.1,0.949,66748,0.0,1.0,CPLE3
2010-12-16,38.0,38.2,38.0,38.07,0.9482,227726,0.0,1.0,CPLE3
2010-12-17,38.5,38.75,38.1,38.1,0.949,362967,0.0,1.0,CPLE3
2010-12-20,38.31,38.31,38.0,38.0,0.9465,9806,0.0,1.0,CPLE3
2010-12-21,38.0,38.01,38.0,38.0,0.9465,349521,0.0,1.0,CPLE3
2010-12-22,37.7,37.7,37.7,37.7,0.939,8880,0.0,1.0,CPLE3
2010-12-23,37.6,38.65,37.0,38.0,0.9465,251697,0.0,1.0,CPLE3
2010-12-27,38.2,38.2,38.2,38.2,0.9515,11233,0.0,1.0,CPLE3
2010-12-28,37.5,37.5,37.5,37.5,0.934,10895,0.0,1.0,CPLE3
2010-12-29,38.0,38.5,36.5,38.0,0.9465,1394686,0.0,1.0,CPLE3
2010-12-30,38.9,38.9,37.0,38.0,0.9465,1081971,0.0,1.0,CPLE3
2011-01-03,38.2,38.59,38.2,38.5,0.9589,15254,0.0,1.0,CPLE3
2011-01-05,38.5,38.78,38.5,38.78,0.9659,105255,0.0,1.0,CPLE3
2011-01-06,38.94,38.94,38.94,38.94,0.9699,4358,0.0,1.0,CPLE3
2011-01-07,38.0,38.75,38.0,38.75,0.9652,8716,0.0,1.0,CPLE3
2011-01-10,37.81,38.5,37.27,38.5,0.9589,47942,0.0,1.0,CPLE3
2011-01-11,38.59,38.6,38.59,38.6,0.9614,18523,0.0,1.0,CPLE3
2011-01-12,38.6,39.55,38.5,39.55,0.9851,915110,0.0,1.0,CPLE3
2011-01-13,39.55,40.5,39.55,40.5,1.0088,316092,0.0,1.0,CPLE3
2011-01-14,40.3,41.0,40.3,41.0,1.0212,74593,0.0,1.0,CPLE3
2011-01-17,40.8,40.8,40.8,40.8,1.0162,348671,0.0,1.0,CPLE3
2011-01-18,40.5,41.0,40.5,41.0,1.0212,65539,0.0,1.0,CPLE3
2011-01-19,41.0,42.0,40.25,40.25,1.0025,93705,0.0,1.0,CPLE3
2011-01-20,41.0,41.94,40.25,41.0,1.0212,333471,0.0,1.0,CPLE3
2011-01-21,41.29,41.99,41.0,41.0,1.0212,93705,0.0,1.0,CPLE3
2011-01-24,40.02,42.0,40.01,41.0,1.0212,198306,0.0,1.0,CPLE3
2011-01-26,40.54,40.61,40.3,40.3,1.0038,85152,0.0,1.0,CPLE3
2011-01-27,40.56,40.8,40.2,40.75,1.015,14164,0.0,1.0,CPLE3
2011-01-28,40.03,40.94,39.0,39.95,0.9951,368284,0.0,1.0,CPLE3
2011-01-31,40.15,40.15,39.0,39.0,0.9714,667488,0.0,1.0,CPLE3
2011-02-01,38.8,38.99,38.49,38.5,0.9589,104623,0.0,1.0,CPLE3
2011-02-02,38.21,38.85,38.0,38.0,0.9465,442376,0.0,1.0,CPLE3
2011-02-03,38.0,38.0,37.75,37.8,0.9415,574218,0.0,1.0,CPLE3
2011-02-04,38.0,38.5,37.5,38.0,0.9465,136199,0.0,1.0,CPLE3
2011-02-07,37.79,37.8,37.5,37.5,0.934,88333,0.0,1.0,CPLE3
2011-02-08,37.5,37.5,37.5,37.5,0.934,1743,0.0,1.0,CPLE3
2011-02-09,37.6,37.6,37.6,37.6,0.9365,46852,0.0,1.0,CPLE3
2011-02-10,37.35,37.35,37.1,37.1,0.9241,22881,0.0,1.0,CPLE3
2011-02-11,37.06,37.49,36.26,37.1,0.9241,147095,0.0,1.0,CPLE3
2011-02-15,36.5,37.49,36.49,37.49,0.9338,27566,0.0,1.0,CPLE3
2011-02-16,36.66,37.59,36.66,37.58,0.936,127591,0.0,1.0,CPLE3
2011-02-17,37.61,38.4,36.82,38.0,0.9465,118657,0.0,1.0,CPLE3
2011-02-18,38.02,38.1,38.02,38.1,0.949,48051,0.0,1.0,CPLE3
2011-02-21,38.2,38.24,38.2,38.24,0.9525,2179,0.0,1.0,CPLE3
2011-02-22,38.4,38.4,36.42,37.5,0.934,38135,0.0,1.0,CPLE3
2011-02-23,36.8,38.0,36.8,37.75,0.9403,138705,0.0,1.0,CPLE3
2011-02-25,37.4,37.4,37.4,37.4,0.9316,1089,0.0,1.0,CPLE3
2011-02-28,37.4,37.99,37.4,37.99,0.9462,452532,0.0,1.0,CPLE3
2011-03-01,37.99,38.1,37.03,38.0,0.9465,113427,0.0,1.0,CPLE3
2011-03-02,37.99,38.0,37.26,37.35,0.9303,139468,0.0,1.0,CPLE3
2011-03-03,37.79,37.8,37.2,37.2,0.9266,90436,0.0,1.0,CPLE3
2011-03-09,38.0,38.0,37.8,37.8,0.9415,49260,0.0,1.0,CPLE3
2011-03-10,37.7,37.8,37.65,37.65,0.9378,592153,0.0,1.0,CPLE3
2011-03-11,37.65,38.4,37.65,38.4,0.9564,46896,0.0,1.0,CPLE3
2011-03-16,37.9,37.9,37.9,37.9,0.944,5709,0.0,1.0,CPLE3
2011-03-17,38.0,38.0,38.0,38.0,0.9465,32687,0.0,1.0,CPLE3
2011-03-18,37.9,37.98,37.9,37.98,0.946,56964,0.0,1.0,CPLE3
2011-03-21,38.0,38.0,38.0,38.0,0.9465,54479,0.0,1.0,CPLE3
2011-03-22,38.4,38.4,38.4,38.4,0.9564,8171,0.0,1.0,CPLE3
2011-03-23,38.5,39.0,37.5,39.0,0.9714,177604,0.0,1.0,CPLE3
2011-03-24,38.5,38.5,38.5,38.5,0.9589,1536,0.0,1.0,CPLE3
