,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,25.1,25.1,24.4,24.9,3.0873,372124,0.0,1.0,CSMG3
2010-07-14,24.88,25.09,24.61,25.05,3.1059,143052,0.0,1.0,CSMG3
2010-07-15,25.02,25.49,24.81,25.38,3.1468,322442,0.0,1.0,CSMG3
2010-07-16,25.39,25.57,25.1,25.25,3.1307,238054,0.0,1.0,CSMG3
2010-07-19,25.4,25.4,25.01,25.25,3.1307,269285,0.0,1.0,CSMG3
2010-07-20,25.25,25.4,24.8,25.34,3.1418,174301,0.0,1.0,CSMG3
2010-07-21,25.35,25.38,25.15,25.25,3.1307,65541,0.0,1.0,CSMG3
2010-07-22,25.25,25.9,25.11,25.25,3.1307,371890,0.0,1.0,CSMG3
2010-07-23,25.28,25.61,25.15,25.35,3.1431,319774,0.0,1.0,CSMG3
2010-07-26,25.69,25.8,25.32,25.6,3.1741,81441,0.0,1.0,CSMG3
2010-07-27,25.65,25.96,25.53,25.96,3.2187,152903,0.0,1.0,CSMG3
2010-07-28,25.84,25.84,25.5,25.65,3.1803,17019,0.0,1.0,CSMG3
2010-07-29,25.84,25.84,25.11,25.39,3.148,168505,0.0,1.0,CSMG3
2010-07-30,25.06,25.55,25.06,25.3,3.1369,250002,0.0,1.0,CSMG3
2010-08-02,25.3,25.84,25.26,25.26,3.1319,103802,0.0,1.0,CSMG3
2010-08-03,25.21,25.3,24.98,25.16,3.1195,244517,0.0,1.0,CSMG3
2010-08-04,25.16,25.6,25.1,25.5,3.1617,67110,0.0,1.0,CSMG3
2010-08-05,25.51,25.77,25.19,25.26,3.1319,97564,0.0,1.0,CSMG3
2010-08-06,25.34,25.54,25.16,25.5,3.1617,91217,0.0,1.0,CSMG3
2010-08-09,25.69,25.69,25.08,25.3,3.1369,357716,0.0,1.0,CSMG3
2010-08-10,25.05,25.16,24.5,24.8,3.0749,241329,0.0,1.0,CSMG3
2010-08-11,24.95,24.95,24.35,24.48,3.0352,343602,0.0,1.0,CSMG3
2010-08-12,24.55,25.05,24.12,24.9,3.0873,49550,0.0,1.0,CSMG3
2010-08-13,24.9,25.24,24.6,24.81,3.0761,69413,0.0,1.0,CSMG3
2010-08-16,25.0,25.05,24.51,24.87,3.0836,116943,0.0,1.0,CSMG3
2010-08-17,24.65,24.93,24.4,24.4,3.0253,447548,0.0,1.0,CSMG3
2010-08-18,24.74,24.74,24.05,24.14,2.9931,233331,0.0,1.0,CSMG3
2010-08-19,24.15,24.2,23.85,23.85,2.9571,223255,0.0,1.0,CSMG3
2010-08-20,23.65,24.2,23.52,23.74,2.9434,231724,0.0,1.0,CSMG3
2010-08-23,24.07,24.07,23.65,23.65,2.9323,88226,0.0,1.0,CSMG3
2010-08-24,23.65,23.84,23.46,23.7,2.9385,43226,0.0,1.0,CSMG3
2010-08-25,23.8,24.16,23.45,24.0,2.9757,154224,0.0,1.0,CSMG3
2010-08-26,23.98,23.98,23.61,23.74,2.9434,201867,0.0,1.0,CSMG3
2010-08-27,23.99,24.5,23.55,24.5,3.0377,245718,0.0,1.0,CSMG3
2010-08-30,24.54,25.35,24.54,25.07,3.1084,635902,0.0,1.0,CSMG3
2010-08-31,24.8,25.34,24.6,24.74,3.0675,376135,0.0,1.0,CSMG3
2010-09-01,25.1,25.1,24.77,24.89,3.0861,135547,0.0,1.0,CSMG3
2010-09-02,24.71,24.9,24.45,24.45,3.0315,60266,0.0,1.0,CSMG3
2010-09-03,24.48,24.69,24.25,24.5,3.0377,73611,0.0,1.0,CSMG3
2010-09-06,24.45,24.65,24.4,24.4,3.0253,24700,0.0,1.0,CSMG3
2010-09-08,24.32,24.49,24.07,24.49,3.0364,98070,0.0,1.0,CSMG3
2010-09-09,24.83,24.84,24.33,24.5,3.0377,634419,0.0,1.0,CSMG3
