,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2021-04-29,10.29,10.3,9.88,10.05,7.3386,32790200,0.0,1.0,CXSE3
2021-04-30,10.19,10.22,10.0,10.01,7.3094,6254200,0.0,1.0,CXSE3
2021-05-03,10.1,10.15,9.73,9.88,7.2145,6947800,0.0,1.0,CXSE3
2021-05-04,9.89,9.89,9.5,9.7,7.0831,11185100,0.0,1.0,CXSE3
2021-05-05,9.74,9.94,9.6,9.94,7.2583,4151800,0.0,1.0,CXSE3
2021-05-06,9.93,10.39,9.78,10.39,7.5869,8034200,0.0,1.0,CXSE3
2021-05-07,10.27,10.95,10.12,10.95,7.9958,8605000,0.0,1.0,CXSE3
2021-05-10,10.95,11.39,10.75,11.23,8.2003,9466400,0.0,1.0,CXSE3
2021-05-11,11.08,11.99,11.05,11.83,8.6384,11765200,0.0,1.0,CXSE3
2021-05-12,11.83,12.25,11.4,11.65,8.507,12877700,0.0,1.0,CXSE3
2021-05-13,11.75,12.2,11.72,12.14,8.8648,8102600,0.0,1.0,CXSE3
2021-05-14,12.29,12.44,12.21,12.33,9.0035,5249200,0.0,1.0,CXSE3
2021-05-17,12.45,12.95,12.2,12.3,8.9816,5821200,0.0,1.0,CXSE3
2021-05-18,12.43,12.58,12.16,12.4,9.0546,4882600,0.0,1.0,CXSE3
2021-05-19,12.3,12.4,11.89,12.28,8.967,5155300,0.0,1.0,CXSE3
2021-05-20,12.2,12.3,12.02,12.3,8.9816,4067700,0.0,1.0,CXSE3
2021-05-21,12.32,12.39,11.99,11.99,8.7552,2804300,0.0,1.0,CXSE3
2021-05-24,12.05,12.15,11.8,12.0,8.7625,3686900,0.0,1.0,CXSE3
2021-05-25,12.01,12.15,11.88,12.15,8.8721,3414000,0.0,1.0,CXSE3
2021-05-26,12.21,12.3,12.0,12.0,8.7625,2293200,0.0,1.0,CXSE3
2021-05-27,12.04,12.19,12.04,12.19,8.9013,1782300,0.0,1.0,CXSE3
2021-05-28,12.23,12.25,12.04,12.15,8.8721,1647100,0.0,1.0,CXSE3
