,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,9.99,10.1,9.82,10.1,6.2855,1209156,0.0,1.0,ECOR3
2010-07-14,10.0,10.0,9.81,10.0,6.2232,979208,0.0,1.0,ECOR3
2010-07-15,10.0,10.05,9.83,9.95,6.1921,892248,0.0,1.0,ECOR3
2010-07-16,9.95,9.97,9.82,9.85,6.1299,355083,0.0,1.0,ECOR3
2010-07-19,9.98,10.05,9.9,9.95,6.1921,829668,0.0,1.0,ECOR3
2010-07-20,9.98,10.08,9.85,9.85,6.1299,1678915,0.0,1.0,ECOR3
2010-07-21,10.0,10.37,9.86,9.9,6.161,1940995,0.0,1.0,ECOR3
2010-07-22,10.05,10.08,9.81,9.95,6.1921,1437607,0.0,1.0,ECOR3
2010-07-23,10.0,10.0,9.82,9.96,6.1984,563510,0.0,1.0,ECOR3
2010-07-26,9.96,10.08,9.89,9.95,6.1921,601369,0.0,1.0,ECOR3
2010-07-27,9.95,10.3,9.95,10.25,6.3788,2564981,0.0,1.0,ECOR3
2010-07-28,10.4,10.49,10.25,10.46,6.5095,1075005,0.0,1.0,ECOR3
2010-07-29,10.5,10.57,10.26,10.49,6.5282,779884,0.0,1.0,ECOR3
2010-07-30,10.4,10.84,10.26,10.73,6.6775,523332,0.0,1.0,ECOR3
2010-08-02,10.74,11.1,10.73,10.76,6.6962,1381527,0.0,1.0,ECOR3
2010-08-03,10.76,10.94,10.41,10.48,6.522,1282673,0.0,1.0,ECOR3
2010-08-04,10.69,10.7,10.31,10.31,6.4162,1126482,0.0,1.0,ECOR3
2010-08-05,10.39,10.47,10.3,10.4,6.4722,411337,0.0,1.0,ECOR3
2010-08-06,10.48,10.9,10.4,10.84,6.746,1104939,0.0,1.0,ECOR3
2010-08-09,11.0,11.0,10.75,10.82,6.7335,1507736,0.0,1.0,ECOR3
2010-08-10,10.85,10.85,10.65,10.8,6.7211,1256537,0.0,1.0,ECOR3
2010-08-11,10.76,10.76,10.48,10.7,6.6589,1448436,0.0,1.0,ECOR3
2010-08-12,10.62,10.72,10.54,10.7,6.6589,797810,0.0,1.0,ECOR3
2010-08-13,10.66,10.89,10.46,10.56,6.5717,601246,0.0,1.0,ECOR3
2010-08-16,10.51,10.7,10.43,10.67,6.6402,544866,0.0,1.0,ECOR3
2010-08-17,10.67,10.9,10.53,10.9,6.7833,1055158,0.0,1.0,ECOR3
2010-08-18,10.87,10.87,10.61,10.82,6.7335,279809,0.0,1.0,ECOR3
2010-08-19,10.83,10.95,10.7,10.9,6.7833,232236,0.0,1.0,ECOR3
2010-08-20,10.8,10.83,10.6,10.66,6.634,268203,0.0,1.0,ECOR3
2010-08-23,10.73,10.89,10.66,10.8,6.7211,249559,0.0,1.0,ECOR3
2010-08-24,10.8,10.92,10.7,10.89,6.7771,315886,0.0,1.0,ECOR3
2010-08-25,10.88,11.09,10.76,10.85,6.7522,1098267,0.0,1.0,ECOR3
2010-08-26,10.98,11.09,10.65,10.8,6.7211,503115,0.0,1.0,ECOR3
2010-08-27,10.85,10.98,10.82,10.9,6.7833,248841,0.0,1.0,ECOR3
2010-08-30,10.87,10.95,10.75,10.88,6.7709,276046,0.0,1.0,ECOR3
2010-08-31,11.03,11.09,10.93,11.0,6.8456,443547,0.0,1.0,ECOR3
2010-09-01,11.1,11.32,11.1,11.11,6.914,1048013,0.0,1.0,ECOR3
2010-09-02,11.2,11.33,10.83,10.95,6.8145,500708,0.0,1.0,ECOR3
2010-09-03,11.05,11.08,10.7,10.76,6.6962,686640,0.0,1.0,ECOR3
2010-09-06,10.91,10.91,10.7,10.8,6.7211,156602,0.0,1.0,ECOR3
2010-09-08,10.7,11.28,10.6,11.12,6.9202,634459,0.0,1.0,ECOR3
2010-09-09,11.15,11.45,11.0,11.33,7.0509,555419,0.0,1.0,ECOR3
2010-09-10,11.2,11.47,11.06,11.35,7.0634,574845,0.0,1.0,ECOR3
2010-09-13,11.4,11.4,11.2,11.38,7.0821,858767,0.0,1.0,ECOR3
2010-09-14,11.26,11.36,11.21,11.28,7.0198,585801,0.0,1.0,ECOR3
2010-09-15,11.21,11.53,11.19,11.47,7.1381,1405647,0.0,1.0,ECOR3
2010-09-16,11.45,11.52,11.28,11.37,7.0758,871908,0.0,1.0,ECOR3
2010-09-17,11.26,11.5,11.26,11.45,7.1256,1122562,0.0,1.0,ECOR3
2010-09-20,11.45,11.55,11.38,11.55,7.1878,836406,0.0,1.0,ECOR3
2010-09-21,11.51,11.76,11.45,11.49,7.1505,985387,0.0,1.0,ECOR3
2010-09-22,11.5,11.69,11.25,11.55,7.1878,980922,0.0,1.0,ECOR3
2010-09-23,11.44,11.75,11.4,11.5,7.1567,1337690,0.0,1.0,ECOR3
2010-09-24,11.55,11.66,11.05,11.32,7.0447,1660839,0.0,1.0,ECOR3
2010-09-27,11.51,11.51,11.2,11.5,7.1567,965472,0.0,1.0,ECOR3
2010-09-28,11.5,11.54,11.26,11.5,7.1567,1056126,0.0,1.0,ECOR3
2010-09-29,11.47,11.69,11.15,11.28,7.0198,1328396,0.0,1.0,ECOR3
2010-09-30,11.28,11.4,11.03,11.2,6.97,1318448,0.0,1.0,ECOR3
2010-10-01,11.23,11.9,11.15,11.85,7.3745,1203206,0.0,1.0,ECOR3
2010-10-04,11.84,12.07,11.6,11.97,7.4492,808527,0.0,1.0,ECOR3
2010-10-05,12.0,12.26,11.91,12.12,7.5426,938325,0.0,1.0,ECOR3
2010-10-06,12.12,12.25,11.88,12.04,7.4928,1335703,0.0,1.0,ECOR3
2010-10-07,12.15,12.25,11.85,12.19,7.5861,868895,0.0,1.0,ECOR3
2010-10-08,12.15,13.0,11.99,12.66,7.8786,2024784,0.0,1.0,ECOR3
2010-10-11,12.64,13.1,12.5,13.0,8.0902,975257,0.0,1.0,ECOR3
2010-10-13,13.0,13.3,12.85,13.3,8.2769,1565112,0.0,1.0,ECOR3
2010-10-14,13.25,13.25,12.57,12.97,8.0715,2415721,0.0,1.0,ECOR3
2010-10-15,13.02,13.02,12.53,12.9,8.028,1556905,0.0,1.0,ECOR3
2010-10-18,12.8,12.84,12.65,12.65,7.8724,764362,0.0,1.0,ECOR3
2010-10-19,12.52,12.99,12.31,12.99,8.084,1913856,0.0,1.0,ECOR3
2010-10-20,12.8,13.06,12.66,12.89,8.0218,1546325,0.0,1.0,ECOR3
2010-10-21,12.89,13.08,12.77,12.77,7.9471,890488,0.0,1.0,ECOR3
2010-10-22,12.95,13.03,12.56,12.79,7.9595,834900,0.0,1.0,ECOR3
2010-10-25,12.81,12.97,12.58,12.8,7.9658,1139254,0.0,1.0,ECOR3
2010-10-26,12.72,12.85,12.64,12.64,7.8662,523551,0.0,1.0,ECOR3
2010-10-27,12.66,12.79,12.55,12.6,7.8413,678881,0.0,1.0,ECOR3
2010-10-28,12.8,12.97,12.67,12.86,8.0031,834706,0.0,1.0,ECOR3
2010-10-29,12.86,12.98,12.77,12.9,8.028,985660,0.0,1.0,ECOR3
2010-11-01,12.94,13.0,12.6,12.85,7.9969,736909,0.0,1.0,ECOR3
2010-11-03,12.9,13.23,12.87,13.14,8.1773,1874360,0.0,1.0,ECOR3
2010-11-04,13.28,13.6,13.0,13.17,8.196,1827345,0.0,1.0,ECOR3
2010-11-05,12.97,13.13,12.85,12.95,8.0591,1293316,0.0,1.0,ECOR3
2010-11-08,12.86,13.45,12.86,13.45,8.3703,1050319,0.0,1.0,ECOR3
2010-11-09,13.44,13.64,13.36,13.5,8.4014,2000233,0.0,1.0,ECOR3
2010-11-10,13.54,13.78,13.29,13.58,8.4512,1754039,0.0,1.0,ECOR3
2010-11-11,13.42,14.0,13.42,13.81,8.5943,1743761,0.0,1.0,ECOR3
2010-11-12,13.72,14.12,13.45,13.9,8.6503,1579805,0.0,1.0,ECOR3
2010-11-16,13.86,14.0,13.49,13.6,8.4636,1607198,0.0,1.0,ECOR3
2010-11-17,13.65,14.0,13.54,14.0,8.7125,1022683,0.0,1.0,ECOR3
2010-11-18,14.03,14.1,13.78,13.99,8.7063,1733338,0.0,1.0,ECOR3
2010-11-19,13.99,13.99,13.67,13.74,8.5507,1127303,0.0,1.0,ECOR3
2010-11-22,13.75,13.79,13.2,13.36,8.3143,2249282,0.0,1.0,ECOR3
2010-11-23,13.25,13.57,13.0,13.55,8.4325,2115617,0.0,1.0,ECOR3
2010-11-24,13.62,14.08,13.62,13.85,8.6192,1762861,0.0,1.0,ECOR3
2010-11-25,13.85,14.0,13.77,13.95,8.6814,495726,0.0,1.0,ECOR3
2010-11-26,13.78,15.0,13.6,13.83,8.6067,2208809,0.0,1.0,ECOR3
2010-11-29,13.85,13.98,13.43,13.81,8.5943,2612593,0.0,1.0,ECOR3
2010-11-30,13.85,13.99,13.58,13.9,8.6503,14810271,0.0,1.0,ECOR3
2010-12-01,13.99,14.0,13.5,13.62,8.4761,1884830,0.0,1.0,ECOR3
2010-12-02,13.6,13.68,13.12,13.38,8.3267,2788170,0.0,1.0,ECOR3
2010-12-03,13.41,13.49,13.02,13.1,8.1524,1746513,0.0,1.0,ECOR3
2010-12-06,13.19,13.29,12.8,13.29,8.2707,1666826,0.0,1.0,ECOR3
2010-12-07,13.4,13.7,13.34,13.7,8.5258,1240464,0.0,1.0,ECOR3
2010-12-08,13.68,13.68,13.16,13.4,8.4815,1022324,0.23,1.0,ECOR3
2010-12-09,13.35,13.35,12.64,12.8,8.1018,1776426,0.0,1.0,ECOR3
2010-12-10,12.92,13.2,12.51,12.8,8.1018,1508414,0.0,1.0,ECOR3
2010-12-13,12.9,12.94,12.52,12.7,8.0385,1367528,0.0,1.0,ECOR3
2010-12-14,12.7,13.17,12.43,12.95,8.1967,957915,0.0,1.0,ECOR3
2010-12-15,12.89,12.89,12.39,12.5,7.9119,2412823,0.0,1.0,ECOR3
2010-12-16,12.59,12.83,12.12,12.27,7.7663,1306524,0.0,1.0,ECOR3
2010-12-17,12.27,12.49,12.12,12.49,7.9056,945760,0.0,1.0,ECOR3
2010-12-20,12.59,12.59,12.06,12.2,7.722,1166693,0.0,1.0,ECOR3
2010-12-21,12.29,12.68,12.18,12.68,8.0258,970396,0.0,1.0,ECOR3
2010-12-22,12.67,12.68,12.4,12.42,7.8612,1259094,0.0,1.0,ECOR3
2010-12-23,12.4,12.83,12.4,12.7,8.0385,468602,0.0,1.0,ECOR3
2010-12-27,12.62,12.98,12.59,12.84,8.1271,549455,0.0,1.0,ECOR3
2010-12-28,12.84,13.1,12.65,12.92,8.1777,895495,0.0,1.0,ECOR3
2010-12-29,13.09,13.12,12.77,12.8,8.1018,722722,0.0,1.0,ECOR3
2010-12-30,12.95,12.95,12.66,12.78,8.0891,1031443,0.0,1.0,ECOR3
2011-01-03,12.85,13.0,12.7,12.72,8.0511,659718,0.0,1.0,ECOR3
2011-01-04,12.8,13.2,12.62,13.2,8.3549,890321,0.0,1.0,ECOR3
2011-01-05,13.03,13.3,12.91,13.2,8.3549,1073988,0.0,1.0,ECOR3
2011-01-06,13.2,13.35,12.92,13.18,8.3423,1035176,0.0,1.0,ECOR3
2011-01-07,13.1,13.25,12.75,13.05,8.26,805847,0.0,1.0,ECOR3
2011-01-10,13.05,13.09,12.75,12.94,8.1904,541507,0.0,1.0,ECOR3
2011-01-11,12.98,13.3,12.91,13.3,8.4182,1060869,0.0,1.0,ECOR3
2011-01-12,13.41,13.58,13.31,13.58,8.5955,544306,0.0,1.0,ECOR3
2011-01-13,13.48,13.5,13.11,13.13,8.3106,733809,0.0,1.0,ECOR3
2011-01-14,13.17,13.33,12.87,13.2,8.3549,441691,0.0,1.0,ECOR3
2011-01-17,13.11,13.19,12.92,13.1,8.2917,372140,0.0,1.0,ECOR3
2011-01-18,13.19,13.25,12.91,13.03,8.2473,978006,0.0,1.0,ECOR3
2011-01-19,13.0,13.1,12.9,13.1,8.2917,526380,0.0,1.0,ECOR3
2011-01-20,13.0,13.29,12.92,13.23,8.3739,390384,0.0,1.0,ECOR3
2011-01-21,13.32,13.4,13.21,13.35,8.4499,582328,0.0,1.0,ECOR3
2011-01-24,13.41,13.42,13.21,13.38,8.4689,447608,0.0,1.0,ECOR3
2011-01-26,13.39,13.5,13.13,13.35,8.4499,883833,0.0,1.0,ECOR3
2011-01-27,13.35,13.48,13.04,13.2,8.3549,424583,0.0,1.0,ECOR3
2011-01-28,13.14,13.26,12.9,13.1,8.2917,880455,0.0,1.0,ECOR3
2011-01-31,13.06,13.38,13.0,13.0,8.2284,1239908,0.0,1.0,ECOR3
2011-02-01,13.1,13.53,13.08,13.4,8.4815,870252,0.0,1.0,ECOR3
2011-02-02,13.48,13.57,13.08,13.08,8.279,707912,0.0,1.0,ECOR3
2011-02-03,13.19,13.46,13.1,13.15,8.3233,444675,0.0,1.0,ECOR3
