,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,22.09,22.25,21.79,22.21,10.5972,1232564,0.0,1.0,ELET3
2010-07-14,22.15,22.54,22.01,22.1,10.5447,1011287,0.0,1.0,ELET3
2010-07-15,22.18,22.25,21.55,21.9,10.4492,1097056,0.0,1.0,ELET3
2010-07-16,21.93,22.09,21.5,21.5,10.2584,679564,0.0,1.0,ELET3
2010-07-19,21.75,21.85,21.5,21.71,10.3586,712930,0.0,1.0,ELET3
2010-07-20,21.68,22.18,21.53,21.86,10.4302,1332422,0.0,1.0,ELET3
2010-07-21,22.0,22.05,21.71,21.92,10.4588,887309,0.0,1.0,ELET3
2010-07-22,22.17,22.4,22.05,22.3,10.6401,902258,0.0,1.0,ELET3
2010-07-23,22.35,22.6,21.6,22.53,10.7498,870712,0.0,1.0,ELET3
2010-07-26,22.59,22.65,22.41,22.61,10.788,490113,0.0,1.0,ELET3
2010-07-27,22.74,22.77,22.0,22.0,10.497,1442655,0.0,1.0,ELET3
2010-07-28,22.11,22.27,21.81,22.27,10.6258,890133,0.0,1.0,ELET3
2010-07-29,22.22,22.5,22.22,22.5,10.7355,828040,0.0,1.0,ELET3
2010-07-30,22.42,22.87,22.27,22.8,10.8787,895091,0.0,1.0,ELET3
2010-08-02,22.99,23.0,22.8,22.98,10.9646,499379,0.0,1.0,ELET3
2010-08-03,22.87,22.92,22.7,22.7,10.831,455632,0.0,1.0,ELET3
2010-08-04,22.75,23.0,22.49,22.73,10.8453,779318,0.0,1.0,ELET3
2010-08-05,22.52,22.9,22.52,22.9,10.9264,335826,0.0,1.0,ELET3
2010-08-06,22.68,23.0,22.68,23.0,10.9741,449467,0.0,1.0,ELET3
2010-08-09,23.02,23.12,22.61,22.79,10.8739,385659,0.0,1.0,ELET3
2010-08-10,22.72,22.97,22.57,22.69,10.8262,765842,0.0,1.0,ELET3
2010-08-11,22.68,22.68,22.14,22.3,10.6401,751135,0.0,1.0,ELET3
2010-08-12,22.17,22.29,22.02,22.21,10.5972,489798,0.0,1.0,ELET3
2010-08-13,22.15,22.5,21.9,22.07,10.5304,682115,0.0,1.0,ELET3
2010-08-16,22.15,22.41,22.09,22.2,10.5924,736321,0.0,1.0,ELET3
2010-08-17,22.35,22.42,22.12,22.29,10.6353,712060,0.0,1.0,ELET3
2010-08-18,22.38,22.38,22.07,22.37,10.6735,1160101,0.0,1.0,ELET3
2010-08-19,22.25,22.34,21.9,21.95,10.4731,694223,0.0,1.0,ELET3
2010-08-20,22.0,22.48,21.82,22.22,10.6019,452820,0.0,1.0,ELET3
2010-08-23,22.25,22.41,21.95,22.0,10.497,504342,0.0,1.0,ELET3
2010-08-24,21.93,22.28,21.76,22.18,10.5828,679663,0.0,1.0,ELET3
2010-08-25,22.1,22.17,21.85,21.86,10.4302,748695,0.0,1.0,ELET3
2010-08-26,21.9,22.12,21.5,21.5,10.2584,787054,0.0,1.0,ELET3
2010-08-27,21.6,22.18,21.44,21.73,10.3681,766440,0.0,1.0,ELET3
2010-08-30,21.88,21.97,21.3,21.41,10.2155,596051,0.0,1.0,ELET3
2010-08-31,21.33,21.8,21.3,21.37,10.1964,1272234,0.0,1.0,ELET3
2010-09-01,21.5,21.76,21.43,21.64,10.3252,1043481,0.0,1.0,ELET3
2010-09-02,21.56,21.67,21.41,21.58,10.2966,336137,0.0,1.0,ELET3
2010-09-03,21.74,21.76,21.31,21.4,10.2107,393471,0.0,1.0,ELET3
2010-09-06,21.45,21.6,21.06,21.18,10.1057,240744,0.0,1.0,ELET3
2010-09-08,21.45,21.57,21.02,21.27,10.1487,907172,0.0,1.0,ELET3
2010-09-09,21.17,21.29,21.0,21.0,10.0198,653627,0.0,1.0,ELET3
2010-09-10,21.13,21.55,20.99,21.55,10.2823,686166,0.0,1.0,ELET3
2010-09-13,21.75,21.86,21.55,21.83,10.4158,704383,0.0,1.0,ELET3
2010-09-14,21.75,21.85,21.45,21.45,10.2345,717286,0.0,1.0,ELET3
2010-09-15,21.41,21.74,21.22,21.74,10.3729,1243323,0.0,1.0,ELET3
2010-09-16,21.7,21.7,21.52,21.58,10.2966,301836,0.0,1.0,ELET3
2010-09-17,21.59,21.59,21.33,21.33,10.1773,568931,0.0,1.0,ELET3
2010-09-20,21.33,21.69,21.32,21.59,10.3013,854414,0.0,1.0,ELET3
2010-09-21,21.6,21.74,21.37,21.7,10.3538,408673,0.0,1.0,ELET3
2010-09-22,21.56,21.95,21.34,21.75,10.3777,1312200,0.0,1.0,ELET3
2010-09-23,21.52,21.8,21.51,21.56,10.287,1227378,0.0,1.0,ELET3
2010-09-24,21.66,21.84,21.54,21.71,10.3586,1409664,0.0,1.0,ELET3
2010-09-27,21.8,21.85,21.66,21.68,10.3443,736967,0.0,1.0,ELET3
2010-09-28,21.73,21.75,21.5,21.5,10.2584,534850,0.0,1.0,ELET3
2010-09-29,21.57,21.66,21.33,21.33,10.1773,1048270,0.0,1.0,ELET3
2010-09-30,21.51,21.6,21.42,21.56,10.287,932093,0.0,1.0,ELET3
2010-10-01,21.56,21.68,21.36,21.68,10.3443,1018557,0.0,1.0,ELET3
2010-10-04,21.61,22.28,21.6,22.26,10.621,981240,0.0,1.0,ELET3
2010-10-05,22.32,22.96,22.32,22.85,10.9025,1261546,0.0,1.0,ELET3
2010-10-06,22.85,23.1,22.63,23.1,11.0218,1813976,0.0,1.0,ELET3
2010-10-07,23.0,23.1,22.65,22.76,10.8596,775200,0.0,1.0,ELET3
2010-10-08,22.62,23.08,22.61,22.94,10.9455,579345,0.0,1.0,ELET3
2010-10-11,22.94,23.22,22.8,23.2,11.0695,446214,0.0,1.0,ELET3
2010-10-13,23.6,24.89,23.55,24.62,11.7471,2827118,0.0,1.0,ELET3
2010-10-14,24.54,25.4,24.41,24.95,11.9045,2155899,0.0,1.0,ELET3
2010-10-15,24.9,26.11,24.9,26.05,12.4294,1828368,0.0,1.0,ELET3
2010-10-18,25.9,25.9,24.2,24.4,11.6421,1798816,0.0,1.0,ELET3
2010-10-19,24.08,24.21,23.39,24.21,11.5514,2423819,0.0,1.0,ELET3
2010-10-20,24.51,24.83,24.27,24.7,11.7852,1526734,0.0,1.0,ELET3
2010-10-21,24.6,24.61,23.65,23.73,11.3224,1874190,0.0,1.0,ELET3
2010-10-22,23.8,23.96,23.5,23.5,11.2127,776456,0.0,1.0,ELET3
2010-10-25,23.69,23.93,23.2,23.2,11.0695,1985708,0.0,1.0,ELET3
2010-10-26,23.09,24.45,23.04,24.44,11.6612,1574718,0.0,1.0,ELET3
2010-10-27,24.0,24.2,23.59,23.91,11.4083,1217622,0.0,1.0,ELET3
2010-10-28,24.3,24.3,23.29,23.31,11.122,840528,0.0,1.0,ELET3
2010-10-29,23.5,23.72,23.23,23.4,11.1649,1418614,0.0,1.0,ELET3
2010-11-01,23.6,24.2,23.33,24.04,11.4703,805806,0.0,1.0,ELET3
2010-11-03,23.99,24.07,23.6,23.81,11.3606,857338,0.0,1.0,ELET3
2010-11-04,24.0,24.25,23.74,24.09,11.4942,1133415,0.0,1.0,ELET3
2010-11-05,24.09,24.13,23.5,23.6,11.2604,592459,0.0,1.0,ELET3
2010-11-08,23.6,23.8,23.21,23.69,11.3033,657492,0.0,1.0,ELET3
2010-11-09,23.9,23.9,23.09,23.3,11.1172,1403580,0.0,1.0,ELET3
2010-11-10,23.26,23.4,22.95,23.0,10.9741,987012,0.0,1.0,ELET3
2010-11-11,22.99,23.0,22.59,22.59,10.7785,909215,0.0,1.0,ELET3
2010-11-12,22.63,22.65,22.27,22.47,10.7212,801020,0.0,1.0,ELET3
2010-11-16,22.6,22.83,22.27,22.5,10.7355,1714913,0.0,1.0,ELET3
2010-11-17,22.59,22.78,22.25,22.39,10.683,745314,0.0,1.0,ELET3
2010-11-18,22.79,22.79,22.29,22.55,10.7594,1279731,0.0,1.0,ELET3
2010-11-19,22.49,22.84,22.38,22.49,10.7308,881557,0.0,1.0,ELET3
2010-11-22,22.5,22.79,22.05,22.32,10.6496,803566,0.0,1.0,ELET3
2010-11-23,22.06,22.34,21.82,22.1,10.5447,917816,0.0,1.0,ELET3
2010-11-24,22.2,22.5,22.1,22.35,10.664,647899,0.0,1.0,ELET3
2010-11-25,22.31,22.44,22.2,22.2,10.5924,201050,0.0,1.0,ELET3
2010-11-26,22.2,22.42,21.79,22.1,10.5447,1136372,0.0,1.0,ELET3
2010-11-29,21.88,22.1,21.68,21.94,10.4683,944794,0.0,1.0,ELET3
2010-11-30,21.98,22.63,21.62,22.49,10.7308,1227738,0.0,1.0,ELET3
2010-12-01,22.9,23.04,22.35,22.78,10.8691,683734,0.0,1.0,ELET3
2010-12-02,22.8,23.2,22.8,22.96,10.955,441069,0.0,1.0,ELET3
2010-12-03,22.93,23.75,22.8,23.75,11.3319,664824,0.0,1.0,ELET3
2010-12-06,23.65,23.78,23.2,23.43,11.1793,464828,0.0,1.0,ELET3
2010-12-07,23.66,23.66,22.89,23.0,10.9741,449107,0.0,1.0,ELET3
2010-12-08,22.98,23.16,22.7,22.8,10.8787,992128,0.0,1.0,ELET3
2010-12-09,22.77,23.06,22.35,22.35,10.664,961274,0.0,1.0,ELET3
2010-12-10,22.45,22.83,22.45,22.8,10.8787,527136,0.0,1.0,ELET3
2010-12-13,23.0,23.17,22.7,22.81,10.8834,599372,0.0,1.0,ELET3
2010-12-14,22.9,22.9,22.41,22.52,10.7451,558991,0.0,1.0,ELET3
2010-12-15,22.53,22.6,21.99,22.12,10.5542,1141060,0.0,1.0,ELET3
2010-12-16,22.11,22.45,22.02,22.06,10.5256,717312,0.0,1.0,ELET3
2010-12-17,22.04,22.14,21.76,21.95,10.4731,911212,0.0,1.0,ELET3
2010-12-20,22.19,22.19,21.79,22.17,10.5781,1602366,0.0,1.0,ELET3
2010-12-21,22.15,22.4,22.05,22.05,10.5208,754223,0.0,1.0,ELET3
2010-12-22,22.06,22.14,21.66,21.87,10.4349,946573,0.0,1.0,ELET3
2010-12-23,21.87,22.0,21.74,21.82,10.4111,647126,0.0,1.0,ELET3
2010-12-27,21.82,21.97,21.75,21.76,10.3824,250265,0.0,1.0,ELET3
2010-12-28,21.78,21.82,21.59,21.8,10.4015,817306,0.0,1.0,ELET3
2010-12-29,21.9,22.32,21.73,22.0,10.497,851205,0.0,1.0,ELET3
2010-12-30,22.15,22.4,22.03,22.24,10.6115,1032942,0.0,1.0,ELET3
2011-01-03,22.5,22.7,22.41,22.68,10.8214,986349,0.0,1.0,ELET3
2011-01-04,23.0,23.3,22.8,23.23,11.0838,1434269,0.0,1.0,ELET3
2011-01-05,23.25,23.94,23.15,23.87,11.3892,1751787,0.0,1.0,ELET3
2011-01-06,23.8,23.94,23.2,23.2,11.0695,2454867,0.0,1.0,ELET3
2011-01-07,23.3,23.36,22.82,23.05,10.998,791353,0.0,1.0,ELET3
2011-01-10,23.09,23.17,22.69,22.85,10.9025,863531,0.0,1.0,ELET3
2011-01-11,22.85,22.92,22.51,22.65,10.8071,1488713,0.0,1.0,ELET3
2011-01-12,22.78,22.85,22.6,22.73,10.8453,1529745,0.0,1.0,ELET3
2011-01-13,22.9,23.12,22.83,22.99,10.9693,1783452,0.0,1.0,ELET3
2011-01-14,22.9,23.68,22.86,23.38,11.1554,1459726,0.0,1.0,ELET3
2011-01-17,23.48,23.48,23.01,23.33,11.1316,1072846,0.0,1.0,ELET3
2011-01-18,23.2,23.28,22.98,23.12,11.0314,1245015,0.0,1.0,ELET3
2011-01-19,23.11,23.25,22.55,22.65,10.8071,1109181,0.0,1.0,ELET3
