,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,21.07,21.07,20.75,20.75,78.9487,29634,0.0,1.0,ENEV3
2010-07-14,21.08,21.16,21.08,21.08,80.2043,46093,0.0,1.0,ENEV3
2010-07-15,21.1,21.1,21.1,21.1,80.2803,94443,0.0,1.0,ENEV3
2010-07-16,21.04,21.05,20.4,20.4,77.617,61382,0.0,1.0,ENEV3
2010-07-19,20.92,20.92,19.9,19.9,75.7146,80490,0.0,1.0,ENEV3
2010-07-20,19.9,19.9,19.39,19.39,73.7742,121117,0.0,1.0,ENEV3
2010-07-21,20.0,20.19,20.0,20.0,76.0951,362596,0.0,1.0,ENEV3
2010-07-22,20.64,20.98,20.64,20.64,78.5302,263343,0.0,1.0,ENEV3
2010-07-23,20.95,20.96,20.95,20.95,79.7096,135026,0.0,1.0,ENEV3
2010-07-26,22.0,22.0,22.0,22.0,83.7046,255055,0.0,1.0,ENEV3
2010-07-27,22.0,22.0,21.52,21.52,81.8783,207541,0.0,1.0,ENEV3
2010-07-28,21.45,21.55,21.16,21.16,80.5086,35869,0.0,1.0,ENEV3
2010-07-29,21.38,21.42,20.8,20.8,79.1389,33769,0.0,1.0,ENEV3
2010-07-30,20.88,21.35,20.8,20.8,79.1389,164589,0.0,1.0,ENEV3
2010-08-02,21.0,21.16,20.9,20.9,79.5194,43059,0.0,1.0,ENEV3
2010-08-03,20.98,21.24,20.7,20.7,78.7584,54886,0.0,1.0,ENEV3
2010-08-04,21.2,21.2,21.02,21.02,79.976,115934,0.0,1.0,ENEV3
2010-08-05,21.99,21.99,21.99,21.99,83.6666,194416,0.0,1.0,ENEV3
2010-08-06,22.51,23.0,22.51,22.51,85.6451,236012,0.0,1.0,ENEV3
2010-08-09,22.7,22.99,22.7,22.7,86.368,111953,0.0,1.0,ENEV3
2010-08-10,22.51,22.69,22.3,22.3,84.8461,59225,0.0,1.0,ENEV3
2010-08-11,22.0,22.12,21.95,21.95,83.5144,117462,0.0,1.0,ENEV3
2010-08-12,23.7,23.8,23.7,23.7,90.1727,326807,0.0,1.0,ENEV3
2010-08-13,24.0,24.28,24.0,24.0,91.3141,229437,0.0,1.0,ENEV3
2010-08-16,25.8,25.8,25.8,25.8,98.1627,345384,0.0,1.0,ENEV3
2010-08-17,25.6,25.73,25.6,25.6,97.4017,277991,0.0,1.0,ENEV3
