,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,8.52,8.78,8.52,8.71,2.3268,291721,0.0,1.0,EZTC3
2010-07-14,8.77,8.8,8.66,8.79,2.3481,188253,0.0,1.0,EZTC3
2010-07-15,8.8,9.0,8.75,8.99,2.4015,397573,0.0,1.0,EZTC3
2010-07-16,9.01,9.2,8.8,9.0,2.4042,134011,0.0,1.0,EZTC3
2010-07-19,9.04,9.37,8.97,9.33,2.4924,170385,0.0,1.0,EZTC3
2010-07-20,9.39,9.39,9.04,9.25,2.471,147425,0.0,1.0,EZTC3
2010-07-21,9.18,9.39,9.14,9.29,2.4817,156044,0.0,1.0,EZTC3
2010-07-22,9.31,9.5,9.2,9.33,2.4924,274876,0.0,1.0,EZTC3
2010-07-23,9.32,9.49,9.26,9.46,2.5271,60585,0.0,1.0,EZTC3
2010-07-26,9.35,9.52,9.34,9.42,2.5164,68967,0.0,1.0,EZTC3
2010-07-27,9.42,9.44,9.36,9.39,2.5084,70021,0.0,1.0,EZTC3
2010-07-28,9.36,9.42,9.3,9.3,2.4843,124300,0.0,1.0,EZTC3
2010-07-29,9.24,9.44,9.06,9.27,2.4763,190850,0.0,1.0,EZTC3
2010-07-30,9.24,9.44,9.23,9.44,2.5218,104133,0.0,1.0,EZTC3
2010-08-02,9.43,9.6,9.43,9.52,2.5431,137052,0.0,1.0,EZTC3
2010-08-03,9.51,9.59,9.46,9.5,2.5378,107078,0.0,1.0,EZTC3
2010-08-04,9.6,9.93,9.41,9.85,2.6313,355945,0.0,1.0,EZTC3
2010-08-05,9.8,10.02,9.75,9.87,2.6366,263733,0.0,1.0,EZTC3
2010-08-06,9.92,9.96,9.64,9.9,2.6446,114251,0.0,1.0,EZTC3
2010-08-09,9.75,9.93,9.75,9.85,2.6313,35301,0.0,1.0,EZTC3
2010-08-10,9.76,9.8,9.71,9.77,2.6099,113805,0.0,1.0,EZTC3
2010-08-11,9.85,9.85,9.62,9.78,2.6126,66067,0.0,1.0,EZTC3
2010-08-12,9.77,10.24,9.66,10.15,2.7114,244634,0.0,1.0,EZTC3
2010-08-13,10.2,10.35,10.0,10.23,2.7328,264951,0.0,1.0,EZTC3
2010-08-16,10.15,10.92,10.07,10.64,2.8423,510333,0.0,1.0,EZTC3
2010-08-17,10.63,10.89,10.5,10.63,2.8396,356689,0.0,1.0,EZTC3
2010-08-18,10.65,10.7,10.38,10.52,2.8102,368516,0.0,1.0,EZTC3
2010-08-19,10.46,10.78,10.43,10.7,2.8583,130447,0.0,1.0,EZTC3
2010-08-20,10.68,10.69,10.39,10.6,2.8316,120298,0.0,1.0,EZTC3
