,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,20.585,20.6938,19.8423,20.2978,4.1471,96501,0.0,1.0,FLRY3
2010-07-14,19.8324,19.9017,19.7532,19.8028,4.0459,152918,0.0,1.0,FLRY3
2010-07-15,19.991,20.0899,19.7434,19.8028,4.0459,61718,0.0,1.0,FLRY3
2010-07-16,19.8524,19.9017,19.5651,19.8028,4.0459,188125,0.0,1.0,FLRY3
2010-07-19,20.2879,20.4958,19.8127,19.8127,4.048,46872,0.0,1.0,FLRY3
2010-07-20,19.8225,20.1493,19.3076,19.8028,4.0459,1402139,0.0,1.0,FLRY3
2010-07-21,19.8028,20.0603,19.6245,19.6245,4.0095,167552,0.0,1.0,FLRY3
2010-07-22,19.8524,20.4859,19.8028,19.991,4.0844,764166,0.0,1.0,FLRY3
2010-07-23,20.0502,20.4166,19.8028,19.8225,4.05,38176,0.0,1.0,FLRY3
2010-07-26,20.2879,20.2879,19.8127,19.8524,4.0561,9968,0.0,1.0,FLRY3
2010-07-27,20.2087,20.2087,19.8028,19.9414,4.0743,190882,0.0,1.0,FLRY3
2010-07-28,19.9414,20.2482,19.3175,19.6543,4.0156,93744,0.0,1.0,FLRY3
2010-07-29,20.0701,20.2383,19.8028,19.8423,4.054,143374,0.0,1.0,FLRY3
2010-07-30,19.7135,20.2978,19.6642,20.1989,4.1269,146979,0.0,1.0,FLRY3
2010-08-02,20.0008,20.1989,19.9513,19.9513,4.0763,178157,0.0,1.0,FLRY3
2010-08-03,20.0008,20.0997,19.9017,20.0008,4.0864,50902,0.0,1.0,FLRY3
2010-08-04,19.9611,20.1789,19.7037,19.7037,4.0257,9332,0.0,1.0,FLRY3
2010-08-05,20.0403,20.3969,20.0403,20.0502,4.0965,86745,0.0,1.0,FLRY3
2010-08-06,20.0107,20.7631,19.8225,19.8225,4.05,28208,0.0,1.0,FLRY3
2010-08-09,20.0603,20.7631,19.7631,20.1989,4.1269,126194,0.0,1.0,FLRY3
2010-08-10,20.4859,20.7929,19.9809,20.0206,4.0904,48356,0.0,1.0,FLRY3
2010-08-11,20.2978,20.3076,19.9017,19.9315,4.1257,17603,0.1236,1.0,FLRY3
2010-08-12,20.08,20.8423,20.08,20.189,4.179,35631,0.0,1.0,FLRY3
2010-08-13,20.2978,21.278,20.1989,20.2482,4.1913,266387,0.0,1.0,FLRY3
2010-08-16,19.8324,20.5256,19.8028,19.9116,4.1216,86957,0.0,1.0,FLRY3
2010-08-17,19.9513,20.3671,19.9513,20.1493,4.1708,184519,0.0,1.0,FLRY3
2010-08-18,20.4859,21.0899,20.4166,20.8721,4.3204,47932,0.0,1.0,FLRY3
2010-08-19,21.3969,22.9415,20.8721,22.9415,4.7488,156311,0.0,1.0,FLRY3
2010-08-20,23.0108,23.0206,21.4859,22.08,4.5705,120892,0.0,1.0,FLRY3
2010-08-23,22.08,22.2781,21.5057,21.5851,4.468,444968,0.0,1.0,FLRY3
2010-08-24,22.1493,22.1493,20.5454,20.5454,4.2528,30117,0.0,1.0,FLRY3
2010-08-25,20.5552,21.6344,20.2583,21.387,4.427,1249008,0.0,1.0,FLRY3
2010-08-26,21.3772,21.882,20.8028,21.4859,4.4475,39024,0.0,1.0,FLRY3
2010-08-27,21.6741,21.6741,20.9513,21.4859,4.4475,83352,0.0,1.0,FLRY3
2010-08-30,21.6741,21.6741,20.7929,20.8919,4.3245,323864,0.0,1.0,FLRY3
2010-08-31,20.8028,21.7434,20.8028,21.387,4.427,142101,0.0,1.0,FLRY3
2010-09-01,21.0899,21.8425,21.0899,21.0899,4.3655,313,0.0,1.0,FLRY3
2010-09-02,21.4364,21.7831,21.387,21.7831,4.509,107954,0.0,1.0,FLRY3
2010-09-03,21.773,21.773,21.1691,21.189,4.386,27996,0.0,1.0,FLRY3
2010-09-06,21.4859,21.9811,21.4859,21.684,4.4885,30329,0.0,1.0,FLRY3
2010-09-08,21.991,22.2583,21.2583,21.6344,4.4782,82927,0.0,1.0,FLRY3
2010-09-09,21.6245,22.1792,21.4265,21.5851,4.468,399793,0.0,1.0,FLRY3
2010-09-10,21.5851,22.5851,21.3969,21.5752,4.466,206365,0.0,1.0,FLRY3
2010-09-13,21.8324,21.971,21.4364,21.6048,4.4721,105833,0.0,1.0,FLRY3
2010-09-14,21.5057,21.684,21.5057,21.5949,4.4701,182398,0.0,1.0,FLRY3
2010-09-15,21.773,21.7831,21.5949,21.7335,4.4987,487174,0.0,1.0,FLRY3
2010-09-16,21.8226,21.9612,21.3772,21.7831,4.509,158008,0.0,1.0,FLRY3
