,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,11.93,12.05,11.86,11.99,28766.896,3487343,0.0,1.0,GFSA3
2010-07-14,12.01,12.38,11.83,12.38,29702.6039,5899852,0.0,1.0,GFSA3
2010-07-15,12.31,12.65,12.24,12.5,29990.5195,6050050,0.0,1.0,GFSA3
2010-07-16,12.5,12.57,12.11,12.14,29126.7905,4223443,0.0,1.0,GFSA3
2010-07-19,12.2,12.57,12.14,12.53,30062.4806,3852523,0.0,1.0,GFSA3
2010-07-20,12.44,12.63,12.28,12.58,30182.4514,6544129,0.0,1.0,GFSA3
2010-07-21,12.63,12.74,12.28,12.52,30038.4936,3339041,0.0,1.0,GFSA3
2010-07-22,12.69,12.81,12.6,12.75,30590.3199,3418183,0.0,1.0,GFSA3
2010-07-23,12.8,12.93,12.6,12.9,30950.2144,4387524,0.0,1.0,GFSA3
2010-07-26,12.89,13.1,12.74,12.87,30878.2355,3357386,0.0,1.0,GFSA3
2010-07-27,13.0,13.07,12.65,12.75,30590.3199,2357565,0.0,1.0,GFSA3
2010-07-28,12.65,13.0,12.6,12.98,31142.1463,2936394,0.0,1.0,GFSA3
2010-07-29,12.99,13.29,12.88,13.19,31645.9808,5966513,0.0,1.0,GFSA3
2010-07-30,12.93,13.3,12.91,13.2,31669.9856,4416067,0.0,1.0,GFSA3
2010-08-02,13.43,13.72,13.23,13.65,32749.6335,4212971,0.0,1.0,GFSA3
2010-08-03,13.55,13.55,13.07,13.15,31550.0148,4990801,0.0,1.0,GFSA3
2010-08-04,13.35,13.35,12.87,12.94,31046.1803,4791108,0.0,1.0,GFSA3
2010-08-05,12.9,12.91,12.57,12.6,30230.4432,4144945,0.0,1.0,GFSA3
2010-08-06,12.56,12.65,12.31,12.54,30086.4854,3296180,0.0,1.0,GFSA3
2010-08-09,12.71,12.82,12.46,12.55,30110.4725,2620690,0.0,1.0,GFSA3
2010-08-10,12.35,12.56,12.11,12.46,29894.5358,3577799,0.0,1.0,GFSA3
2010-08-11,12.27,12.4,12.14,12.19,29246.7435,2551652,0.0,1.0,GFSA3
2010-08-12,12.07,12.22,11.82,11.95,28670.9301,5346124,0.0,1.0,GFSA3
2010-08-13,12.0,12.2,11.9,11.95,28670.9301,12002119,0.0,1.0,GFSA3
2010-08-16,12.02,12.13,11.96,12.07,28958.8457,4372069,0.0,1.0,GFSA3
2010-08-17,12.25,12.34,12.21,12.24,29366.7142,6274121,0.0,1.0,GFSA3
2010-08-18,12.28,12.51,12.16,12.46,29894.5358,5184731,0.0,1.0,GFSA3
2010-08-19,12.35,12.72,12.25,12.25,29390.7013,6773403,0.0,1.0,GFSA3
2010-08-20,12.25,12.29,12.0,12.2,29270.7305,3879000,0.0,1.0,GFSA3
2010-08-23,12.3,12.41,12.18,12.22,29318.7224,4508238,0.0,1.0,GFSA3
2010-08-24,12.0,12.15,11.4,12.07,28958.8457,4445395,0.0,1.0,GFSA3
2010-08-25,11.91,12.04,11.76,12.04,28886.8668,3261776,0.0,1.0,GFSA3
2010-08-26,12.13,12.15,11.47,11.72,28119.1037,4520207,0.0,1.0,GFSA3
2010-08-27,11.84,12.11,11.55,12.11,29054.8116,4348531,0.0,1.0,GFSA3
2010-08-30,12.06,12.07,11.71,11.77,28239.0567,1612379,0.0,1.0,GFSA3
2010-08-31,11.77,12.1,11.71,12.1,29030.8068,5757633,0.0,1.0,GFSA3
2010-09-01,12.18,12.54,12.17,12.4,29750.578,5821028,0.0,1.0,GFSA3
2010-09-02,12.45,12.49,12.17,12.35,29630.625,1885092,0.0,1.0,GFSA3
2010-09-03,12.47,12.5,12.26,12.39,29726.5909,2830127,0.0,1.0,GFSA3
2010-09-06,12.41,12.41,12.13,12.3,29510.6542,590530,0.0,1.0,GFSA3
2010-09-08,12.2,12.4,12.12,12.4,29750.578,1801122,0.0,1.0,GFSA3
2010-09-09,12.48,12.65,12.32,12.65,30350.3962,3434179,0.0,1.0,GFSA3
2010-09-10,12.62,12.68,12.49,12.61,30254.4303,2438996,0.0,1.0,GFSA3
2010-09-13,12.63,12.99,12.63,12.99,31166.1333,4320391,0.0,1.0,GFSA3
2010-09-14,12.95,13.22,12.86,13.15,31550.0148,6714205,0.0,1.0,GFSA3
2010-09-15,13.02,13.18,12.9,13.15,31550.0148,4633688,0.0,1.0,GFSA3
2010-09-16,13.11,13.18,12.77,12.96,31094.1544,3955133,0.0,1.0,GFSA3
2010-09-17,12.87,13.01,12.5,12.9,30950.2144,7437471,0.0,1.0,GFSA3
2010-09-20,12.86,13.13,12.84,13.1,31430.0619,2572265,0.0,1.0,GFSA3
2010-09-21,13.06,13.17,12.91,13.0,31190.1381,2160092,0.0,1.0,GFSA3
2010-09-22,12.94,13.17,12.91,13.14,31526.0278,4270970,0.0,1.0,GFSA3
2010-09-23,13.0,13.46,13.0,13.3,31909.9093,6306092,0.0,1.0,GFSA3
2010-09-24,13.35,13.56,12.94,12.94,31046.1803,5449598,0.0,1.0,GFSA3
2010-09-27,13.01,13.38,13.0,13.38,32101.8412,3335848,0.0,1.0,GFSA3
2010-09-28,13.38,13.54,13.21,13.35,32029.8623,4530668,0.0,1.0,GFSA3
2010-09-29,13.3,13.46,13.0,13.0,31190.1381,5831894,0.0,1.0,GFSA3
2010-09-30,13.1,13.11,12.68,13.05,31310.0911,7177676,0.0,1.0,GFSA3
2010-10-01,13.2,13.61,13.14,13.5,32389.7568,19932558,0.0,1.0,GFSA3
2010-10-04,13.47,13.93,13.47,13.86,33253.4858,6186124,0.0,1.0,GFSA3
2010-10-05,14.0,14.3,13.91,14.3,34309.1466,6991069,0.0,1.0,GFSA3
2010-10-06,14.26,14.27,13.83,14.03,33661.3543,4074024,0.0,1.0,GFSA3
2010-10-07,13.99,14.1,13.46,13.98,33541.3836,4411894,0.0,1.0,GFSA3
2010-10-08,13.95,14.15,13.87,14.12,33877.2732,3136885,0.0,1.0,GFSA3
2010-10-11,14.17,14.2,13.84,14.0,33589.3754,2176154,0.0,1.0,GFSA3
2010-10-13,14.15,14.83,14.1,14.75,35388.7945,7340611,0.0,1.0,GFSA3
2010-10-14,14.74,14.82,14.57,14.66,35172.8756,3173727,0.0,1.0,GFSA3
2010-10-15,14.5,14.65,14.25,14.64,35124.8837,3499753,0.0,1.0,GFSA3
2010-10-18,14.69,14.82,14.37,14.42,34597.0444,2902402,0.0,1.0,GFSA3
2010-10-19,14.2,14.23,13.79,13.98,33541.3836,3807228,0.0,1.0,GFSA3
2010-10-20,14.06,14.35,13.68,14.0,33589.3754,2889367,0.0,1.0,GFSA3
2010-10-21,14.0,14.15,13.46,13.8,33109.528,4309628,0.0,1.0,GFSA3
2010-10-22,14.0,14.2,13.4,13.5,32389.7568,3426505,0.0,1.0,GFSA3
2010-10-25,13.5,13.74,13.36,13.5,32389.7568,4827478,0.0,1.0,GFSA3
2010-10-26,13.39,13.65,13.36,13.52,32437.7309,3841450,0.0,1.0,GFSA3
2010-10-27,13.51,13.94,13.46,13.94,33445.4176,3581087,0.0,1.0,GFSA3
2010-10-28,14.0,14.1,13.81,13.81,33133.515,3122512,0.0,1.0,GFSA3
2010-10-29,13.88,14.1,13.74,14.1,33829.2992,4409607,0.0,1.0,GFSA3
2010-11-01,14.01,14.36,13.96,14.05,33709.3284,2433272,0.0,1.0,GFSA3
2010-11-03,14.41,14.45,14.07,14.25,34189.1759,4694666,0.0,1.0,GFSA3
2010-11-04,14.29,14.65,14.27,14.65,35148.8708,3806336,0.0,1.0,GFSA3
2010-11-05,14.55,14.8,14.55,14.79,35484.7782,2690649,0.0,1.0,GFSA3
2010-11-08,14.63,14.7,14.36,14.4,34549.0704,3567224,0.0,1.0,GFSA3
2010-11-09,14.39,14.45,13.53,13.53,32461.7357,5255214,0.0,1.0,GFSA3
