,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,24.39,24.6,24.22,24.32,9.8295,5213093,0.0,1.0,GGBR4
2010-07-14,24.05,24.1699,23.63,23.9,9.6598,6860862,0.0,1.0,GGBR4
2010-07-15,23.8,23.8699,23.31,23.7901,9.6153,4794735,0.0,1.0,GGBR4
2010-07-16,23.75,23.75,23.01,23.06,9.3203,4845304,0.0,1.0,GGBR4
2010-07-19,23.2,23.46,23.13,23.46,9.4819,3762073,0.0,1.0,GGBR4
2010-07-20,23.23,24.41,23.1601,24.38,9.8538,8982229,0.0,1.0,GGBR4
2010-07-21,24.62,24.95,24.4999,24.7301,9.9952,7241658,0.0,1.0,GGBR4
2010-07-22,25.0301,25.64,25.0301,25.4599,10.2902,6892097,0.0,1.0,GGBR4
2010-07-23,25.6301,25.9999,25.12,25.9901,10.5045,6298984,0.0,1.0,GGBR4
2010-07-26,25.9001,26.18,25.77,25.8,10.4277,4212205,0.0,1.0,GGBR4
2010-07-27,25.97,26.0899,25.32,25.71,10.3913,5759922,0.0,1.0,GGBR4
2010-07-28,25.5,25.89,25.32,25.81,10.4317,3438735,0.0,1.0,GGBR4
2010-07-29,25.95,26.12,25.48,25.88,10.46,5379385,0.0,1.0,GGBR4
2010-07-30,25.45,25.87,25.16,25.3999,10.266,5361168,0.0,1.0,GGBR4
2010-08-02,25.9001,26.15,25.75,25.9999,10.5085,6168761,0.0,1.0,GGBR4
2010-08-03,25.8,26.7,25.72,26.5,10.7106,10562818,0.0,1.0,GGBR4
2010-08-04,26.75,27.08,26.47,26.84,10.848,6066176,0.0,1.0,GGBR4
2010-08-05,27.0,27.03,26.52,26.9399,10.8884,5026644,0.0,1.0,GGBR4
2010-08-06,26.7,26.9599,26.28,26.55,10.7308,5793263,0.0,1.0,GGBR4
2010-08-09,26.7,26.9399,26.48,26.55,10.7308,2910117,0.0,1.0,GGBR4
2010-08-10,26.2301,26.25,25.82,25.9999,10.5085,7801774,0.0,1.0,GGBR4
2010-08-11,25.65,25.65,24.86,24.86,10.0478,9042541,0.0,1.0,GGBR4
2010-08-12,24.65,25.0999,24.51,25.01,10.1084,4760915,0.0,1.0,GGBR4
2010-08-13,24.98,25.3001,24.7001,24.7399,9.9992,4555067,0.0,1.0,GGBR4
2010-08-16,24.7399,24.9,24.51,24.7699,10.0833,2960894,0.14,1.0,GGBR4
2010-08-17,25.06,25.16,24.8299,24.93,10.1484,5118036,0.0,1.0,GGBR4
2010-08-18,25.0699,25.08,24.51,24.6701,10.0426,6659989,0.0,1.0,GGBR4
2010-08-19,24.65,24.7999,23.91,24.08,9.8024,8987319,0.0,1.0,GGBR4
2010-08-20,23.91,24.13,23.68,24.13,9.8228,5109114,0.0,1.0,GGBR4
2010-08-23,24.4201,24.45,23.7901,23.8099,9.6925,4569313,0.0,1.0,GGBR4
2010-08-24,23.37,23.8,23.25,23.5,9.5663,6505283,0.0,1.0,GGBR4
2010-08-25,23.35,23.67,23.15,23.45,9.5459,6169780,0.0,1.0,GGBR4
2010-08-26,23.8,23.85,22.97,22.97,9.3506,6027658,0.0,1.0,GGBR4
2010-08-27,23.27,23.99,23.01,23.9,9.7291,5940156,0.0,1.0,GGBR4
2010-08-30,23.78,23.93,23.31,23.4,9.5256,3151241,0.0,1.0,GGBR4
2010-08-31,23.35,23.78,23.2099,23.36,9.5093,5729154,0.0,1.0,GGBR4
2010-09-01,23.67,24.4999,23.6,24.25,9.8716,7892481,0.0,1.0,GGBR4
2010-09-02,24.25,24.25,23.88,24.0701,9.7983,5622305,0.0,1.0,GGBR4
2010-09-03,24.49,24.65,23.8099,24.06,9.7942,5691351,0.0,1.0,GGBR4
2010-09-06,24.1999,24.4201,24.0,24.32,9.9001,2278578,0.0,1.0,GGBR4
2010-09-08,24.1999,24.86,24.12,24.84,10.1118,7924164,0.0,1.0,GGBR4
2010-09-09,24.9,24.98,24.53,24.72,10.0629,3636035,0.0,1.0,GGBR4
2010-09-10,24.7001,24.93,24.59,24.68,10.0466,2813704,0.0,1.0,GGBR4
2010-09-13,24.84,25.0001,24.71,24.9,10.1362,5268216,0.0,1.0,GGBR4
2010-09-14,24.7999,24.81,24.29,24.46,9.9571,5584881,0.0,1.0,GGBR4
2010-09-15,24.33,24.7001,24.25,24.7001,10.0548,4915756,0.0,1.0,GGBR4
2010-09-16,24.69,24.81,24.58,24.58,10.0059,3356563,0.0,1.0,GGBR4
2010-09-17,24.55,24.71,24.0401,24.15,9.8309,5340117,0.0,1.0,GGBR4
2010-09-20,24.1999,24.39,24.06,24.25,9.8716,5043535,0.0,1.0,GGBR4
2010-09-21,24.38,24.4999,24.15,24.19,9.8472,4877472,0.0,1.0,GGBR4
2010-09-22,24.1999,24.4999,24.0,24.1001,9.8105,7622689,0.0,1.0,GGBR4
2010-09-23,23.98,24.1001,23.7101,23.7101,9.6518,13076922,0.0,1.0,GGBR4
2010-09-24,23.8699,23.9,22.5301,22.6099,9.204,24483265,0.0,1.0,GGBR4
2010-09-27,22.9,23.09,22.69,22.9,9.322,8842460,0.0,1.0,GGBR4
2010-09-28,23.02,23.53,22.92,23.3801,9.5175,9620537,0.0,1.0,GGBR4
2010-09-29,23.34,23.5099,22.8401,22.8401,9.2976,10025579,0.0,1.0,GGBR4
