,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,22.55,23.3,22.55,23.3,15.6277,1829400,0.0,1.0,HYPE3
2010-07-14,23.0,23.22,22.71,22.79,15.2857,989000,0.0,1.0,HYPE3
2010-07-15,22.9,23.09,21.82,22.34,14.9838,2406000,0.0,1.0,HYPE3
2010-07-16,22.3,22.42,21.26,21.4,14.3534,2596000,0.0,1.0,HYPE3
2010-07-19,21.46,21.73,21.03,21.3,14.2863,2131700,0.0,1.0,HYPE3
2010-07-20,21.4,21.45,20.9,21.29,14.2796,2289700,0.0,1.0,HYPE3
2010-07-21,21.48,21.7,21.3,21.36,14.3265,2428300,0.0,1.0,HYPE3
2010-07-22,21.73,21.97,21.6,21.97,14.7357,3209100,0.0,1.0,HYPE3
2010-07-23,22.16,22.16,21.86,22.1,14.8229,2215300,0.0,1.0,HYPE3
2010-07-26,22.15,22.73,22.01,22.73,15.2454,1291500,0.0,1.0,HYPE3
2010-07-27,22.75,23.29,22.55,23.1,15.4936,2681300,0.0,1.0,HYPE3
2010-07-28,23.1,23.21,22.5,22.6,15.1582,2319600,0.0,1.0,HYPE3
2010-07-29,22.8,22.99,22.09,22.85,15.3259,1501400,0.0,1.0,HYPE3
2010-07-30,22.75,23.4,22.4,22.9,15.3594,1939800,0.0,1.0,HYPE3
2010-08-02,23.27,23.35,22.8,23.15,15.5271,1915100,0.0,1.0,HYPE3
2010-08-03,23.19,23.19,22.68,22.95,15.393,1336600,0.0,1.0,HYPE3
2010-08-04,22.9,23.5,22.9,23.39,15.6881,2123400,0.0,1.0,HYPE3
2010-08-05,23.25,23.31,22.67,22.82,15.3058,2036000,0.0,1.0,HYPE3
2010-08-06,22.82,22.82,22.1,22.25,14.9235,2599800,0.0,1.0,HYPE3
2010-08-09,22.73,23.3,22.16,22.9,15.3594,2357600,0.0,1.0,HYPE3
2010-08-10,22.7,22.75,22.3,22.3,14.957,3088900,0.0,1.0,HYPE3
2010-08-11,22.29,22.8,22.06,22.65,15.1918,1652700,0.0,1.0,HYPE3
2010-08-12,22.64,23.14,22.63,23.1,15.4936,2540200,0.0,1.0,HYPE3
2010-08-13,22.9,23.2,22.4,22.4,15.0241,1782000,0.0,1.0,HYPE3
2010-08-16,22.99,22.99,22.13,22.3,14.957,884000,0.0,1.0,HYPE3
2010-08-17,22.44,22.86,22.11,22.32,14.9704,2302700,0.0,1.0,HYPE3
2010-08-18,22.24,22.93,22.18,22.89,15.3527,5370700,0.0,1.0,HYPE3
2010-08-19,22.93,23.3,22.71,23.3,15.6277,2143600,0.0,1.0,HYPE3
2010-08-20,22.7,23.55,22.61,23.48,15.7485,1630600,0.0,1.0,HYPE3
2010-08-23,23.5,23.7,23.0,23.11,15.5003,1167500,0.0,1.0,HYPE3
2010-08-24,22.85,23.29,22.64,23.0,15.4265,1634600,0.0,1.0,HYPE3
2010-08-25,22.64,22.9,22.15,22.3,14.957,1074600,0.0,1.0,HYPE3
2010-08-26,22.6,22.94,22.25,22.7,15.2253,1475400,0.0,1.0,HYPE3
2010-08-27,22.8,23.67,22.62,23.4,15.6948,1624700,0.0,1.0,HYPE3
2010-08-30,23.35,23.58,23.03,23.4,15.6948,709,0.0,1.0,HYPE3
2010-08-31,23.37,23.39,22.88,23.13,15.5137,1316300,0.0,1.0,HYPE3
2010-09-01,23.64,23.64,22.81,23.23,15.5808,900,0.0,1.0,HYPE3
2010-09-02,23.06,23.28,22.62,22.65,15.1918,1088500,0.0,1.0,HYPE3
2010-09-03,22.7,23.14,22.5,22.65,15.1918,1620700,0.0,1.0,HYPE3
2010-09-06,22.84,22.84,22.21,22.35,14.9906,942600,0.0,1.0,HYPE3
2010-09-08,22.43,22.43,22.28,22.35,14.9906,2513200,0.0,1.0,HYPE3
2010-09-09,22.43,22.98,22.43,22.9,15.3594,2609400,0.0,1.0,HYPE3
2010-09-10,22.99,23.59,22.78,23.5,15.7619,1303000,0.0,1.0,HYPE3
2010-09-13,23.65,24.9,23.65,24.01,16.1039,4056300,0.0,1.0,HYPE3
2010-09-14,24.0,24.26,23.56,23.85,15.9966,1899600,0.0,1.0,HYPE3
2010-09-15,23.67,24.5,23.67,24.5,16.4326,1227200,0.0,1.0,HYPE3
2010-09-16,24.5,24.5,23.93,24.12,16.1777,10253600,0.0,1.0,HYPE3
2010-09-17,24.08,24.37,23.69,23.79,15.9564,1454100,0.0,1.0,HYPE3
2010-09-20,23.99,24.3,23.87,24.19,16.2247,857300,0.0,1.0,HYPE3
2010-09-21,24.18,24.35,23.83,24.05,16.1308,2123900,0.0,1.0,HYPE3
2010-09-22,24.01,24.17,23.5,23.9,16.0302,835,0.0,1.0,HYPE3
2010-09-23,24.09,25.0,23.92,24.65,16.5332,2269100,0.0,1.0,HYPE3
2010-09-24,24.94,24.95,24.03,24.7,16.5667,2382000,0.0,1.0,HYPE3
2010-09-27,24.79,26.0,24.79,25.4,17.0362,2336800,0.0,1.0,HYPE3
2010-09-28,25.77,25.89,25.33,25.45,17.0698,1748600,0.0,1.0,HYPE3
2010-09-29,25.4,26.29,25.13,25.65,17.2039,1943300,0.0,1.0,HYPE3
2010-09-30,25.57,26.29,25.3,26.29,17.6332,1729000,0.0,1.0,HYPE3
2010-10-01,26.29,27.07,26.13,27.07,18.1563,3064200,0.0,1.0,HYPE3
2010-10-04,27.19,27.19,26.46,26.75,17.9417,922700,0.0,1.0,HYPE3
2010-10-05,26.65,28.3,26.65,27.58,18.4984,1410600,0.0,1.0,HYPE3
2010-10-06,28.5,28.5,27.52,28.0,18.7801,3048600,0.0,1.0,HYPE3
2010-10-07,28.2,28.45,27.35,28.4,19.0484,2564400,0.0,1.0,HYPE3
2010-10-08,28.04,28.9,28.04,28.65,19.2161,3283400,0.0,1.0,HYPE3
2010-10-11,28.63,29.69,28.63,29.49,19.7795,1854300,0.0,1.0,HYPE3
2010-10-13,29.51,30.25,28.7,28.7,19.2496,2642400,0.0,1.0,HYPE3
2010-10-14,28.91,28.91,27.05,27.18,18.2301,2768800,0.0,1.0,HYPE3
2010-10-15,27.55,28.41,27.01,27.39,18.371,1339700,0.0,1.0,HYPE3
2010-10-18,27.34,28.1,27.04,27.75,18.6124,1747400,0.0,1.0,HYPE3
2010-10-19,27.2,27.47,26.65,26.85,18.0088,2400300,0.0,1.0,HYPE3
2010-10-20,26.85,27.87,26.85,27.7,18.5789,2964500,0.0,1.0,HYPE3
2010-10-21,28.0,28.5,27.84,28.5,19.1155,2281500,0.0,1.0,HYPE3
2010-10-22,28.5,28.63,28.0,28.25,18.9478,1358600,0.0,1.0,HYPE3
