,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,11.0456,11.1093,10.9909,11.091,2.7888,10352644,0.0,1.0,ITSA4
2010-07-14,11.0541,11.1457,10.982,11.073,2.7842,10765752,0.0,1.0,ITSA4
2010-07-15,11.073,11.1001,10.8454,11.0456,2.7774,8355285,0.0,1.0,ITSA4
2010-07-16,10.9909,11.073,10.6909,10.7181,2.6951,11450192,0.0,1.0,ITSA4
2010-07-19,10.7727,11.0001,10.7638,11.0001,2.766,6897765,0.0,1.0,ITSA4
2010-07-20,10.8909,11.182,10.8637,11.0541,2.7797,12395146,0.0,1.0,ITSA4
2010-07-21,11.1545,11.2093,10.982,11.1368,2.8002,13039144,0.0,1.0,ITSA4
2010-07-22,11.2726,11.4638,11.2364,11.3998,2.8665,18367707,0.0,1.0,ITSA4
2010-07-23,11.4545,11.5457,11.2457,11.5457,2.9031,16399974,0.0,1.0,ITSA4
2010-07-26,11.5457,11.5911,11.3998,11.5813,2.9122,12897131,0.0,1.0,ITSA4
2010-07-27,11.6365,11.6818,11.4367,11.4725,2.8848,14949978,0.0,1.0,ITSA4
2010-07-28,11.4545,11.7814,11.3819,11.6818,2.9374,21469903,0.0,1.0,ITSA4
2010-07-29,11.7814,11.8002,11.5728,11.8002,2.9671,10342533,0.0,1.0,ITSA4
2010-07-30,11.709,11.9092,11.6,11.8907,2.99,17993864,0.0,1.0,ITSA4
2010-08-02,11.982,11.982,11.8543,11.9365,3.0014,10582358,0.0,1.0,ITSA4
2010-08-03,11.8638,11.9001,11.4545,11.4638,2.8825,18753542,0.0,1.0,ITSA4
2010-08-04,11.5457,11.6088,11.2457,11.4091,2.8688,15015812,0.0,1.0,ITSA4
2010-08-05,11.4091,11.5182,11.3725,11.4367,2.8757,5940820,0.0,1.0,ITSA4
2010-08-06,11.391,11.5544,11.3267,11.5087,2.894,7666143,0.0,1.0,ITSA4
2010-08-09,11.5544,11.6365,11.4274,11.5273,2.8985,8612508,0.0,1.0,ITSA4
2010-08-10,11.418,11.5087,11.3456,11.482,2.8871,7367774,0.0,1.0,ITSA4
2010-08-11,11.2817,11.3362,11.0363,11.1368,2.8162,14806554,0.0305,1.0,ITSA4
2010-08-12,11.1093,11.2272,11.0092,11.1907,2.83,6602452,0.0,1.0,ITSA4
2010-08-13,11.1726,11.3544,11.1368,11.2182,2.8369,10978067,0.0,1.0,ITSA4
2010-08-16,11.2546,11.3819,11.1545,11.3819,2.8783,7368479,0.0,1.0,ITSA4
2010-08-17,11.3819,11.482,11.3637,11.4367,2.8921,9458711,0.0,1.0,ITSA4
2010-08-18,11.4274,11.4454,11.3184,11.3184,2.8622,11523550,0.0,1.0,ITSA4
2010-08-19,11.3184,11.4367,11.1457,11.2,2.8323,9355022,0.0,1.0,ITSA4
2010-08-20,11.1726,11.182,11.073,11.182,2.8277,5291649,0.0,1.0,ITSA4
2010-08-23,11.2364,11.2546,11.091,11.091,2.8047,8344469,0.0,1.0,ITSA4
2010-08-24,11.0541,11.073,10.8817,10.9091,2.7587,13121202,0.0,1.0,ITSA4
2010-08-25,10.8637,10.982,10.7181,10.9181,2.761,13603436,0.0,1.0,ITSA4
2010-08-26,10.9549,11.0001,10.6272,10.7275,2.7128,12623919,0.0,1.0,ITSA4
2010-08-27,10.8454,11.0817,10.6638,11.0817,2.8024,16832363,0.0,1.0,ITSA4
2010-08-30,10.9909,11.0363,10.8454,10.9091,2.7587,7508376,0.0,1.0,ITSA4
2010-08-31,10.9364,11.2364,10.9091,11.182,2.8277,23807248,0.0,1.0,ITSA4
2010-09-01,11.2457,11.4091,11.1638,11.2913,2.8585,29220455,0.006,1.0,ITSA4
2010-09-02,11.2635,11.2726,11.1269,11.1457,2.8217,12072324,0.0,1.0,ITSA4
2010-09-03,11.2635,11.2635,11.0363,11.1368,2.8194,12760760,0.0,1.0,ITSA4
