,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2020-09-10,9.65,9.98,9.22,9.49,7.5635,2780800,0.0,1.0,JSLG3
2020-09-11,9.3,9.57,9.0,9.12,7.2686,835100,0.0,1.0,JSLG3
2020-09-14,9.12,9.27,9.12,9.2,7.3323,496100,0.0,1.0,JSLG3
2020-09-15,9.5,9.5,9.05,9.2,7.3323,626300,0.0,1.0,JSLG3
2020-09-16,9.8,9.8,9.2,9.3,7.412,264700,0.0,1.0,JSLG3
2020-09-17,9.25,9.46,9.13,9.35,7.4519,1084500,0.0,1.0,JSLG3
2020-09-18,9.35,9.4,8.82,9.05,7.2128,748500,0.0,1.0,JSLG3
2020-09-21,9.2,9.2,8.71,8.87,7.0693,441600,0.0,1.0,JSLG3
2020-09-22,8.91,9.12,8.7,8.77,6.9896,339300,0.0,1.0,JSLG3
2020-09-23,8.77,9.19,8.41,8.65,6.894,267000,0.0,1.0,JSLG3
2020-09-24,8.65,8.7,7.91,8.6,6.8541,368700,0.0,1.0,JSLG3
2020-09-25,8.5,8.5,8.3,8.5,6.7744,350600,0.0,1.0,JSLG3
2020-09-28,8.8,8.92,7.95,8.15,6.4955,247600,0.0,1.0,JSLG3
2020-09-29,8.3,8.3,8.05,8.12,6.4716,702700,0.0,1.0,JSLG3
2020-09-30,8.14,8.7,8.07,8.33,6.6389,379100,0.0,1.0,JSLG3
2020-10-01,8.33,8.52,8.18,8.3,6.615,478500,0.0,1.0,JSLG3
2020-10-02,8.3,8.3,8.02,8.2,6.5353,253600,0.0,1.0,JSLG3
2020-10-05,8.21,8.43,8.06,8.2,6.5353,459800,0.0,1.0,JSLG3
2020-10-06,8.2,8.6,8.2,8.44,6.7266,271600,0.0,1.0,JSLG3
2020-10-07,8.6,8.89,8.15,8.6,6.8541,462600,0.0,1.0,JSLG3
2020-10-08,8.6,9.4,8.6,9.15,7.2925,494600,0.0,1.0,JSLG3
2020-10-09,9.33,9.65,8.41,9.32,7.428,991300,0.0,1.0,JSLG3
2020-10-13,9.2,9.2,8.92,9.0,7.1729,171000,0.0,1.0,JSLG3
2020-10-14,9.15,9.15,8.92,9.05,7.2128,56400,0.0,1.0,JSLG3
2020-10-15,9.1,9.11,8.75,8.75,6.9737,71200,0.0,1.0,JSLG3
2020-10-16,9.0,9.0,8.27,8.4,6.6947,144100,0.0,1.0,JSLG3
2020-10-19,8.65,9.04,8.25,8.25,6.5752,595600,0.0,1.0,JSLG3
2020-10-20,8.58,9.0,8.32,9.0,7.1729,212300,0.0,1.0,JSLG3
2020-10-21,8.9,9.19,8.83,8.88,7.0773,54600,0.0,1.0,JSLG3
2020-10-22,8.88,9.38,8.88,9.1,7.2526,240200,0.0,1.0,JSLG3
2020-10-23,9.2,9.33,9.1,9.15,7.2925,142600,0.0,1.0,JSLG3
2020-10-26,9.15,9.2,9.0,9.0,7.1729,68400,0.0,1.0,JSLG3
2020-10-27,9.19,9.19,9.0,9.0,7.1729,33100,0.0,1.0,JSLG3
2020-10-28,8.9,8.9,8.56,8.68,6.9179,386500,0.0,1.0,JSLG3
2020-10-29,8.89,8.89,8.4,8.68,6.9179,138700,0.0,1.0,JSLG3
2020-10-30,8.7,9.35,8.52,9.15,7.2925,180200,0.0,1.0,JSLG3
2020-11-03,9.2,9.2,8.72,9.0,7.1729,356600,0.0,1.0,JSLG3
2020-11-04,9.13,9.15,8.87,8.9,7.0932,622500,0.0,1.0,JSLG3
2020-11-05,9.05,9.05,8.84,8.9,7.0932,82800,0.0,1.0,JSLG3
2020-11-06,8.81,9.3,8.8,9.25,7.3722,148300,0.0,1.0,JSLG3
2020-11-09,9.34,9.46,8.92,9.14,7.2845,67900,0.0,1.0,JSLG3
2020-11-10,9.34,9.4,9.01,9.01,7.1809,41600,0.0,1.0,JSLG3
2020-11-11,9.3,10.0,8.6,10.0,7.9699,157100,0.0,1.0,JSLG3
2020-11-12,9.35,9.85,9.35,9.75,7.7707,156400,0.0,1.0,JSLG3
2020-11-13,9.84,9.99,9.66,9.85,7.8504,123000,0.0,1.0,JSLG3
2020-11-16,9.94,10.05,9.73,9.9,7.8902,140900,0.0,1.0,JSLG3
2020-11-17,9.9,10.01,9.7,9.75,7.7707,852300,0.0,1.0,JSLG3
2020-11-18,9.82,9.84,9.56,9.75,7.7707,71400,0.0,1.0,JSLG3
2020-11-19,9.7,9.88,9.56,9.65,7.691,60600,0.0,1.0,JSLG3
2020-11-20,9.86,10.05,9.69,10.0,7.9699,62200,0.0,1.0,JSLG3
2020-11-23,10.01,10.25,9.7,9.85,7.8504,203700,0.0,1.0,JSLG3
2020-11-24,9.81,9.95,9.81,9.85,7.8504,163200,0.0,1.0,JSLG3
2020-11-25,9.85,9.97,9.85,9.95,7.9301,55900,0.0,1.0,JSLG3
2020-11-26,9.95,10.0,9.87,9.88,7.8743,48000,0.0,1.0,JSLG3
2020-11-27,9.82,9.99,9.82,9.95,7.9301,134300,0.0,1.0,JSLG3
2020-11-30,9.95,10.4,9.85,10.15,8.0895,142200,0.0,1.0,JSLG3
2020-12-01,10.1,10.42,10.02,10.11,8.0576,177600,0.0,1.0,JSLG3
2020-12-02,10.06,10.39,9.9,9.94,7.9221,193600,0.0,1.0,JSLG3
2020-12-03,10.14,10.14,9.91,9.95,7.9301,177200,0.0,1.0,JSLG3
2020-12-04,9.96,10.0,9.83,9.83,7.8344,133400,0.0,1.0,JSLG3
2020-12-07,9.99,10.17,9.86,10.1,8.0496,112700,0.0,1.0,JSLG3
2020-12-08,10.11,10.75,9.96,10.75,8.5677,1315700,0.0,1.0,JSLG3
2020-12-09,10.75,10.99,10.5,10.7,8.5278,845400,0.0,1.0,JSLG3
2020-12-10,10.94,10.98,10.6,10.94,8.7191,112200,0.0,1.0,JSLG3
2020-12-11,10.83,11.0,10.67,11.0,8.7669,205400,0.0,1.0,JSLG3
2020-12-14,11.04,11.5,10.71,10.99,8.7589,353800,0.0,1.0,JSLG3
2020-12-15,11.01,11.27,10.71,10.8,8.6075,343500,0.0,1.0,JSLG3
2020-12-16,10.81,10.9,10.71,10.84,8.6394,152900,0.0,1.0,JSLG3
2020-12-17,10.87,10.96,10.53,10.71,8.5358,230600,0.0,1.0,JSLG3
2020-12-18,10.72,11.07,10.38,10.77,8.5836,746600,0.0,1.0,JSLG3
2020-12-21,10.6,11.03,10.31,11.03,8.7908,204900,0.0,1.0,JSLG3
2020-12-22,10.95,11.23,10.69,10.98,8.751,229800,0.0,1.0,JSLG3
2020-12-23,10.97,11.02,10.77,10.99,8.7589,211000,0.0,1.0,JSLG3
2020-12-28,11.0,11.14,10.83,10.84,8.6394,352700,0.0,1.0,JSLG3
2020-12-29,10.84,10.92,10.69,10.7,8.5278,331100,0.0,1.0,JSLG3
2020-12-30,10.86,10.91,10.71,10.82,8.6235,152800,0.0,1.0,JSLG3
2021-01-04,10.93,10.98,10.72,10.75,8.5677,193900,0.0,1.0,JSLG3
2021-01-05,10.74,10.89,10.35,10.36,8.2568,298200,0.0,1.0,JSLG3
2021-01-06,10.56,10.56,9.88,9.88,7.9167,1346300,0.0554,1.0,JSLG3
2021-01-07,9.9,9.93,9.44,9.78,7.8365,1349400,0.0,1.0,JSLG3
2021-01-08,9.78,10.06,9.68,10.0,8.0128,398700,0.0,1.0,JSLG3
2021-01-11,9.99,9.99,9.6,9.79,7.8445,572800,0.0,1.0,JSLG3
2021-01-12,9.79,9.99,9.61,9.61,7.7003,247400,0.0,1.0,JSLG3
2021-01-13,9.62,9.73,9.5,9.52,7.6282,183800,0.0,1.0,JSLG3
2021-01-14,9.52,9.63,9.22,9.45,7.5721,585500,0.0,1.0,JSLG3
2021-01-15,9.43,9.52,9.26,9.3,7.4519,378300,0.0,1.0,JSLG3
2021-01-18,9.39,9.39,9.1,9.1,7.2917,244200,0.0,1.0,JSLG3
2021-01-19,9.14,9.2,8.83,9.05,7.2516,258400,0.0,1.0,JSLG3
2021-01-20,9.05,9.13,8.91,9.0,7.2115,188200,0.0,1.0,JSLG3
2021-01-21,9.01,9.27,9.0,9.15,7.3317,373000,0.0,1.0,JSLG3
2021-01-22,9.15,9.19,8.91,9.03,7.2356,233200,0.0,1.0,JSLG3
2021-01-26,9.03,9.24,8.75,8.79,7.0433,310300,0.0,1.0,JSLG3
2021-01-27,9.0,9.73,9.0,9.45,7.5721,896700,0.0,1.0,JSLG3
2021-01-28,9.42,9.64,9.36,9.41,7.5401,299600,0.0,1.0,JSLG3
2021-01-29,9.26,9.56,9.24,9.56,7.6602,309200,0.0,1.0,JSLG3
2021-02-01,9.57,9.8,9.4,9.75,7.8125,475100,0.0,1.0,JSLG3
2021-02-02,9.86,10.16,9.45,9.82,7.8686,465400,0.0,1.0,JSLG3
2021-02-03,9.99,9.99,9.75,9.84,7.8846,820600,0.0,1.0,JSLG3
2021-02-04,9.98,10.15,9.77,9.96,7.9808,366800,0.0,1.0,JSLG3
2021-02-05,10.0,10.07,9.67,10.03,8.0368,1294600,0.0,1.0,JSLG3
2021-02-08,10.09,10.09,9.6,9.75,7.8125,636400,0.0,1.0,JSLG3
2021-02-09,9.8,9.8,9.11,9.26,7.4199,1546100,0.0,1.0,JSLG3
2021-02-10,9.3,9.4,9.15,9.4,7.532,306900,0.0,1.0,JSLG3
2021-02-11,9.4,9.64,9.25,9.5,7.6122,683100,0.0,1.0,JSLG3
2021-02-12,9.5,9.74,9.37,9.68,7.7564,722300,0.0,1.0,JSLG3
2021-02-17,9.67,9.68,9.43,9.53,7.6362,254100,0.0,1.0,JSLG3
2021-02-18,9.53,9.56,9.33,9.42,7.5481,247600,0.0,1.0,JSLG3
2021-02-19,9.59,9.59,9.35,9.44,7.5641,318200,0.0,1.0,JSLG3
2021-02-22,9.31,9.36,9.0,9.07,7.2676,528300,0.0,1.0,JSLG3
2021-02-23,9.1,9.2,8.96,9.05,7.2516,1123400,0.0,1.0,JSLG3
2021-02-24,9.38,9.64,9.28,9.62,7.7083,450500,0.0,1.0,JSLG3
2021-02-25,9.73,10.1,9.44,9.58,7.6763,538200,0.0,1.0,JSLG3
2021-02-26,9.57,9.68,9.22,9.43,7.5561,321400,0.0,1.0,JSLG3
2021-03-01,9.63,10.09,9.27,9.9,7.9327,837200,0.0,1.0,JSLG3
2021-03-02,10.02,10.02,9.62,9.79,7.8445,856800,0.0,1.0,JSLG3
2021-03-03,9.79,9.97,9.33,9.44,7.5641,368000,0.0,1.0,JSLG3
2021-03-04,9.44,9.7,9.35,9.6,7.6923,307900,0.0,1.0,JSLG3
