,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2020-09-02,8.3,9.0,8.05,9.0,5.8687,28617800,0.0,1.0,LAVV3
2020-09-03,8.75,9.19,8.71,8.86,5.7774,6823600,0.0,1.0,LAVV3
2020-09-04,8.91,8.95,8.35,8.63,5.6274,4466000,0.0,1.0,LAVV3
2020-09-08,8.5,8.5,8.21,8.27,5.3927,2424200,0.0,1.0,LAVV3
2020-09-09,8.3,8.41,8.11,8.27,5.3927,2285500,0.0,1.0,LAVV3
2020-09-10,8.27,8.35,8.1,8.2,5.347,1459400,0.0,1.0,LAVV3
2020-09-11,8.2,8.22,7.88,7.93,5.171,1700200,0.0,1.0,LAVV3
2020-09-14,8.0,8.26,7.94,8.12,5.2948,2456700,0.0,1.0,LAVV3
2020-09-15,8.12,8.14,7.84,8.05,5.2492,1367400,0.0,1.0,LAVV3
2020-09-16,7.97,8.35,7.9,8.2,5.347,4338600,0.0,1.0,LAVV3
2020-09-17,8.2,8.24,8.06,8.09,5.2753,1293300,0.0,1.0,LAVV3
2020-09-18,8.09,8.09,7.62,8.05,5.2492,1999600,0.0,1.0,LAVV3
2020-09-21,7.8,8.0,7.36,8.0,5.2166,2530900,0.0,1.0,LAVV3
2020-09-22,8.0,8.06,7.63,7.8,5.0862,3820400,0.0,1.0,LAVV3
2020-09-23,7.93,7.93,7.6,7.74,5.0471,1118600,0.0,1.0,LAVV3
2020-09-24,7.75,7.98,7.64,7.92,5.1644,1256100,0.0,1.0,LAVV3
2020-09-25,7.9,7.96,7.73,7.9,5.1514,2069200,0.0,1.0,LAVV3
2020-09-28,7.9,8.19,7.78,7.93,5.171,1810400,0.0,1.0,LAVV3
2020-09-29,7.93,8.04,7.54,7.54,4.9166,2260600,0.0,1.0,LAVV3
2020-09-30,7.61,8.0,7.45,8.0,5.2166,1176500,0.0,1.0,LAVV3
2020-10-01,8.0,8.1,7.75,8.1,5.2818,1658300,0.0,1.0,LAVV3
2020-10-02,8.0,8.29,7.98,8.1,5.2818,685500,0.0,1.0,LAVV3
2020-10-05,8.01,8.01,7.68,7.94,5.1775,1420200,0.0,1.0,LAVV3
2020-10-06,7.91,8.17,7.8,7.92,5.1644,985600,0.0,1.0,LAVV3
2020-10-07,7.92,7.92,7.47,7.47,4.871,2158400,0.0,1.0,LAVV3
2020-10-08,7.57,7.94,7.21,7.94,5.1775,2613100,0.0,1.0,LAVV3
2020-10-09,7.79,8.15,7.57,7.77,5.0666,1453900,0.0,1.0,LAVV3
2020-10-13,7.77,7.85,7.54,7.85,5.1188,877100,0.0,1.0,LAVV3
2020-10-14,7.89,8.04,7.66,7.89,5.1449,1103700,0.0,1.0,LAVV3
2020-10-15,8.0,8.11,7.65,7.8,5.0862,1994200,0.0,1.0,LAVV3
2020-10-16,7.82,8.18,7.75,7.9,5.1514,1328500,0.0,1.0,LAVV3
2020-10-19,7.89,8.03,7.44,7.44,4.8514,2510000,0.0,1.0,LAVV3
2020-10-20,7.5,7.58,7.26,7.49,4.884,1787300,0.0,1.0,LAVV3
2020-10-21,7.47,7.62,7.32,7.39,4.8188,1012500,0.0,1.0,LAVV3
2020-10-22,7.4,7.5,7.3,7.44,4.8514,960000,0.0,1.0,LAVV3
2020-10-23,7.45,7.56,7.22,7.36,4.7993,1334000,0.0,1.0,LAVV3
2020-10-26,7.36,7.53,7.22,7.36,4.7993,911000,0.0,1.0,LAVV3
2020-10-27,7.4,7.63,7.25,7.48,4.8775,1324200,0.0,1.0,LAVV3
2020-10-28,7.4,7.4,7.06,7.15,4.6623,1389000,0.0,1.0,LAVV3
2020-10-29,7.06,7.2,6.95,7.2,4.6949,714200,0.0,1.0,LAVV3
2020-10-30,7.15,7.33,7.02,7.33,4.7797,716300,0.0,1.0,LAVV3
2020-11-03,7.33,7.33,6.88,7.01,4.571,1750300,0.0,1.0,LAVV3
2020-11-04,7.03,7.28,6.87,7.19,4.6884,2339800,0.0,1.0,LAVV3
2020-11-05,7.06,7.65,7.06,7.63,4.9753,3069000,0.0,1.0,LAVV3
2020-11-06,7.5,7.77,7.36,7.77,5.0666,643800,0.0,1.0,LAVV3
2020-11-09,7.82,8.07,7.6,7.65,4.9884,910300,0.0,1.0,LAVV3
2020-11-10,7.65,8.14,7.51,7.99,5.2101,628200,0.0,1.0,LAVV3
2020-11-11,8.17,8.17,7.66,7.85,5.1188,1450700,0.0,1.0,LAVV3
2020-11-12,7.76,7.99,7.65,7.71,5.0275,1093400,0.0,1.0,LAVV3
2020-11-13,7.8,7.89,7.74,7.75,5.0536,1059500,0.0,1.0,LAVV3
2020-11-16,7.87,7.88,7.63,7.63,4.9753,1144700,0.0,1.0,LAVV3
2020-11-17,7.6,7.92,7.56,7.64,4.9818,3337100,0.0,1.0,LAVV3
2020-11-18,7.68,7.68,7.32,7.5,4.8906,3376100,0.0,1.0,LAVV3
2020-11-19,7.52,7.61,7.43,7.5,4.8906,2246000,0.0,1.0,LAVV3
2020-11-20,7.56,7.63,7.26,7.4,4.8254,2221900,0.0,1.0,LAVV3
2020-11-23,7.4,7.47,7.19,7.29,4.7536,715200,0.0,1.0,LAVV3
2020-11-24,7.39,7.39,7.11,7.3,4.7601,2911300,0.0,1.0,LAVV3
2020-11-25,7.29,7.45,7.25,7.3,4.7601,2895900,0.0,1.0,LAVV3
2020-11-26,7.3,7.34,7.17,7.21,4.7015,475500,0.0,1.0,LAVV3
2020-11-27,7.23,7.57,7.2,7.47,4.871,1162700,0.0,1.0,LAVV3
2020-11-30,7.4,7.73,7.4,7.73,5.0405,843400,0.0,1.0,LAVV3
2020-12-01,7.73,8.02,7.62,7.9,5.1514,2324800,0.0,1.0,LAVV3
2020-12-02,7.96,8.01,7.72,7.92,5.1644,678200,0.0,1.0,LAVV3
2020-12-03,7.92,8.09,7.87,7.97,5.197,1048000,0.0,1.0,LAVV3
2020-12-04,7.92,8.1,7.77,7.86,5.1253,508100,0.0,1.0,LAVV3
2020-12-07,7.94,8.1,7.75,8.1,5.2818,615100,0.0,1.0,LAVV3
2020-12-08,8.15,8.75,8.05,8.59,5.6013,874800,0.0,1.0,LAVV3
2020-12-09,8.65,8.89,8.45,8.89,5.7969,594300,0.0,1.0,LAVV3
2020-12-10,8.89,9.06,8.76,9.05,5.9013,612800,0.0,1.0,LAVV3
2020-12-11,8.98,9.23,8.9,9.2,5.9991,971800,0.0,1.0,LAVV3
2020-12-14,9.2,9.4,9.08,9.3,6.0643,787300,0.0,1.0,LAVV3
2020-12-15,9.25,9.4,9.19,9.36,6.1034,452400,0.0,1.0,LAVV3
2020-12-16,9.36,9.36,9.11,9.3,6.0643,457200,0.0,1.0,LAVV3
2020-12-17,9.24,9.36,9.15,9.24,6.0252,1021800,0.0,1.0,LAVV3
2020-12-18,9.15,9.3,9.06,9.29,6.0578,547000,0.0,1.0,LAVV3
2020-12-21,9.08,9.36,8.89,9.36,6.1034,466600,0.0,1.0,LAVV3
2020-12-22,9.42,9.46,8.95,9.2,5.9991,932500,0.0,1.0,LAVV3
2020-12-23,9.28,9.33,9.12,9.15,5.9665,969300,0.0,1.0,LAVV3
2020-12-28,9.18,9.31,9.15,9.2,5.9991,887600,0.0,1.0,LAVV3
2020-12-29,9.15,9.4,9.13,9.2,5.9991,1185200,0.0,1.0,LAVV3
2020-12-30,9.22,9.34,9.19,9.19,5.9926,957900,0.0,1.0,LAVV3
2021-01-04,9.37,9.45,9.11,9.14,5.96,3147800,0.0,1.0,LAVV3
2021-01-05,9.22,9.22,8.75,8.99,5.8622,820900,0.0,1.0,LAVV3
2021-01-06,9.15,9.15,8.58,8.6,5.6078,902400,0.0,1.0,LAVV3
2021-01-07,8.66,8.86,8.42,8.52,5.5557,681300,0.0,1.0,LAVV3
2021-01-08,8.67,8.88,8.44,8.74,5.6991,591800,0.0,1.0,LAVV3
2021-01-11,8.68,8.88,8.37,8.4,5.4774,760400,0.0,1.0,LAVV3
2021-01-12,8.48,8.7,8.41,8.7,5.673,825100,0.0,1.0,LAVV3
2021-01-13,8.75,8.88,8.49,8.88,5.7904,491400,0.0,1.0,LAVV3
2021-01-14,8.88,9.14,8.68,9.07,5.9143,848000,0.0,1.0,LAVV3
2021-01-15,8.96,9.03,8.57,8.76,5.7122,1323100,0.0,1.0,LAVV3
2021-01-18,8.85,9.05,8.55,8.55,5.5752,937900,0.0,1.0,LAVV3
2021-01-19,8.65,8.65,8.41,8.48,5.5296,608300,0.0,1.0,LAVV3
2021-01-20,8.65,8.8,8.46,8.58,5.5948,2067000,0.0,1.0,LAVV3
2021-01-21,8.58,8.65,8.18,8.34,5.4383,977000,0.0,1.0,LAVV3
2021-01-22,8.26,8.31,8.13,8.31,5.4187,592800,0.0,1.0,LAVV3
2021-01-26,8.37,8.45,8.04,8.13,5.3014,1523000,0.0,1.0,LAVV3
2021-01-27,8.17,8.24,7.92,8.24,5.3731,1272300,0.0,1.0,LAVV3
2021-01-28,8.15,8.38,8.11,8.28,5.3992,1156400,0.0,1.0,LAVV3
2021-01-29,8.25,8.37,8.12,8.25,5.3796,594800,0.0,1.0,LAVV3
2021-02-01,8.55,8.55,8.34,8.38,5.4644,1483800,0.0,1.0,LAVV3
2021-02-02,8.47,8.57,8.38,8.51,5.5492,714800,0.0,1.0,LAVV3
2021-02-03,8.51,8.6,8.36,8.43,5.497,1512000,0.0,1.0,LAVV3
2021-02-04,8.41,8.63,8.32,8.45,5.51,1113300,0.0,1.0,LAVV3
2021-02-05,8.5,8.57,8.19,8.31,5.4187,1126600,0.0,1.0,LAVV3
2021-02-08,8.32,8.43,8.13,8.2,5.347,919300,0.0,1.0,LAVV3
2021-02-09,8.2,8.32,8.04,8.29,5.4057,1039600,0.0,1.0,LAVV3
2021-02-10,8.33,8.36,8.05,8.29,5.4057,619900,0.0,1.0,LAVV3
2021-02-11,8.33,8.47,8.15,8.2,5.347,909100,0.0,1.0,LAVV3
2021-02-12,8.2,8.23,8.06,8.22,5.3601,609800,0.0,1.0,LAVV3
2021-02-17,8.22,8.22,7.87,7.91,5.1579,913700,0.0,1.0,LAVV3
2021-02-18,7.89,7.95,7.71,7.71,5.0275,777100,0.0,1.0,LAVV3
2021-02-19,7.72,7.79,7.5,7.61,4.9623,744900,0.0,1.0,LAVV3
2021-02-22,7.48,7.52,7.16,7.39,4.8188,1005200,0.0,1.0,LAVV3
2021-02-23,7.37,7.46,7.2,7.4,4.8254,1115200,0.0,1.0,LAVV3
2021-02-24,7.4,7.49,7.22,7.22,4.708,1084300,0.0,1.0,LAVV3
