,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2018-12-21,16.0,18.7,16.0,17.5,13.7956,4317900,0.0,1.0,LOGG3
2018-12-26,17.9,18.83,17.61,17.8,14.0321,841200,0.0,1.0,LOGG3
2018-12-27,18.0,18.4,17.94,18.35,14.4657,345800,0.0,1.0,LOGG3
2018-12-28,18.54,18.8,18.01,18.02,14.2055,574800,0.0,1.0,LOGG3
2019-01-02,18.27,18.4,16.66,16.85,13.2832,1591500,0.0,1.0,LOGG3
2019-01-03,16.51,17.19,16.31,16.6,13.0861,1025300,0.0,1.0,LOGG3
2019-01-04,16.66,16.91,16.05,16.09,12.6841,1095800,0.0,1.0,LOGG3
2019-01-07,16.22,16.36,15.3,15.62,12.3136,982900,0.0,1.0,LOGG3
2019-01-08,15.74,15.95,15.39,15.87,12.5106,1171500,0.0,1.0,LOGG3
2019-01-09,15.99,16.96,15.92,16.24,12.8023,712200,0.0,1.0,LOGG3
2019-01-10,16.85,17.49,16.27,17.49,13.7877,691000,0.0,1.0,LOGG3
2019-01-11,18.5,20.03,18.3,19.6,15.4511,1359000,0.0,1.0,LOGG3
2019-01-14,19.87,21.4,19.7,20.4,16.0817,1379400,0.0,1.0,LOGG3
2019-01-15,20.51,20.8,19.68,19.9,15.6876,491100,0.0,1.0,LOGG3
2019-01-16,20.2,20.5,19.2,19.2,15.1357,475600,0.0,1.0,LOGG3
2019-01-17,19.4,19.58,16.03,18.2,14.3474,1155600,0.0,1.0,LOGG3
2019-01-18,18.59,18.92,15.54,18.76,14.7889,592200,0.0,1.0,LOGG3
2019-01-21,18.76,19.55,14.13,19.14,15.0884,453600,0.0,1.0,LOGG3
2019-01-22,19.19,19.36,18.75,19.16,15.1042,806100,0.0,1.0,LOGG3
2019-01-23,19.35,19.35,18.75,19.2,15.1357,613500,0.0,1.0,LOGG3
2019-01-24,19.08,19.35,18.8,18.8,14.8204,509300,0.0,1.0,LOGG3
2019-01-28,18.8,19.25,18.5,18.85,14.8598,407100,0.0,1.0,LOGG3
2019-01-29,19.06,19.06,18.7,18.72,14.7573,304300,0.0,1.0,LOGG3
2019-01-30,18.75,19.4,18.75,19.4,15.2934,502000,0.0,1.0,LOGG3
2019-01-31,19.5,19.94,19.2,19.25,15.1752,566600,0.0,1.0,LOGG3
2019-02-01,19.5,19.9,19.25,19.8,15.6087,554000,0.0,1.0,LOGG3
2019-02-04,19.8,20.26,19.62,20.05,15.8058,339700,0.0,1.0,LOGG3
2019-02-05,20.3,20.35,19.53,19.7,15.5299,320300,0.0,1.0,LOGG3
2019-02-06,19.77,19.82,19.12,19.25,15.1752,480700,0.0,1.0,LOGG3
2019-02-07,19.5,19.5,18.1,18.4,14.5051,527900,0.0,1.0,LOGG3
2019-02-08,18.38,18.65,18.0,18.05,14.2292,465900,0.0,1.0,LOGG3
2019-02-11,18.14,18.35,18.0,18.18,14.3317,130700,0.0,1.0,LOGG3
2019-02-12,18.33,18.45,18.15,18.15,14.308,249700,0.0,1.0,LOGG3
2019-02-13,18.23,18.3,17.99,18.3,14.4263,492700,0.0,1.0,LOGG3
2019-02-14,18.22,18.6,18.15,18.33,14.4499,505600,0.0,1.0,LOGG3
2019-02-15,18.22,18.22,17.88,18.03,14.2134,293000,0.0,1.0,LOGG3
2019-02-18,18.15,18.15,13.08,17.8,14.0321,443600,0.0,1.0,LOGG3
2019-02-19,17.68,17.95,17.53,17.58,13.8587,259200,0.0,1.0,LOGG3
2019-02-20,17.61,17.65,17.43,17.49,13.7877,210500,0.0,1.0,LOGG3
2019-02-21,17.52,17.6,17.29,17.48,13.7798,196900,0.0,1.0,LOGG3
2019-02-22,17.2,17.69,17.18,17.5,13.7956,160500,0.0,1.0,LOGG3
2019-02-25,17.55,17.78,17.22,17.35,13.6773,184000,0.0,1.0,LOGG3
2019-02-26,17.5,17.5,17.19,17.3,13.6379,165600,0.0,1.0,LOGG3
2019-02-27,17.3,17.5,17.25,17.4,13.7168,161300,0.0,1.0,LOGG3
2019-02-28,17.28,17.59,17.22,17.47,13.7719,199400,0.0,1.0,LOGG3
2019-03-01,17.65,17.8,17.4,17.66,13.9217,119200,0.0,1.0,LOGG3
2019-03-06,17.84,17.84,17.13,17.42,13.7325,286500,0.0,1.0,LOGG3
2019-03-07,17.41,17.42,17.14,17.23,13.5828,265100,0.0,1.0,LOGG3
2019-03-08,17.24,17.28,16.95,17.15,13.5197,275400,0.0,1.0,LOGG3
2019-03-11,17.21,17.44,17.1,17.1,13.4803,181200,0.0,1.0,LOGG3
2019-03-12,17.27,17.39,17.05,17.26,13.6064,94800,0.0,1.0,LOGG3
2019-03-13,17.39,17.5,17.05,17.4,13.7168,128600,0.0,1.0,LOGG3
2019-03-14,17.4,17.61,17.24,17.34,13.6695,185600,0.0,1.0,LOGG3
2019-03-15,17.41,17.81,17.34,17.5,13.7956,210800,0.0,1.0,LOGG3
2019-03-18,17.69,18.19,17.54,17.91,14.1188,264000,0.0,1.0,LOGG3
2019-03-19,18.0,18.4,18.0,18.09,14.2607,233800,0.0,1.0,LOGG3
2019-03-20,18.16,18.28,17.74,18.0,14.1898,275700,0.0,1.0,LOGG3
2019-03-21,18.08,18.18,17.52,17.8,14.0321,215700,0.0,1.0,LOGG3
2019-03-22,17.58,17.78,17.1,17.1,13.4803,414900,0.0,1.0,LOGG3
2019-03-25,17.29,17.5,17.01,17.01,13.4093,197500,0.0,1.0,LOGG3
2019-03-26,17.11,17.3,17.01,17.15,13.5197,138300,0.0,1.0,LOGG3
2019-03-27,17.12,17.3,16.75,16.75,13.2044,246000,0.0,1.0,LOGG3
2019-03-28,16.77,17.4,16.6,17.4,13.7168,331000,0.0,1.0,LOGG3
2019-03-29,17.4,17.68,16.72,16.98,13.3857,283000,0.0,1.0,LOGG3
2019-04-01,17.21,17.38,16.95,17.0,13.4014,317300,0.0,1.0,LOGG3
2019-04-02,17.18,17.34,16.98,17.24,13.5906,246200,0.0,1.0,LOGG3
2019-04-03,17.39,17.62,17.3,17.41,13.7246,278000,0.0,1.0,LOGG3
2019-04-04,18.45,18.45,17.9,17.95,14.1503,950100,0.0,1.0,LOGG3
2019-04-05,18.02,18.36,18.01,18.17,14.3238,321900,0.0,1.0,LOGG3
2019-04-08,18.34,18.5,18.22,18.28,14.4105,182200,0.0,1.0,LOGG3
2019-04-09,18.3,18.39,18.05,18.19,14.3395,129500,0.0,1.0,LOGG3
2019-04-10,18.36,18.36,17.9,17.9,14.1109,155700,0.0,1.0,LOGG3
2019-04-11,18.06,18.25,17.8,18.02,14.2055,141700,0.0,1.0,LOGG3
2019-04-12,18.04,18.09,17.35,17.35,13.6773,325400,0.0,1.0,LOGG3
2019-04-15,17.52,17.6,17.12,17.35,13.6773,161300,0.0,1.0,LOGG3
2019-04-16,17.32,17.6,17.1,17.14,13.5118,231100,0.0,1.0,LOGG3
2019-04-17,17.24,17.38,17.01,17.38,13.701,260900,0.0,1.0,LOGG3
2019-04-18,17.37,17.5,17.19,17.23,13.5828,176700,0.0,1.0,LOGG3
2019-04-22,17.37,17.4,17.2,17.36,13.6852,70600,0.0,1.0,LOGG3
2019-04-23,17.54,17.66,17.47,17.57,13.8508,152900,0.0,1.0,LOGG3
2019-04-24,17.65,17.82,17.43,17.55,13.835,239500,0.0,1.0,LOGG3
2019-04-25,17.56,17.72,17.5,17.6,13.8744,175700,0.0,1.0,LOGG3
2019-04-26,17.69,17.94,17.51,17.53,13.8192,143100,0.0,1.0,LOGG3
2019-04-29,17.55,18.02,17.49,17.64,13.906,163100,0.0,1.0,LOGG3
2019-04-30,17.64,17.86,17.5,17.54,13.8271,176700,0.0,1.0,LOGG3
2019-05-02,17.5,17.65,16.97,17.52,13.8114,510600,0.0,1.0,LOGG3
2019-05-03,17.5,17.65,17.12,17.12,13.496,833000,0.0,1.0,LOGG3
2019-05-06,17.01,17.59,17.01,17.39,13.7089,230600,0.0,1.0,LOGG3
2019-05-07,17.45,17.8,17.2,17.8,14.0321,259400,0.0,1.0,LOGG3
2019-05-08,17.8,18.1,17.73,17.9,14.1109,200700,0.0,1.0,LOGG3
2019-05-09,18.11,18.35,17.95,18.32,14.442,220400,0.0,1.0,LOGG3
2019-05-10,18.34,18.34,18.22,18.3,14.4263,121700,0.0,1.0,LOGG3
2019-05-13,18.33,18.34,17.92,18.0,14.1898,122200,0.0,1.0,LOGG3
2019-05-14,18.12,18.17,17.9,18.0,14.1898,227800,0.0,1.0,LOGG3
2019-05-15,17.99,18.0,17.47,17.5,13.7956,204800,0.0,1.0,LOGG3
2019-05-16,17.63,17.9,17.46,17.69,13.9454,194500,0.0,1.0,LOGG3
2019-05-17,17.69,17.87,17.56,17.7,13.9533,240500,0.0,1.0,LOGG3
2019-05-20,17.65,17.92,17.55,17.75,13.9927,155200,0.0,1.0,LOGG3
2019-05-21,17.9,17.92,17.57,17.75,13.9927,316500,0.0,1.0,LOGG3
2019-05-22,17.94,18.15,17.63,17.9,14.1109,135600,0.0,1.0,LOGG3
2019-05-23,17.9,18.07,17.9,18.0,14.1898,134900,0.0,1.0,LOGG3
2019-05-24,18.09,18.26,17.75,17.75,13.9927,102300,0.0,1.0,LOGG3
2019-05-27,17.98,18.09,17.91,17.91,14.1188,63500,0.0,1.0,LOGG3
2019-05-28,17.95,18.29,17.95,18.29,14.4184,197400,0.0,1.0,LOGG3
2019-05-29,18.3,18.37,18.05,18.24,14.379,124700,0.0,1.0,LOGG3
2019-05-30,18.17,18.35,18.05,18.35,14.4657,147800,0.0,1.0,LOGG3
2019-05-31,18.35,19.44,18.3,18.99,15.0853,423600,0.14,1.0,LOGG3
2019-06-03,19.0,19.7,18.3,18.9,15.0138,310600,0.0,1.0,LOGG3
2019-06-04,19.06,19.06,18.76,18.9,15.0138,98500,0.0,1.0,LOGG3
2019-06-05,18.91,19.0,18.5,18.52,14.7119,140700,0.0,1.0,LOGG3
2019-06-06,18.62,18.77,18.34,18.46,14.6642,136600,0.0,1.0,LOGG3
2019-06-07,18.46,18.95,18.45,18.8,14.9343,118400,0.0,1.0,LOGG3
2019-06-10,18.85,18.91,18.5,18.8,14.9343,86700,0.0,1.0,LOGG3
2019-06-11,18.88,18.94,18.63,18.75,14.8946,147600,0.0,1.0,LOGG3
2019-06-12,18.74,18.77,18.5,18.5,14.696,120800,0.0,1.0,LOGG3
2019-06-13,18.69,18.79,18.42,18.42,14.6325,80300,0.0,1.0,LOGG3
2019-06-14,18.48,18.65,18.35,18.46,14.6642,67200,0.0,1.0,LOGG3
2019-06-17,18.45,18.69,18.38,18.6,14.7755,159500,0.0,1.0,LOGG3
2019-06-18,18.68,19.09,18.5,19.01,15.1012,458000,0.0,1.0,LOGG3
2019-06-19,19.04,19.15,18.99,18.99,15.0853,126000,0.0,1.0,LOGG3
2019-06-21,18.99,19.7,18.95,19.33,15.3554,292100,0.0,1.0,LOGG3
2019-06-24,19.37,19.65,19.37,19.63,15.5937,132400,0.0,1.0,LOGG3
2019-06-25,19.63,19.7,19.23,19.7,15.6493,110900,0.0,1.0,LOGG3
2019-06-26,19.7,19.95,19.62,19.95,15.8479,157200,0.0,1.0,LOGG3
2019-06-27,19.85,19.95,19.69,19.75,15.689,73200,0.0,1.0,LOGG3
2019-06-28,19.95,20.05,19.66,19.93,15.832,75600,0.0,1.0,LOGG3
2019-07-01,20.19,20.32,19.95,20.24,16.0782,110600,0.0,1.0,LOGG3
2019-07-02,20.25,21.04,20.24,20.63,16.3881,239600,0.0,1.0,LOGG3
2019-07-03,20.65,21.16,20.6,21.0,16.682,225400,0.0,1.0,LOGG3
2019-07-04,21.12,21.48,21.1,21.39,16.9918,170000,0.0,1.0,LOGG3
2019-07-05,21.45,21.53,21.25,21.45,17.0394,183600,0.0,1.0,LOGG3
2019-07-08,21.5,22.16,21.45,21.94,17.4287,174100,0.0,1.0,LOGG3
2019-07-10,22.17,22.96,22.1,22.59,17.945,574100,0.0,1.0,LOGG3
2019-07-11,22.74,22.74,22.22,22.45,17.8338,222600,0.0,1.0,LOGG3
2019-07-12,22.46,22.66,22.3,22.53,17.8974,108900,0.0,1.0,LOGG3
2019-07-15,22.53,22.74,22.3,22.53,17.8974,128200,0.0,1.0,LOGG3
2019-07-16,22.55,23.0,21.8,21.8,17.3175,367800,0.0,1.0,LOGG3
2019-07-17,21.84,22.65,21.81,22.65,17.9927,218500,0.0,1.0,LOGG3
2019-07-18,22.77,23.55,22.77,23.0,18.2707,359000,0.0,1.0,LOGG3
2019-07-19,23.11,23.79,23.1,23.57,18.7235,250200,0.0,1.0,LOGG3
2019-07-22,23.7,24.0,22.96,22.96,18.239,221000,0.0,1.0,LOGG3
2019-07-23,23.06,23.54,22.85,23.11,18.3581,126600,0.0,1.0,LOGG3
2019-07-24,23.23,23.44,22.95,23.2,18.4296,81000,0.0,1.0,LOGG3
2019-07-25,23.2,23.4,22.06,22.55,17.9133,227500,0.0,1.0,LOGG3
2019-07-26,22.61,23.03,22.31,23.01,18.2787,134800,0.0,1.0,LOGG3
2019-07-29,23.01,23.32,22.99,23.32,18.5249,67500,0.0,1.0,LOGG3
2019-07-30,23.58,23.6,23.26,23.4,18.5885,121400,0.0,1.0,LOGG3
2019-07-31,23.45,23.79,23.1,23.53,18.6918,189000,0.0,1.0,LOGG3
2019-08-01,23.55,23.92,23.1,23.3,18.509,228900,0.0,1.0,LOGG3
2019-08-02,23.31,23.69,22.1,23.3,18.509,257200,0.0,1.0,LOGG3
2019-08-05,23.28,23.42,22.91,23.37,18.5647,153800,0.0,1.0,LOGG3
2019-08-06,23.58,23.58,23.15,23.2,18.4296,159100,0.0,1.0,LOGG3
2019-08-07,23.23,23.32,22.71,22.9,18.1913,168600,0.0,1.0,LOGG3
2019-08-08,23.0,23.8,23.0,23.8,18.9062,257600,0.0,1.0,LOGG3
2019-08-09,23.87,24.36,23.59,24.31,19.3114,322900,0.0,1.0,LOGG3
2019-08-12,24.25,25.06,23.85,24.96,19.8277,422500,0.0,1.0,LOGG3
2019-08-13,24.96,25.34,24.51,24.6,19.5417,231400,0.0,1.0,LOGG3
2019-08-14,24.57,25.0,23.88,24.2,19.224,185500,0.0,1.0,LOGG3
2019-08-15,24.32,24.58,22.95,23.23,18.4534,312100,0.0,1.0,LOGG3
2019-08-16,23.24,23.82,22.5,22.71,18.0404,196200,0.0,1.0,LOGG3
2019-08-19,23.04,23.29,22.11,22.54,17.9053,129700,0.0,1.0,LOGG3
2019-08-20,22.45,22.88,22.0,22.88,18.1754,201600,0.0,1.0,LOGG3
2019-08-21,23.18,23.41,22.61,23.29,18.5011,99800,0.0,1.0,LOGG3
2019-08-22,23.4,24.9,22.99,24.9,19.7801,258400,0.0,1.0,LOGG3
2019-08-23,24.84,24.84,23.5,23.5,18.6679,196100,0.0,1.0,LOGG3
2019-08-26,23.63,23.7,22.15,22.36,17.7623,129200,0.0,1.0,LOGG3
2019-08-27,22.7,22.73,22.05,22.59,17.945,86600,0.0,1.0,LOGG3
2019-08-28,22.65,23.47,22.2,23.1,18.3502,75500,0.0,1.0,LOGG3
2019-08-29,23.12,23.49,22.83,23.0,18.2707,101200,0.0,1.0,LOGG3
2019-08-30,23.15,24.5,22.83,24.5,19.4623,287900,0.0,1.0,LOGG3
2019-09-02,24.2,24.2,23.42,23.57,18.7235,202300,0.0,1.0,LOGG3
2019-09-03,23.57,23.92,23.02,23.21,18.4376,115800,0.0,1.0,LOGG3
2019-09-04,23.38,23.97,23.12,23.15,18.3899,89500,0.0,1.0,LOGG3
2019-09-05,23.2,23.49,22.85,22.93,18.2151,111800,0.0,1.0,LOGG3
2019-09-06,23.0,23.18,22.7,22.85,18.1516,84900,0.0,1.0,LOGG3
2019-09-09,22.86,23.04,22.6,22.94,18.2231,72500,0.0,1.0,LOGG3
2019-09-10,22.65,23.02,22.33,22.39,17.7862,138500,0.0,1.0,LOGG3
2019-09-11,22.32,23.3,22.32,23.3,18.509,108600,0.0,1.0,LOGG3
2019-09-12,23.3,23.42,22.98,22.98,18.2548,52300,0.0,1.0,LOGG3
2019-09-13,23.14,23.32,22.75,22.76,18.0801,48600,0.0,1.0,LOGG3
2019-09-16,22.65,23.65,22.65,23.65,18.7871,207400,0.0,1.0,LOGG3
2019-09-17,23.59,24.5,23.4,24.16,19.1922,201600,0.0,1.0,LOGG3
2019-09-18,24.05,24.97,24.05,24.89,19.7721,181300,0.0,1.0,LOGG3
2019-09-19,24.9,25.15,24.63,24.9,19.7801,95800,0.0,1.0,LOGG3
2019-09-20,24.94,25.12,24.7,25.12,19.9548,318900,0.0,1.0,LOGG3
2019-09-23,25.11,25.11,24.71,24.95,19.8198,69300,0.0,1.0,LOGG3
2019-09-24,24.95,25.99,24.78,25.38,20.1614,137700,0.0,1.0,LOGG3
2019-09-25,25.16,25.45,24.84,24.84,19.7324,101100,0.0,1.0,LOGG3
2019-09-26,24.9,25.75,24.14,24.9,19.7801,144600,0.0,1.0,LOGG3
2019-09-27,24.8,25.1,24.13,24.25,19.2637,225000,0.0,1.0,LOGG3
2019-09-30,24.08,24.6,23.75,24.25,19.2637,133600,0.0,1.0,LOGG3
2019-10-01,24.37,24.37,23.75,24.24,19.2558,140700,0.0,1.0,LOGG3
2019-10-02,24.24,24.24,23.19,23.45,18.6282,162800,0.0,1.0,LOGG3
2019-10-03,23.7,23.7,22.7,23.14,18.3819,82000,0.0,1.0,LOGG3
2019-10-04,23.18,23.55,23.02,23.5,18.6679,79400,0.0,1.0,LOGG3
2019-10-07,23.4,23.53,23.3,23.45,18.6282,64100,0.0,1.0,LOGG3
2019-10-08,23.46,23.85,23.0,23.6,18.7474,117100,0.0,1.0,LOGG3
2019-10-09,23.69,24.07,23.69,23.83,18.9301,150600,0.0,1.0,LOGG3
2019-10-10,23.53,24.13,23.51,23.8,18.9062,70600,0.0,1.0,LOGG3
2019-10-11,24.01,24.8,23.5,24.0,19.0651,109600,0.0,1.0,LOGG3
2019-10-14,24.52,24.52,23.9,24.2,19.224,68100,0.0,1.0,LOGG3
2019-10-15,24.3,24.97,24.16,24.97,19.8357,171400,0.0,1.0,LOGG3
2019-10-16,24.8,24.89,24.5,24.8,19.7006,81300,0.0,1.0,LOGG3
