,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2020-02-06,19.8,21.77,19.68,20.6,5.0086,21739200,0.0,1.0,LWSA3
2020-02-07,20.5,22.0,20.23,20.3,4.9357,3117900,0.0,1.0,LWSA3
2020-02-10,20.6,20.6,19.4,20.2,4.9114,3036700,0.0,1.0,LWSA3
2020-02-11,20.35,20.49,19.5,20.2,4.9114,3299000,0.0,1.0,LWSA3
2020-02-12,20.37,21.92,20.3,21.92,5.3295,2389000,0.0,1.0,LWSA3
2020-02-13,21.32,22.65,20.94,22.0,5.349,1099200,0.0,1.0,LWSA3
2020-02-14,22.01,23.07,22.0,22.4,5.4463,1215600,0.0,1.0,LWSA3
2020-02-17,22.61,23.62,22.61,23.3,5.6651,724500,0.0,1.0,LWSA3
2020-02-18,23.3,24.2,23.1,23.6,5.738,821600,0.0,1.0,LWSA3
2020-02-19,23.76,24.04,22.7,24.0,5.8353,1559300,0.0,1.0,LWSA3
2020-02-20,24.35,25.65,23.39,25.5,6.2,458100,0.0,1.0,LWSA3
2020-02-21,24.9,25.33,24.18,24.6,5.9812,1682700,0.0,1.0,LWSA3
2020-02-26,23.0,23.69,21.05,21.9,5.3247,1964300,0.0,1.0,LWSA3
2020-02-27,21.53,21.53,20.06,20.82,5.0621,1581500,0.0,1.0,LWSA3
2020-02-28,20.59,21.47,19.8,21.3,5.1788,1257900,0.0,1.0,LWSA3
2020-03-02,20.99,24.0,20.85,24.0,5.8353,699500,0.0,1.0,LWSA3
2020-03-03,24.07,25.0,22.66,24.49,5.9544,819800,0.0,1.0,LWSA3
2020-03-04,25.13,25.45,22.65,24.19,5.8815,1871000,0.0,1.0,LWSA3
2020-03-05,23.8,23.8,21.87,22.0,5.349,910700,0.0,1.0,LWSA3
2020-03-06,20.85,20.85,19.64,19.9,4.8384,2149200,0.0,1.0,LWSA3
2020-03-09,16.6,18.88,16.6,17.5,4.2549,1052800,0.0,1.0,LWSA3
