,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2021-07-22,12.05,13.0,12.05,12.95,12.6699,26497200,0.0,1.0,MLAS3
2021-07-23,12.95,13.28,12.52,12.98,12.6993,9545900,0.0,1.0,MLAS3
2021-07-26,12.97,12.99,12.13,12.7,12.4254,4326800,0.0,1.0,MLAS3
2021-07-27,12.65,12.65,11.5,12.2,11.9362,5374200,0.0,1.0,MLAS3
2021-07-28,12.28,12.28,11.5,11.5,11.2513,2817600,0.0,1.0,MLAS3
2021-07-29,11.47,11.5,11.14,11.45,11.2024,5857400,0.0,1.0,MLAS3
2021-07-30,11.3,11.35,10.98,11.05,10.811,3642100,0.0,1.0,MLAS3
2021-08-02,11.25,11.55,11.03,11.2,10.9578,1853800,0.0,1.0,MLAS3
2021-08-03,11.01,11.12,10.71,10.98,10.7426,1113800,0.0,1.0,MLAS3
2021-08-04,11.05,11.05,10.56,10.7,10.4686,1353900,0.0,1.0,MLAS3
2021-08-05,10.7,11.2,10.6,10.6,10.3708,1763400,0.0,1.0,MLAS3
2021-08-06,10.65,11.14,10.64,11.11,10.8697,873900,0.0,1.0,MLAS3
2021-08-09,11.12,11.15,10.7,10.7,10.4686,664200,0.0,1.0,MLAS3
2021-08-10,10.8,10.94,10.66,10.66,10.4295,1064100,0.0,1.0,MLAS3
2021-08-11,10.73,10.85,10.42,10.51,10.2827,2706690,0.0,1.0,MLAS3
2021-08-12,10.56,10.6,10.4,10.45,10.224,2908200,0.0,1.0,MLAS3
2021-08-13,10.59,10.75,10.22,10.5,10.2729,3372700,0.0,1.0,MLAS3
2021-08-16,10.49,10.5,9.66,9.8,9.5881,5241300,0.0,1.0,MLAS3
2021-08-17,9.81,9.81,8.63,8.72,8.5314,13336700,0.0,1.0,MLAS3
2021-08-18,8.72,9.0,8.5,8.5,8.3162,3486400,0.0,1.0,MLAS3
2021-08-19,8.4,8.8,8.15,8.57,8.3847,4974300,0.0,1.0,MLAS3
2021-08-20,8.53,9.34,8.47,9.2,9.001,4013900,0.0,1.0,MLAS3
2021-08-23,9.2,9.23,8.86,8.9,8.7075,567800,0.0,1.0,MLAS3
2021-08-24,9.0,9.17,8.8,9.06,8.8641,1767000,0.0,1.0,MLAS3
2021-08-25,9.09,9.55,9.08,9.4,9.1967,1127400,0.0,1.0,MLAS3
2021-08-26,9.34,9.61,9.21,9.47,9.2652,522800,0.0,1.0,MLAS3
2021-08-27,9.49,9.65,9.32,9.36,9.1576,1765900,0.0,1.0,MLAS3
2021-08-30,9.52,9.81,9.33,9.47,9.2652,1620100,0.0,1.0,MLAS3
2021-08-31,9.61,9.84,9.08,9.3,9.0989,1518000,0.0,1.0,MLAS3
2021-09-01,9.37,9.41,8.97,9.18,8.9815,1489200,0.0,1.0,MLAS3
2021-09-02,9.17,9.17,8.57,8.58,8.3945,1165900,0.0,1.0,MLAS3
2021-09-03,8.75,8.8,8.51,8.6,8.414,486000,0.0,1.0,MLAS3
2021-09-06,8.59,8.78,8.25,8.57,8.3847,988200,0.0,1.0,MLAS3
2021-09-08,8.56,8.56,7.72,7.72,7.553,906500,0.0,1.0,MLAS3
2021-09-09,7.75,8.08,7.63,7.87,7.6998,1948400,0.0,1.0,MLAS3
2021-09-10,8.03,8.46,7.91,8.32,8.1401,2040700,0.0,1.0,MLAS3
2021-09-13,8.4,8.53,7.92,8.19,8.0129,1346300,0.0,1.0,MLAS3
2021-09-14,8.12,8.21,7.89,8.13,7.9542,4240100,0.0,1.0,MLAS3
2021-09-15,8.13,8.15,7.93,7.95,7.7781,3906600,0.0,1.0,MLAS3
2021-09-16,7.91,8.11,7.85,7.85,7.6802,1661700,0.0,1.0,MLAS3
2021-09-17,7.85,7.85,7.32,7.5,7.3378,1012400,0.0,1.0,MLAS3
2021-09-20,7.22,7.45,6.91,7.38,7.2204,2189100,0.0,1.0,MLAS3
2021-09-21,7.44,7.59,7.23,7.47,7.3085,895400,0.0,1.0,MLAS3
2021-09-22,7.57,7.57,7.26,7.33,7.1715,1761900,0.0,1.0,MLAS3
2021-09-23,7.38,7.75,7.25,7.51,7.3476,6165300,0.0,1.0,MLAS3
2021-09-24,7.47,8.06,7.47,7.89,7.7194,1412200,0.0,1.0,MLAS3
2021-09-27,7.86,7.86,7.5,7.56,7.3965,1322400,0.0,1.0,MLAS3
2021-09-28,7.45,7.51,7.16,7.24,7.0834,2499500,0.0,1.0,MLAS3
2021-09-29,7.3,7.39,7.12,7.2,7.0443,2684100,0.0,1.0,MLAS3
2021-09-30,7.29,7.51,7.22,7.49,7.328,1755400,0.0,1.0,MLAS3
2021-10-01,7.5,7.84,7.32,7.84,7.6705,1404400,0.0,1.0,MLAS3
2021-10-04,7.78,7.78,7.41,7.49,7.328,1626500,0.0,1.0,MLAS3
2021-10-05,7.54,7.56,6.91,6.96,6.8095,3954500,0.0,1.0,MLAS3
2021-10-06,7.25,8.13,7.25,8.08,7.9053,25120300,0.0,1.0,MLAS3
2021-10-07,7.65,7.93,7.52,7.92,7.7487,4643200,0.0,1.0,MLAS3
2021-10-08,7.99,8.3,7.78,7.85,7.6802,1833500,0.0,1.0,MLAS3
2021-10-11,7.89,8.03,7.7,7.92,7.7487,828000,0.0,1.0,MLAS3
2021-10-13,7.91,8.26,7.79,8.26,8.0814,1207200,0.0,1.0,MLAS3
