,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2017-05-24,8.469,9.0527,8.4195,8.9736,6.8689,1892221,0.0,1.0,MOVI3
2017-05-25,8.9834,9.3891,8.8548,9.0032,6.8915,993464,0.0,1.0,MOVI3
2017-05-26,9.0032,9.2506,8.7856,8.8251,6.7552,2187056,0.0,1.0,MOVI3
2017-05-29,8.8251,8.8251,8.8251,8.8251,6.7552,0,0.0,1.0,MOVI3
2017-05-30,9.1516,9.3396,9.0725,9.1516,7.0051,937266,0.0,1.0,MOVI3
2017-05-31,9.1615,9.2605,8.9241,8.9241,6.831,2283279,0.0,1.0,MOVI3
2017-06-01,9.0824,9.1516,8.9241,9.0527,6.9294,972743,0.0,1.0,MOVI3
2017-06-02,9.0824,9.3495,9.0725,9.3495,7.1566,1076648,0.0,1.0,MOVI3
2017-06-05,9.2605,9.5672,9.211,9.5672,7.3232,1352886,0.0,1.0,MOVI3
2017-06-06,9.5573,9.6859,9.4188,9.4979,7.2702,985580,0.0,1.0,MOVI3
2017-06-07,9.5474,9.6067,9.399,9.4979,7.2702,813449,0.0,1.0,MOVI3
2017-06-08,9.4682,9.6958,9.4682,9.6958,7.4217,821131,0.0,1.0,MOVI3
2017-06-09,9.7453,10.0717,9.7354,10.0421,7.6867,775648,0.0,1.0,MOVI3
2017-06-12,10.0322,10.1707,9.8343,9.9431,7.611,372662,0.0,1.0,MOVI3
2017-06-13,9.9629,10.1311,9.587,10.052,7.6943,907449,0.0,1.0,MOVI3
2017-06-14,10.0619,10.1905,9.8046,9.8244,7.5201,400660,0.0,1.0,MOVI3
2017-06-15,9.8244,9.8244,9.8244,9.8244,7.5201,0,0.0,1.0,MOVI3
2017-06-16,9.8937,10.0915,9.8739,10.0421,7.6867,1685422,0.0,1.0,MOVI3
2017-06-19,10.0322,10.4378,9.9036,10.3389,7.9139,352245,0.0,1.0,MOVI3
2017-06-20,10.2004,10.5368,10.0915,10.3191,7.8988,517199,0.0,1.0,MOVI3
2017-06-21,10.3488,10.4972,10.3092,10.4774,8.0199,720966,0.0,1.0,MOVI3
2017-06-22,10.4873,10.4873,10.1707,10.1905,7.8003,3723191,0.0,1.0,MOVI3
2017-06-23,10.1905,10.2696,9.8541,9.9827,7.6413,1948722,0.0,1.0,MOVI3
2017-06-26,10.2795,10.2795,9.9926,10.0421,7.6867,268960,0.0,1.0,MOVI3
2017-06-27,9.953,10.0322,9.8838,9.9036,7.5807,810923,0.0,1.0,MOVI3
2017-06-28,9.9431,10.0223,9.8145,9.8937,7.5731,539234,0.0,1.0,MOVI3
2017-06-29,9.9926,10.052,9.7453,9.8739,7.558,593713,0.0,1.0,MOVI3
2017-06-30,9.8937,10.0025,9.8739,9.8937,7.5731,783228,0.0,1.0,MOVI3
2017-07-03,9.9332,9.9332,9.5375,9.5375,7.3005,916546,0.0,1.0,MOVI3
2017-07-04,9.5276,9.5474,9.2605,9.2605,7.0885,1048044,0.0,1.0,MOVI3
2017-07-05,9.3,9.399,9.1022,9.2407,7.0733,669115,0.0,1.0,MOVI3
2017-07-06,9.3495,9.4484,9.2407,9.3891,7.1869,668913,0.0,1.0,MOVI3
2017-07-07,9.3891,9.4781,9.3891,9.399,7.1945,202857,0.0,1.0,MOVI3
2017-07-10,9.4188,9.4188,9.1912,9.2605,7.0885,529429,0.0,1.0,MOVI3
2017-07-11,9.2704,9.3792,9.1615,9.2605,7.0885,482430,0.0,1.0,MOVI3
2017-07-12,9.3099,9.399,9.2803,9.3396,7.149,2487046,0.0,1.0,MOVI3
2017-07-13,9.3297,9.6859,9.3297,9.6463,7.3838,2756410,0.0,1.0,MOVI3
2017-07-14,9.7749,9.8244,9.4979,9.6265,7.3686,1152657,0.0,1.0,MOVI3
2017-07-17,9.6859,9.7354,9.5573,9.5969,7.346,271992,0.0,1.0,MOVI3
2017-07-18,9.6463,9.6463,9.4484,9.4682,7.2474,261278,0.0,1.0,MOVI3
2017-07-19,9.5375,9.6265,9.3297,9.5375,7.3005,868838,0.0,1.0,MOVI3
2017-07-20,9.6265,9.6364,9.5474,9.5969,7.346,670833,0.0,1.0,MOVI3
2017-07-21,9.6958,9.8838,9.5969,9.5969,7.346,981436,0.0,1.0,MOVI3
2017-07-24,9.6463,9.765,9.5573,9.6562,7.3914,773828,0.0,1.0,MOVI3
2017-07-25,9.7255,9.8145,9.587,9.676,7.4065,359017,0.0,1.0,MOVI3
2017-07-26,9.7255,9.7848,9.5771,9.6661,7.3989,290994,0.0,1.0,MOVI3
