,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,17.59,18.35,17.59,18.35,6.7368,1405885,0.0,1.0,MRFG3
2010-07-14,18.24,18.62,17.95,18.3,6.7185,1526949,0.0,1.0,MRFG3
2010-07-15,18.39,18.44,17.81,17.95,6.59,822969,0.0,1.0,MRFG3
2010-07-16,18.0,18.17,17.25,17.58,6.4541,1133025,0.0,1.0,MRFG3
2010-07-19,17.65,18.08,17.52,18.0,6.6083,561198,0.0,1.0,MRFG3
2010-07-20,17.94,18.05,17.58,17.99,6.6047,1277050,0.0,1.0,MRFG3
2010-07-21,18.0,18.1,17.66,17.68,6.4909,1051487,0.0,1.0,MRFG3
2010-07-22,17.8,18.08,17.7,17.99,6.6047,1807256,0.0,1.0,MRFG3
2010-07-23,18.0,18.0,17.62,17.75,6.5166,1751074,0.0,1.0,MRFG3
2010-07-26,18.02,18.05,17.74,17.8,6.5349,1230683,0.0,1.0,MRFG3
2010-07-27,17.93,17.98,17.61,17.67,6.4872,2589000,0.0,1.0,MRFG3
2010-07-28,17.73,17.73,17.44,17.6,6.4615,1265385,0.0,1.0,MRFG3
2010-07-29,17.67,17.75,17.15,17.28,6.344,1399962,0.0,1.0,MRFG3
2010-07-30,17.29,17.71,17.13,17.7,6.4982,1256015,0.0,1.0,MRFG3
2010-08-02,17.77,17.93,17.57,17.78,6.5276,2192743,0.0,1.0,MRFG3
2010-08-03,17.83,17.83,17.3,17.4,6.3881,1962442,0.0,1.0,MRFG3
2010-08-04,17.41,17.52,17.24,17.52,6.4321,1188127,0.0,1.0,MRFG3
2010-08-05,17.5,17.6,17.45,17.51,6.4284,1133124,0.0,1.0,MRFG3
2010-08-06,17.34,17.48,17.25,17.25,6.333,1543046,0.0,1.0,MRFG3
2010-08-09,17.4,17.51,17.15,17.16,6.3,1471815,0.0,1.0,MRFG3
2010-08-10,17.08,17.28,16.69,16.8,6.1678,1660659,0.0,1.0,MRFG3
2010-08-11,16.7,16.97,16.45,16.67,6.1201,1546361,0.0,1.0,MRFG3
2010-08-12,16.52,17.08,16.52,16.86,6.1898,982082,0.0,1.0,MRFG3
2010-08-13,16.91,17.33,16.4,16.45,6.0393,1519922,0.0,1.0,MRFG3
2010-08-16,16.5,16.87,16.2,16.44,6.0356,1113099,0.0,1.0,MRFG3
2010-08-17,16.0,16.44,15.75,16.4,6.0209,4676125,0.0,1.0,MRFG3
2010-08-18,16.55,16.74,16.24,16.63,6.1054,2354391,0.0,1.0,MRFG3
2010-08-19,16.65,16.84,16.35,16.36,6.0062,1273914,0.0,1.0,MRFG3
2010-08-20,16.4,16.59,16.28,16.4,6.0209,730086,0.0,1.0,MRFG3
2010-08-23,16.5,16.59,16.04,16.04,5.8888,940454,0.0,1.0,MRFG3
2010-08-24,16.05,16.05,15.71,15.9,5.8374,1704975,0.0,1.0,MRFG3
2010-08-25,15.71,16.0,15.71,15.75,5.7823,1018148,0.0,1.0,MRFG3
2010-08-26,15.96,16.25,15.85,16.21,5.9512,1219233,0.0,1.0,MRFG3
2010-08-27,16.24,17.07,16.11,17.07,6.2669,2479764,0.0,1.0,MRFG3
2010-08-30,17.05,17.05,16.66,16.86,6.1898,940568,0.0,1.0,MRFG3
