,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,39.41,40.2,39.18,40.2,13.0144,1022790,0.0,1.0,NATU3
2010-07-14,40.0,42.1,39.84,42.1,13.6295,1072572,0.0,1.0,NATU3
2010-07-15,42.09,42.2,41.06,41.3,13.3705,1524470,0.0,1.0,NATU3
2010-07-16,41.21,41.58,40.71,40.71,13.1795,812672,0.0,1.0,NATU3
2010-07-19,41.0,41.01,40.42,41.0,13.2734,819158,0.0,1.0,NATU3
2010-07-20,41.21,41.89,40.81,41.08,13.2993,994945,0.0,1.0,NATU3
2010-07-21,41.4,41.51,39.81,39.99,12.9464,1674647,0.0,1.0,NATU3
2010-07-22,40.89,41.27,40.1,40.2,13.0144,2709421,0.0,1.0,NATU3
2010-07-23,40.1,41.58,40.1,41.05,13.2896,1306241,0.0,1.0,NATU3
2010-07-26,41.1,41.65,40.72,41.45,13.4191,341767,0.0,1.0,NATU3
2010-07-27,41.6,42.85,41.41,42.85,13.8723,1070888,0.0,1.0,NATU3
2010-07-28,42.38,42.7,41.52,42.7,13.8464,1049743,0.035,1.0,NATU3
2010-07-29,42.7,44.73,42.5,44.57,14.4527,1315137,0.0,1.0,NATU3
2010-07-30,43.9,46.5,43.9,45.7,14.8192,1008707,0.0,1.0,NATU3
2010-08-02,44.92,45.6,44.04,44.5,14.43,1325053,0.0,1.0,NATU3
2010-08-03,44.13,44.59,43.23,44.55,14.4463,995209,0.0,1.0,NATU3
2010-08-04,44.55,45.9,43.85,45.37,14.7122,916283,0.0,1.0,NATU3
2010-08-05,45.6,46.58,45.1,45.61,14.79,959588,0.0,1.0,NATU3
2010-08-06,45.51,46.51,45.28,45.61,14.79,964196,0.0,1.0,NATU3
2010-08-09,45.81,46.01,44.2,44.25,14.349,590226,0.0,1.0,NATU3
2010-08-10,44.0,44.09,42.53,42.6,13.8139,1477872,0.0,1.0,NATU3
2010-08-11,42.64,43.25,41.66,43.15,13.9923,1616336,0.0,1.0,NATU3
2010-08-12,43.29,43.38,41.84,42.37,13.7394,1523852,0.0,1.0,NATU3
2010-08-13,42.19,42.42,41.0,41.69,13.5188,1374391,0.0,1.0,NATU3
2010-08-16,42.12,42.64,41.31,42.58,13.8074,676440,0.0,1.0,NATU3
2010-08-17,42.63,43.55,42.63,42.93,13.9209,975173,0.0,1.0,NATU3
2010-08-18,43.34,43.54,42.54,43.39,14.0701,1018447,0.0,1.0,NATU3
2010-08-19,43.55,45.28,43.39,44.21,14.336,1066683,0.0,1.0,NATU3
2010-08-20,44.1,44.9,44.0,44.2,14.3328,286696,0.0,1.0,NATU3
2010-08-23,44.5,44.6,43.72,44.0,14.2679,654928,0.0,1.0,NATU3
2010-08-24,43.5,44.4,42.8,43.17,13.9988,760665,0.0,1.0,NATU3
2010-08-25,43.0,43.39,41.76,42.15,13.668,1029188,0.0,1.0,NATU3
2010-08-26,42.31,42.98,41.65,42.05,13.6356,749868,0.0,1.0,NATU3
2010-08-27,42.05,42.57,41.66,42.3,13.7167,700660,0.0,1.0,NATU3
2010-08-30,42.39,43.08,41.92,42.59,13.8107,628900,0.0,1.0,NATU3
2010-08-31,42.68,43.29,42.3,42.3,13.7167,1182335,0.0,1.0,NATU3
2010-09-01,42.71,43.0,42.16,43.0,13.9436,733260,0.0,1.0,NATU3
2010-09-02,43.0,43.25,42.55,43.18,14.002,223197,0.0,1.0,NATU3
2010-09-03,43.25,44.33,43.25,43.3,14.0409,515558,0.0,1.0,NATU3
2010-09-06,43.7,43.7,42.76,42.9,13.9112,154093,0.0,1.0,NATU3
2010-09-08,43.28,43.68,42.45,42.5,13.7815,361404,0.0,1.0,NATU3
2010-09-09,42.85,43.05,42.45,42.52,13.788,243284,0.0,1.0,NATU3
2010-09-10,42.5,44.0,42.5,43.89,14.2322,556744,0.0,1.0,NATU3
2010-09-13,43.98,44.97,43.85,44.6,14.4625,787213,0.0,1.0,NATU3
