,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2019-07-01,16.86,17.25,16.8,16.96,12.8861,59343300,0.0,1.0,NEOE3
2019-07-02,17.15,17.75,17.0,17.67,13.4256,15665900,0.0,1.0,NEOE3
2019-07-03,17.7,17.98,17.51,17.78,13.7255,10741700,0.2785,1.0,NEOE3
2019-07-04,17.66,17.78,17.4,17.7,13.6637,3785600,0.0,1.0,NEOE3
2019-07-05,17.7,17.7,17.45,17.67,13.6405,3336500,0.0,1.0,NEOE3
2019-07-08,17.68,17.82,17.56,17.79,13.7332,2872800,0.0,1.0,NEOE3
2019-07-10,17.85,18.19,17.71,18.13,13.9956,7661000,0.0,1.0,NEOE3
2019-07-11,18.15,18.35,17.82,17.95,13.8567,2689300,0.0,1.0,NEOE3
2019-07-12,18.0,18.1,17.82,17.9,13.8181,2351700,0.0,1.0,NEOE3
2019-07-15,18.0,18.04,17.61,17.8,13.7409,2770900,0.0,1.0,NEOE3
2019-07-16,17.88,17.89,17.65,17.89,13.8104,4221400,0.0,1.0,NEOE3
2019-07-17,17.88,17.89,17.79,17.89,13.8104,2578300,0.0,1.0,NEOE3
2019-07-18,17.83,17.99,17.83,17.95,13.8567,2732400,0.0,1.0,NEOE3
2019-07-19,17.91,17.95,17.84,17.93,13.8413,1736800,0.0,1.0,NEOE3
2019-07-22,17.93,17.95,17.45,17.7,13.6637,3546400,0.0,1.0,NEOE3
2019-07-23,17.7,17.85,17.5,17.75,13.7023,1775300,0.0,1.0,NEOE3
2019-07-24,18.01,18.04,17.6,17.7,13.6637,6799700,0.0,1.0,NEOE3
2019-07-25,17.74,17.74,17.43,17.64,13.6174,2382100,0.0,1.0,NEOE3
2019-07-26,17.64,17.78,17.53,17.75,13.7023,2587900,0.0,1.0,NEOE3
2019-07-29,17.74,17.84,17.48,17.75,13.7023,3387200,0.0,1.0,NEOE3
2019-07-30,17.74,18.0,17.51,18.0,13.8953,2394200,0.0,1.0,NEOE3
2019-07-31,17.92,18.3,17.78,18.24,14.0806,3401400,0.0,1.0,NEOE3
2019-08-01,18.26,19.0,18.26,18.88,14.5746,6532200,0.0,1.0,NEOE3
2019-08-02,18.95,19.65,18.81,19.55,15.0918,3449100,0.0,1.0,NEOE3
2019-08-05,19.15,19.5,19.0,19.5,15.0532,5213100,0.0,1.0,NEOE3
2019-08-06,19.5,20.14,19.5,19.9,15.362,3101600,0.0,1.0,NEOE3
2019-08-07,19.88,20.74,19.68,20.65,15.941,4156200,0.0,1.0,NEOE3
2019-08-08,20.6,21.98,20.51,21.27,16.4196,5529800,0.0,1.0,NEOE3
2019-08-09,21.09,21.75,21.09,21.5,16.5972,2487900,0.0,1.0,NEOE3
2019-08-12,21.21,21.65,20.61,21.19,16.3578,4321000,0.0,1.0,NEOE3
2019-08-13,21.21,21.4,20.96,21.4,16.52,2045500,0.0,1.0,NEOE3
2019-08-14,21.25,21.48,20.35,21.08,16.2729,3349700,0.0,1.0,NEOE3
2019-08-15,21.19,21.38,20.44,20.8,16.0568,1768600,0.0,1.0,NEOE3
2019-08-16,21.2,21.48,20.79,21.25,16.4042,2775800,0.0,1.0,NEOE3
2019-08-19,21.4,21.69,20.81,21.2,16.3656,2737800,0.0,1.0,NEOE3
2019-08-20,21.38,21.45,20.85,21.13,16.3115,1587200,0.0,1.0,NEOE3
2019-08-21,21.2,21.4,20.93,21.0,16.2112,2791700,0.0,1.0,NEOE3
2019-08-22,21.06,21.14,20.55,20.75,16.0182,5396000,0.0,1.0,NEOE3
