,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,15.97,16.2,15.9001,16.1499,2.2714,1036860,0.0,1.0,ODPV3
2010-07-14,16.14,16.9501,16.14,16.3499,2.2996,1170840,0.0,1.0,ODPV3
2010-07-15,16.3,16.7,16.3,16.5099,2.3221,548790,0.0,1.0,ODPV3
2010-07-16,16.7901,16.7901,16.2499,16.3,2.2926,264330,0.0,1.0,ODPV3
2010-07-19,16.6399,16.6399,16.2,16.4,2.3066,166980,0.0,1.0,ODPV3
2010-07-20,16.4901,16.6,16.2499,16.2499,2.2855,529650,0.0,1.0,ODPV3
2010-07-21,16.4901,17.0,15.8601,16.0001,2.2504,602910,0.0,1.0,ODPV3
2010-07-22,16.3499,16.5799,16.0601,16.3,2.2926,401280,0.0,1.0,ODPV3
2010-07-23,16.5,16.9399,16.2499,16.4498,2.3136,263010,0.0,1.0,ODPV3
2010-07-26,16.7,16.7,16.0001,16.0499,2.2574,1335180,0.0,1.0,ODPV3
2010-07-27,16.4,16.4201,16.07,16.1499,2.2714,476190,0.0,1.0,ODPV3
2010-07-28,16.2601,16.2901,16.1,16.1,2.2644,604560,0.0,1.0,ODPV3
2010-07-29,16.1,16.3202,16.04,16.2,2.2785,382140,0.0,1.0,ODPV3
2010-07-30,16.01,16.6,16.01,16.5,2.3207,812130,0.0,1.0,ODPV3
2010-08-02,16.5099,17.6999,16.5,16.7,2.3488,401610,0.0,1.0,ODPV3
2010-08-03,16.8,17.0999,16.8,16.9099,2.3783,626670,0.0,1.0,ODPV3
2010-08-04,17.03,17.0999,16.76,17.0399,2.3966,631620,0.0,1.0,ODPV3
2010-08-05,17.0399,17.2501,16.8,17.0501,2.398,2588850,0.0,1.0,ODPV3
2010-08-06,16.9,17.13,16.5,16.9,2.3769,1547370,0.0,1.0,ODPV3
2010-08-09,16.6099,17.1801,16.6099,17.1801,2.4163,268620,0.0,1.0,ODPV3
2010-08-10,17.0999,17.36,16.9201,17.0999,2.4051,834900,0.0,1.0,ODPV3
2010-08-11,17.0,17.06,16.7399,16.8802,2.3741,460020,0.0,1.0,ODPV3
2010-08-12,17.0099,17.0099,16.7901,16.9,2.3769,1407120,0.0,1.0,ODPV3
2010-08-13,17.1999,17.1999,16.8501,17.0,2.391,360360,0.0,1.0,ODPV3
2010-08-16,17.1501,17.99,17.1501,17.6999,2.4894,807510,0.0,1.0,ODPV3
2010-08-17,17.6999,19.47,17.6999,18.9701,2.6681,2567400,0.0,1.0,ODPV3
2010-08-18,20.0099,20.3,19.0499,19.1001,2.6864,2041710,0.0,1.0,ODPV3
2010-08-19,19.4901,19.4901,18.1101,18.25,2.5668,1893870,0.0,1.0,ODPV3
2010-08-20,18.2599,18.4001,17.62,17.8999,2.5176,787050,0.0,1.0,ODPV3
2010-08-23,18.0101,19.0001,18.0101,19.0001,2.6723,1468170,0.0,1.0,ODPV3
