,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2021-08-10,18.3,19.62,18.15,19.11,19.11,10252600,0.0,1.0,ONCO3
2021-08-11,19.1,19.17,18.06,18.6,18.6,3462200,0.0,1.0,ONCO3
2021-08-12,18.6,19.48,18.6,19.24,19.24,976900,0.0,1.0,ONCO3
2021-08-13,19.38,19.38,18.05,18.85,18.85,1542600,0.0,1.0,ONCO3
2021-08-16,18.96,19.06,17.6,17.78,17.78,1296500,0.0,1.0,ONCO3
2021-08-17,17.78,17.8,15.23,16.2,16.2,15250400,0.0,1.0,ONCO3
2021-08-18,16.44,16.7,15.65,15.8,15.8,1778000,0.0,1.0,ONCO3
2021-08-19,15.41,15.77,14.7,15.65,15.65,2442900,0.0,1.0,ONCO3
2021-08-20,15.45,16.05,15.11,15.68,15.68,1433900,0.0,1.0,ONCO3
2021-08-23,15.7,15.97,15.51,15.78,15.78,521200,0.0,1.0,ONCO3
2021-08-24,16.02,17.32,15.8,17.04,17.04,2555500,0.0,1.0,ONCO3
2021-08-25,17.04,17.49,16.66,17.4,17.4,757300,0.0,1.0,ONCO3
2021-08-26,17.4,17.69,16.74,17.5,17.5,1319100,0.0,1.0,ONCO3
2021-08-27,17.5,17.62,17.01,17.22,17.22,736900,0.0,1.0,ONCO3
2021-08-30,17.22,17.35,16.9,17.0,17.0,942000,0.0,1.0,ONCO3
2021-08-31,17.0,17.34,16.52,17.0,17.0,781500,0.0,1.0,ONCO3
2021-09-01,17.15,17.23,16.46,17.2,17.2,1389700,0.0,1.0,ONCO3
2021-09-02,17.2,17.8,16.81,17.1,17.1,1993100,0.0,1.0,ONCO3
2021-09-03,17.1,18.19,17.1,18.09,18.09,1833100,0.0,1.0,ONCO3
2021-09-06,17.99,18.62,17.57,18.59,18.59,1986100,0.0,1.0,ONCO3
2021-09-08,18.59,18.95,16.78,17.41,17.41,2545400,0.0,1.0,ONCO3
2021-09-09,17.41,17.41,16.62,16.99,16.99,922800,0.0,1.0,ONCO3
2021-09-10,16.81,17.18,16.11,16.11,16.11,547600,0.0,1.0,ONCO3
2021-09-13,16.23,16.38,15.91,15.91,15.91,401800,0.0,1.0,ONCO3
2021-09-14,15.97,16.21,15.8,16.04,16.04,261000,0.0,1.0,ONCO3
2021-09-15,16.04,16.14,15.81,16.0,16.0,167700,0.0,1.0,ONCO3
2021-09-16,16.0,16.14,15.37,15.45,15.45,431500,0.0,1.0,ONCO3
2021-09-17,15.47,15.61,14.65,14.99,14.99,484600,0.0,1.0,ONCO3
2021-09-20,14.66,14.86,14.24,14.49,14.49,638200,0.0,1.0,ONCO3
