,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-28,27.95,28.05,27.73,27.8,6.0592,11317300,0.0,1.0,PETR4
2010-07-29,27.84,27.95,27.63,27.74,6.0461,10324200,0.0,1.0,PETR4
2010-07-30,27.66,27.93,27.45,27.85,6.1142,12928700,0.2,1.0,PETR4
2010-08-02,27.97,28.56,27.95,28.44,6.2437,17740200,0.0,1.0,PETR4
2010-08-03,28.4,29.53,28.2,29.08,6.3842,24018500,0.0,1.0,PETR4
2010-08-04,29.36,29.54,29.06,29.34,6.4413,20894700,0.0,1.0,PETR4
2010-08-05,29.27,29.48,29.1,29.43,6.4611,11125200,0.0,1.0,PETR4
2010-08-06,29.2,29.45,28.94,29.09,6.3864,11196700,0.0,1.0,PETR4
2010-08-09,29.35,29.35,28.8,28.83,6.3293,10274900,0.0,1.0,PETR4
2010-08-10,28.62,28.62,28.18,28.41,6.2371,16439600,0.0,1.0,PETR4
2010-08-11,28.04,28.16,27.5,27.5,6.0374,16895900,0.0,1.0,PETR4
2010-08-12,27.38,27.86,27.2,27.53,6.0439,13560300,0.0,1.0,PETR4
2010-08-13,27.65,27.82,27.5,27.66,6.0725,12344200,0.0,1.0,PETR4
2010-08-16,27.61,27.8,27.59,27.61,6.0615,15292800,0.0,1.0,PETR4
2010-08-17,27.76,28.55,27.76,28.3,6.213,15546700,0.0,1.0,PETR4
2010-08-18,28.29,28.35,27.61,27.68,6.0769,20458600,0.0,1.0,PETR4
2010-08-19,26.91,27.39,26.71,26.78,5.8793,26365800,0.0,1.0,PETR4
2010-08-20,26.75,27.08,26.56,26.78,5.8793,17204600,0.0,1.0,PETR4
2010-08-23,26.92,27.19,26.66,26.66,5.8529,10445000,0.0,1.0,PETR4
2010-08-24,26.5,26.85,26.14,26.14,5.7388,15741900,0.0,1.0,PETR4
2010-08-25,26.07,26.29,25.5,26.08,5.7256,21490600,0.0,1.0,PETR4
2010-08-26,26.7,26.7,25.7,25.7,5.6422,22021900,0.0,1.0,PETR4
2010-08-27,25.95,26.59,25.62,26.56,5.831,14878800,0.0,1.0,PETR4
2010-08-30,26.35,26.43,25.45,25.45,5.5873,22067300,0.0,1.0,PETR4
2010-08-31,25.52,26.06,25.52,26.06,5.7212,15881100,0.0,1.0,PETR4
2010-09-01,26.3,27.19,26.15,27.03,5.9342,19359200,0.0,1.0,PETR4
2010-09-02,26.89,28.15,26.74,27.6,6.0593,26761400,0.0,1.0,PETR4
2010-09-03,28.3,28.92,28.05,28.8,6.3228,46190200,0.0,1.0,PETR4
2010-09-06,29.18,29.29,28.63,29.09,6.3864,19635800,0.0,1.0,PETR4
2010-09-08,28.31,28.48,27.79,27.83,6.1098,32338400,0.0,1.0,PETR4
2010-09-09,28.07,28.14,27.19,27.41,6.0176,20191800,0.0,1.0,PETR4
2010-09-10,27.5,27.94,27.41,27.52,6.0417,16665300,0.0,1.0,PETR4
2010-09-13,27.75,28.32,27.55,28.3,6.213,24171200,0.0,1.0,PETR4
2010-09-14,28.19,28.57,26.85,26.85,5.8947,39196800,0.0,1.0,PETR4
2010-09-15,26.0,26.6,25.75,26.45,5.8068,40928700,0.0,1.0,PETR4
2010-09-16,26.11,26.68,26.05,26.36,5.7871,20305300,0.0,1.0,PETR4
2010-09-17,26.13,26.54,26.1,26.44,5.8046,18012500,0.0,1.0,PETR4
2010-09-20,26.42,27.43,26.2,27.1,5.9495,26848600,0.0,1.0,PETR4
2010-09-21,27.12,27.25,26.35,26.35,5.7849,28615300,0.0,1.0,PETR4
2010-09-22,26.09,26.43,25.82,25.98,5.7037,43614700,0.0,1.0,PETR4
2010-09-23,25.92,27.46,25.92,26.8,5.8837,55285600,0.0,1.0,PETR4
2010-09-24,27.05,27.09,26.3,26.3,5.7739,85873800,0.0,1.0,PETR4
2010-09-27,26.34,26.69,26.05,26.5,5.8178,57987900,0.0,1.0,PETR4
2010-09-28,26.76,26.89,26.45,26.7,5.8617,34634300,0.0,1.0,PETR4
2010-09-29,26.6,27.5,26.54,27.5,6.0374,77343700,0.0,1.0,PETR4
2010-09-30,27.65,27.95,27.22,27.29,5.9913,35377400,0.0,1.0,PETR4
2010-10-01,27.58,27.7,27.31,27.5,6.0374,22431100,0.0,1.0,PETR4
2010-10-04,27.48,27.85,27.35,27.38,6.011,25001100,0.0,1.0,PETR4
2010-10-05,27.59,27.6,26.76,26.98,5.9232,42377800,0.0,1.0,PETR4
2010-10-06,26.8,26.89,25.59,25.86,5.6773,67569200,0.0,1.0,PETR4
2010-10-07,26.05,26.05,24.64,25.3,5.5544,59209700,0.0,1.0,PETR4
2010-10-08,25.21,26.0,24.88,26.0,5.708,32670900,0.0,1.0,PETR4
2010-10-11,26.1,26.21,25.78,25.85,5.6751,14338300,0.0,1.0,PETR4
2010-10-13,26.02,26.09,25.58,25.71,5.6444,30156000,0.0,1.0,PETR4
