,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,60.05,63.0,60.05,63.0,1.6644,2800,0.0,1.0,PNVL3
2010-07-14,60.0,63.5,60.0,63.5,1.6777,1100,0.0,1.0,PNVL3
2010-07-15,63.0,63.0,60.0,62.99,1.6642,7200,0.0,1.0,PNVL3
2010-07-16,61.0,61.0,61.0,61.0,1.6116,7100,0.0,1.0,PNVL3
2010-07-19,61.0,62.0,61.0,62.0,1.638,200,0.0,1.0,PNVL3
2010-07-20,62.0,62.0,62.0,62.0,1.638,118,0.0,1.0,PNVL3
2010-07-22,62.0,62.9,62.0,62.9,1.6618,431,0.0,1.0,PNVL3
2010-07-26,64.0,64.5,64.0,64.5,1.7041,700,0.0,1.0,PNVL3
2010-07-27,64.0,66.0,62.0,66.0,1.7437,3301,0.0,1.0,PNVL3
2010-07-28,66.5,66.5,66.5,66.5,1.7569,200,0.0,1.0,PNVL3
2010-07-29,62.51,65.8,61.0,65.8,1.7384,3782,0.0,1.0,PNVL3
2010-07-30,67.44,67.44,67.44,67.44,1.7817,100,0.0,1.0,PNVL3
2010-08-02,64.01,64.01,64.0,64.0,1.6908,247,0.0,1.0,PNVL3
2010-08-03,63.0,63.0,62.0,62.99,1.6642,3000,0.0,1.0,PNVL3
2010-08-04,62.99,65.5,62.99,65.5,1.7305,500,0.0,1.0,PNVL3
2010-08-09,64.0,65.7,64.0,65.7,1.7358,300,0.0,1.0,PNVL3
2010-08-10,66.0,66.0,65.5,65.5,1.7506,600,0.0252,1.0,PNVL3
2010-08-12,66.0,66.0,66.0,66.0,1.764,1101,0.0,1.0,PNVL3
2010-08-13,67.9,68.0,66.0,66.0,1.764,600,0.0,1.0,PNVL3
2010-08-16,65.5,65.5,65.5,65.5,1.7506,200,0.0,1.0,PNVL3
2010-08-17,66.7,67.0,66.7,67.0,1.7907,1200,0.0,1.0,PNVL3
2010-08-18,68.0,68.0,68.0,68.0,1.8175,100,0.0,1.0,PNVL3
2010-08-20,68.0,69.0,68.0,69.0,1.8442,200,0.0,1.0,PNVL3
2010-08-23,69.5,69.5,69.5,69.5,1.8576,101,0.0,1.0,PNVL3
2010-08-26,69.5,69.5,69.5,69.5,1.8576,100,0.0,1.0,PNVL3
2010-09-03,68.94,68.94,68.0,68.0,1.8175,319,0.0,1.0,PNVL3
2010-09-06,65.5,68.0,65.5,68.0,1.8175,400,0.0,1.0,PNVL3
2010-09-08,68.0,68.0,67.0,67.0,1.7907,200,0.0,1.0,PNVL3
2010-09-09,67.0,68.75,67.0,68.75,1.8375,300,0.0,1.0,PNVL3
2010-09-13,67.0,68.5,67.0,68.5,1.8308,200,0.0,1.0,PNVL3
2010-09-15,68.5,68.8,68.5,68.8,1.8388,200,0.0,1.0,PNVL3
2010-09-17,65.0,67.8,65.0,67.8,1.8121,400,0.0,1.0,PNVL3
2010-09-20,67.9,68.5,67.9,68.5,1.8308,700,0.0,1.0,PNVL3
2010-09-24,65.0,67.89,65.0,67.89,1.8145,200,0.0,1.0,PNVL3
2010-09-27,66.0,66.0,65.2,65.2,1.7426,400,0.0,1.0,PNVL3
2010-09-28,66.99,67.0,66.0,67.0,1.7907,400,0.0,1.0,PNVL3
2010-09-29,65.21,67.89,65.21,67.89,1.8145,200,0.0,1.0,PNVL3
2010-09-30,67.2,68.49,66.5,68.49,1.8306,1400,0.0,1.0,PNVL3
2010-10-01,68.5,69.79,68.5,69.79,1.8653,300,0.0,1.0,PNVL3
2010-10-05,69.7,72.0,69.7,72.0,1.9244,1934,0.0,1.0,PNVL3
2010-10-06,71.0,72.0,71.0,72.0,1.9244,1100,0.0,1.0,PNVL3
2010-10-07,72.0,72.0,72.0,72.0,1.9244,100,0.0,1.0,PNVL3
2010-10-13,75.0,75.0,75.0,75.0,2.0046,100,0.0,1.0,PNVL3
2010-10-15,75.0,75.0,75.0,75.0,2.0046,200,0.0,1.0,PNVL3
2010-10-22,72.5,72.5,71.99,71.99,1.9241,400,0.0,1.0,PNVL3
2010-10-25,72.0,72.0,72.0,72.0,1.9244,100,0.0,1.0,PNVL3
2010-10-26,74.0,74.0,74.0,74.0,1.9779,105,0.0,1.0,PNVL3
2010-10-29,74.0,75.0,71.0,74.98,2.004,700,0.0,1.0,PNVL3
2010-11-04,74.99,76.0,74.99,76.0,2.0313,1000,0.0,1.0,PNVL3
2010-11-05,75.9,76.0,75.9,76.0,2.0313,4800,0.0,1.0,PNVL3
2010-11-08,78.0,78.0,78.0,78.0,2.0847,110,0.0,1.0,PNVL3
2010-11-10,71.51,75.5,71.5,75.5,2.018,3239,0.0,1.0,PNVL3
2010-11-12,77.0,77.0,77.0,77.0,2.058,100,0.0,1.0,PNVL3
2010-11-19,75.6,77.0,70.07,77.0,2.058,400,0.0,1.0,PNVL3
2010-11-29,76.99,77.4,76.99,77.4,2.0687,500,0.0,1.0,PNVL3
2010-11-30,77.2,77.75,76.0,77.75,2.0781,3800,0.0,1.0,PNVL3
2010-12-01,77.99,77.99,77.99,77.99,2.0845,182,0.0,1.0,PNVL3
2010-12-06,76.98,76.98,76.98,76.98,2.0575,100,0.0,1.0,PNVL3
2010-12-07,76.99,77.0,76.99,77.0,2.058,805,0.0,1.0,PNVL3
2010-12-08,77.35,77.35,77.35,77.35,2.0673,100,0.0,1.0,PNVL3
2010-12-10,77.35,79.79,76.5,79.79,2.1326,3238,0.0,1.0,PNVL3
2010-12-13,82.03,82.03,82.03,82.03,2.1924,250,0.0,1.0,PNVL3
2010-12-14,82.61,84.0,82.61,84.0,2.2451,1400,0.0,1.0,PNVL3
2010-12-15,88.0,92.0,88.0,92.0,2.459,1200,0.0,1.0,PNVL3
2010-12-16,91.31,93.5,91.3,93.5,2.499,600,0.0,1.0,PNVL3
2010-12-17,92.0,94.0,92.0,94.0,2.5124,1100,0.0,1.0,PNVL3
2010-12-21,94.0,94.0,94.0,94.0,2.5284,3004,0.0198,1.0,PNVL3
2010-12-22,94.0,95.0,94.0,95.0,2.5553,1100,0.0,1.0,PNVL3
2010-12-23,96.02,96.5,95.0,95.0,2.5553,12900,0.0,1.0,PNVL3
2010-12-27,95.0,95.0,92.0,93.0,2.5015,13600,0.0,1.0,PNVL3
2010-12-28,90.0,90.0,90.0,90.0,2.4208,100,0.0,1.0,PNVL3
2010-12-29,95.0,95.0,95.0,95.0,2.5553,100,0.0,1.0,PNVL3
2010-12-30,93.0,96.0,92.0,92.0,2.4746,5900,0.0,1.0,PNVL3
2011-01-03,95.0,95.0,95.0,95.0,2.5553,200,0.0,1.0,PNVL3
2011-01-11,92.03,92.03,90.0,90.0,2.4208,700,0.0,1.0,PNVL3
2011-01-14,89.99,89.99,89.99,89.99,2.4206,110,0.0,1.0,PNVL3
2011-01-18,91.49,91.5,91.49,91.5,2.4611,200,0.0,1.0,PNVL3
2011-01-21,91.0,91.0,91.0,91.0,2.4477,200,0.0,1.0,PNVL3
2011-01-24,89.0,89.0,89.0,89.0,2.3939,100,0.0,1.0,PNVL3
2011-01-26,91.5,91.5,91.5,91.5,2.4611,100,0.0,1.0,PNVL3
2011-01-27,89.0,90.0,88.0,90.0,2.4208,300,0.0,1.0,PNVL3
2011-01-28,86.08,90.0,76.95,90.0,2.4208,1400,0.0,1.0,PNVL3
2011-01-31,90.0,91.5,90.0,91.5,2.4611,200,0.0,1.0,PNVL3
2011-02-01,90.0,90.0,90.0,90.0,2.4208,100,0.0,1.0,PNVL3
