,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,9.88,9.88,9.59,9.62,0.8602,461794,0.0,1.0,POMO4
2010-07-14,9.63,9.75,9.51,9.7,0.8674,271577,0.0,1.0,POMO4
2010-07-15,9.75,9.75,9.58,9.68,0.8656,295113,0.0,1.0,POMO4
2010-07-16,9.61,9.74,9.58,9.72,0.8692,189300,0.0,1.0,POMO4
2010-07-19,9.62,9.85,9.62,9.8,0.8763,350744,0.0,1.0,POMO4
2010-07-20,9.78,9.9,9.72,9.77,0.8736,328670,0.0,1.0,POMO4
2010-07-21,9.86,10.14,9.8,9.98,0.8924,619000,0.0,1.0,POMO4
2010-07-22,10.03,10.25,9.99,10.01,0.8951,527884,0.0,1.0,POMO4
2010-07-23,10.02,10.03,9.9,9.97,0.8915,217466,0.0,1.0,POMO4
2010-07-26,10.01,10.1,9.91,9.99,0.8933,550890,0.0,1.0,POMO4
2010-07-27,10.08,10.13,9.93,9.95,0.8897,442325,0.0,1.0,POMO4
2010-07-28,9.96,10.07,9.29,10.06,0.8996,576507,0.0,1.0,POMO4
2010-07-29,10.05,10.1,9.95,10.03,0.8969,313622,0.0,1.0,POMO4
2010-07-30,10.07,10.14,10.0,10.08,0.9014,276002,0.0,1.0,POMO4
2010-08-02,10.11,10.12,9.96,9.96,0.8906,456383,0.0,1.0,POMO4
2010-08-03,9.95,9.96,9.66,9.67,0.8647,292234,0.0,1.0,POMO4
2010-08-04,9.68,9.72,9.58,9.6,0.8584,227983,0.0,1.0,POMO4
2010-08-05,9.69,9.7,9.62,9.64,0.862,129359,0.0,1.0,POMO4
2010-08-06,9.7,9.7,9.4,9.54,0.8531,293328,0.0,1.0,POMO4
2010-08-09,9.61,9.65,9.46,9.6,0.8584,437862,0.0,1.0,POMO4
2010-08-10,9.65,9.95,9.65,9.9,0.8853,1317124,0.0,1.0,POMO4
2010-08-11,9.87,9.89,9.73,9.85,0.8808,445229,0.0,1.0,POMO4
2010-08-12,9.82,9.92,9.72,9.76,0.8727,314641,0.0,1.0,POMO4
2010-08-13,9.8,10.07,9.8,10.03,0.8969,599233,0.0,1.0,POMO4
2010-08-16,10.06,10.25,9.91,10.25,0.9166,235752,0.0,1.0,POMO4
2010-08-17,10.16,10.39,10.15,10.34,0.9246,311956,0.0,1.0,POMO4
2010-08-18,10.3,10.43,10.28,10.37,0.9273,428485,0.0,1.0,POMO4
2010-08-19,10.37,10.4,10.06,10.3,0.921,105935,0.0,1.0,POMO4
2010-08-20,10.2,10.4,10.1,10.25,0.9166,609276,0.0,1.0,POMO4
2010-08-23,10.26,10.35,10.15,10.25,0.9166,195612,0.0,1.0,POMO4
2010-08-24,10.19,10.6,10.07,10.29,0.9202,302930,0.0,1.0,POMO4
2010-08-25,10.15,10.3,9.91,10.1,0.9032,235902,0.0,1.0,POMO4
2010-08-26,10.21,10.27,10.14,10.25,0.9166,303613,0.0,1.0,POMO4
2010-08-27,10.2,10.48,10.19,10.45,0.9345,136005,0.0,1.0,POMO4
2010-08-30,10.5,10.8,10.43,10.62,0.9497,269489,0.0,1.0,POMO4
2010-08-31,10.65,11.0,10.46,11.0,0.9836,730837,0.0,1.0,POMO4
2010-09-01,10.85,11.16,10.75,10.95,0.9792,591228,0.0,1.0,POMO4
2010-09-02,10.95,10.95,10.71,10.83,0.9685,468531,0.0,1.0,POMO4
2010-09-03,10.83,10.95,10.52,10.6,0.9479,357888,0.0,1.0,POMO4
2010-09-06,10.68,10.78,10.65,10.71,0.9577,53293,0.0,1.0,POMO4
2010-09-08,10.7,10.7,10.47,10.66,0.9532,546451,0.0,1.0,POMO4
2010-09-09,10.66,10.77,10.55,10.77,0.9631,468750,0.0,1.0,POMO4
2010-09-10,10.75,10.75,10.52,10.66,0.9532,511514,0.0,1.0,POMO4
2010-09-13,5.7,5.7,5.4,5.43,0.9711,988418,0.0,2.0,POMO4
2010-09-14,5.48,5.7,5.47,5.5,0.9836,1464470,0.0,1.0,POMO4
2010-09-15,5.52,5.63,5.38,5.4,0.9658,480654,0.0,1.0,POMO4
2010-09-16,5.43,5.58,5.41,5.57,0.9961,1326492,0.0,1.0,POMO4
2010-09-17,5.57,5.65,5.5,5.59,0.9997,1119076,0.0,1.0,POMO4
2010-09-20,5.59,5.79,5.59,5.79,1.0355,906437,0.0,1.0,POMO4
2010-09-21,5.8,5.88,5.66,5.69,1.0283,854171,0.025,1.0,POMO4
2010-09-22,5.7,5.74,5.62,5.67,1.0247,795911,0.0,1.0,POMO4
2010-09-23,5.69,5.7,5.63,5.7,1.0301,1261263,0.0,1.0,POMO4
2010-09-24,5.75,5.75,5.52,5.6,1.012,1228037,0.0,1.0,POMO4
2010-09-27,5.63,5.63,5.5,5.55,1.003,832622,0.0,1.0,POMO4
2010-09-28,5.6,5.63,5.52,5.59,1.0102,509045,0.0,1.0,POMO4
2010-09-29,5.6,5.61,5.5,5.55,1.003,810631,0.0,1.0,POMO4
2010-09-30,5.59,5.61,5.51,5.6,1.012,624208,0.0,1.0,POMO4
2010-10-01,5.68,5.71,5.54,5.71,1.0319,1270078,0.0,1.0,POMO4
2010-10-04,5.71,5.74,5.63,5.66,1.0228,903207,0.0,1.0,POMO4
2010-10-05,5.69,5.75,5.64,5.72,1.0337,479565,0.0,1.0,POMO4
2010-10-06,5.67,5.99,5.67,5.99,1.0825,2283167,0.0,1.0,POMO4
2010-10-07,6.04,6.08,5.88,6.01,1.0861,2186419,0.0,1.0,POMO4
2010-10-08,5.99,6.04,5.95,6.03,1.0897,2093629,0.0,1.0,POMO4
2010-10-11,5.99,6.02,5.95,6.0,1.0843,527567,0.0,1.0,POMO4
2010-10-13,6.05,6.29,6.03,6.27,1.1331,2207802,0.0,1.0,POMO4
2010-10-14,6.25,6.33,5.82,6.25,1.1295,3385144,0.0,1.0,POMO4
2010-10-15,6.24,6.33,6.14,6.3,1.1385,1362628,0.0,1.0,POMO4
2010-10-18,6.29,6.37,6.22,6.37,1.1512,1388663,0.0,1.0,POMO4
2010-10-19,6.35,6.36,6.13,6.17,1.115,1617856,0.0,1.0,POMO4
2010-10-20,6.2,6.34,6.2,6.24,1.1277,3471432,0.0,1.0,POMO4
2010-10-21,6.31,6.33,6.25,6.33,1.1439,1787531,0.0,1.0,POMO4
2010-10-22,6.35,6.55,6.35,6.55,1.1837,2077952,0.0,1.0,POMO4
2010-10-25,6.55,6.82,6.55,6.68,1.2072,2513706,0.0,1.0,POMO4
2010-10-26,6.77,6.87,6.68,6.85,1.2379,2939819,0.0,1.0,POMO4
2010-10-27,6.87,6.88,6.35,6.7,1.2108,1362177,0.0,1.0,POMO4
2010-10-28,6.77,6.79,6.57,6.7,1.2108,1888876,0.0,1.0,POMO4
2010-10-29,6.65,6.86,6.62,6.86,1.2397,1468818,0.0,1.0,POMO4
2010-11-01,6.73,6.86,6.73,6.83,1.2343,1106548,0.0,1.0,POMO4
2010-11-03,6.86,6.92,6.71,6.85,1.2379,1388558,0.0,1.0,POMO4
2010-11-04,6.89,7.08,6.75,6.88,1.2433,2195944,0.0,1.0,POMO4
2010-11-05,6.9,6.95,6.76,6.76,1.2217,1574225,0.0,1.0,POMO4
2010-11-08,6.79,6.85,6.51,6.85,1.2379,1883357,0.0,1.0,POMO4
2010-11-09,6.85,6.94,6.76,6.89,1.2451,3370443,0.0,1.0,POMO4
2010-11-10,6.89,6.9,6.7,6.7,1.2108,837612,0.0,1.0,POMO4
2010-11-11,6.75,6.81,6.58,6.81,1.2307,912529,0.0,1.0,POMO4
2010-11-12,6.71,6.81,6.62,6.7,1.2108,2729501,0.0,1.0,POMO4
2010-11-16,6.73,6.76,6.4,6.56,1.1855,2059967,0.0,1.0,POMO4
