,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,16.89,17.3,16.61,17.3,12.0031,166443,0.0,1.0,POSI3
2010-07-14,17.24,17.7,17.1,17.6,12.2112,198340,0.0,1.0,POSI3
2010-07-15,17.5,18.1,17.5,17.9,12.4194,383472,0.0,1.0,POSI3
2010-07-16,17.9,18.05,17.7,17.9,12.4194,137712,0.0,1.0,POSI3
2010-07-19,18.08,18.21,17.65,18.14,12.5859,226320,0.0,1.0,POSI3
2010-07-20,18.04,18.24,17.81,18.14,12.5859,529957,0.0,1.0,POSI3
2010-07-21,18.1,18.16,17.86,17.87,12.3986,95066,0.0,1.0,POSI3
2010-07-22,17.96,18.42,17.96,18.35,12.7316,253704,0.0,1.0,POSI3
2010-07-23,18.34,18.35,18.07,18.1,12.5582,156043,0.0,1.0,POSI3
2010-07-26,18.15,18.2,17.66,17.71,12.2876,225135,0.0,1.0,POSI3
2010-07-27,17.71,18.12,17.7,17.75,12.3153,174735,0.0,1.0,POSI3
2010-07-28,17.73,17.75,17.39,17.6,12.2112,129732,0.0,1.0,POSI3
2010-07-29,17.61,17.83,17.6,17.8,12.35,138757,0.0,1.0,POSI3
2010-07-30,17.79,18.08,17.61,18.08,12.5443,353661,0.0,1.0,POSI3
2010-08-02,18.02,18.5,18.02,18.47,12.8149,197922,0.0,1.0,POSI3
2010-08-03,18.35,18.35,17.91,18.0,12.4888,148330,0.0,1.0,POSI3
2010-08-04,18.0,18.04,17.68,18.0,12.4888,123378,0.0,1.0,POSI3
2010-08-05,18.0,18.4,17.99,18.3,12.6969,101755,0.0,1.0,POSI3
2010-08-06,18.15,18.57,18.1,18.55,12.8704,114990,0.0,1.0,POSI3
2010-08-09,18.45,18.79,18.29,18.29,12.69,121179,0.0,1.0,POSI3
2010-08-10,18.26,18.46,18.04,18.2,12.6275,131157,0.0,1.0,POSI3
2010-08-11,18.2,18.47,17.72,18.46,12.8079,170584,0.0,1.0,POSI3
2010-08-12,18.4,18.4,18.1,18.3,12.6969,150660,0.0,1.0,POSI3
2010-08-13,18.3,18.54,18.25,18.5,12.8357,121816,0.0,1.0,POSI3
2010-08-16,18.54,18.83,18.15,18.69,12.9675,389599,0.0,1.0,POSI3
2010-08-17,18.6,18.93,18.5,18.85,13.0785,189496,0.0,1.0,POSI3
2010-08-18,18.85,19.16,18.8,19.07,13.2312,219406,0.0,1.0,POSI3
2010-08-19,19.0,19.15,18.7,18.9,13.1132,103707,0.0,1.0,POSI3
2010-08-20,18.85,18.96,18.55,18.81,13.0508,63183,0.0,1.0,POSI3
2010-08-23,18.94,18.94,18.41,18.47,12.8149,69277,0.0,1.0,POSI3
2010-08-24,18.4,18.4,18.0,18.18,12.6137,95705,0.0,1.0,POSI3
2010-08-25,18.1,18.1,17.55,17.65,12.2459,575241,0.0,1.0,POSI3
2010-08-26,17.8,17.88,17.63,17.75,12.3153,97901,0.0,1.0,POSI3
2010-08-27,17.99,18.07,17.9,17.96,12.461,61595,0.0,1.0,POSI3
2010-08-30,18.0,18.1,17.9,17.96,12.461,67452,0.0,1.0,POSI3
2010-08-31,18.0,18.0,17.67,17.8,12.35,91824,0.0,1.0,POSI3
2010-09-01,17.91,18.25,17.85,18.25,12.6622,158940,0.0,1.0,POSI3
2010-09-02,18.28,18.29,18.15,18.2,12.6275,31598,0.0,1.0,POSI3
2010-09-03,18.3,18.4,17.86,18.0,12.4888,99534,0.0,1.0,POSI3
2010-09-06,17.8,17.82,17.54,17.65,12.2459,79141,0.0,1.0,POSI3
2010-09-08,17.58,17.7,17.24,17.45,12.1072,122620,0.0,1.0,POSI3
2010-09-09,17.65,17.65,17.41,17.45,12.1072,140238,0.0,1.0,POSI3
2010-09-10,17.43,17.71,17.36,17.6,12.2112,103510,0.0,1.0,POSI3
2010-09-13,17.8,17.89,17.63,17.86,12.3916,86717,0.0,1.0,POSI3
2010-09-14,17.71,18.22,17.62,18.1,12.5582,201763,0.0,1.0,POSI3
2010-09-15,18.0,18.1,17.9,18.1,12.5582,82944,0.0,1.0,POSI3
2010-09-16,18.0,18.1,17.75,17.75,12.3153,81650,0.0,1.0,POSI3
2010-09-17,17.75,17.8,17.38,17.44,12.1002,235305,0.0,1.0,POSI3
2010-09-20,17.49,17.85,17.41,17.8,12.35,211526,0.0,1.0,POSI3
2010-09-21,17.9,17.9,17.69,17.89,12.4125,128931,0.0,1.0,POSI3
2010-09-22,17.81,17.95,17.64,17.75,12.3153,109565,0.0,1.0,POSI3
2010-09-23,17.9,17.9,17.7,17.81,12.357,85492,0.0,1.0,POSI3
2010-09-24,17.81,17.83,17.37,17.38,12.0586,158289,0.0,1.0,POSI3
2010-09-27,17.44,17.44,16.99,17.05,11.8296,433546,0.0,1.0,POSI3
2010-09-28,17.15,17.17,16.71,16.74,11.6146,430155,0.0,1.0,POSI3
2010-09-29,16.99,17.06,16.7,16.9,11.7256,261255,0.0,1.0,POSI3
2010-09-30,17.0,17.03,16.71,17.0,11.795,160530,0.0,1.0,POSI3
2010-10-01,17.07,17.37,16.59,16.86,11.6978,358379,0.0,1.0,POSI3
2010-10-04,16.85,17.0,16.83,16.9,11.7256,330221,0.0,1.0,POSI3
2010-10-05,16.91,17.17,16.9,17.1,11.8643,325720,0.0,1.0,POSI3
2010-10-06,17.1,17.25,17.01,17.25,11.9684,181420,0.0,1.0,POSI3
2010-10-07,17.27,17.69,17.23,17.25,11.9684,361359,0.0,1.0,POSI3
2010-10-08,17.2,17.4,17.08,17.15,11.899,224316,0.0,1.0,POSI3
2010-10-11,17.15,17.3,17.04,17.29,11.9962,142534,0.0,1.0,POSI3
2010-10-13,17.32,17.6,17.2,17.3,12.0031,440174,0.0,1.0,POSI3
2010-10-14,17.39,17.54,17.15,17.43,12.0933,413285,0.0,1.0,POSI3
2010-10-15,17.32,17.58,17.3,17.45,12.1072,108620,0.0,1.0,POSI3
2010-10-18,17.37,17.5,17.2,17.4,12.0725,333280,0.0,1.0,POSI3
2010-10-19,17.29,17.39,16.8,16.84,11.6839,101533,0.0,1.0,POSI3
2010-10-20,16.8,17.3,16.71,17.15,11.899,197077,0.0,1.0,POSI3
2010-10-21,17.15,17.15,16.39,16.55,11.4827,287123,0.0,1.0,POSI3
2010-10-22,16.55,16.89,16.19,16.85,11.6909,122809,0.0,1.0,POSI3
2010-10-25,16.85,17.08,16.75,16.8,11.6562,115151,0.0,1.0,POSI3
2010-10-26,16.84,16.84,16.48,16.5,11.448,126134,0.0,1.0,POSI3
2010-10-27,16.78,16.78,16.35,16.49,11.4411,91238,0.0,1.0,POSI3
2010-10-28,16.44,16.44,15.99,16.0,11.1011,188760,0.0,1.0,POSI3
2010-10-29,16.34,16.36,15.96,15.96,11.0734,243080,0.0,1.0,POSI3
2010-11-01,16.21,16.21,15.95,16.15,11.2052,77440,0.0,1.0,POSI3
2010-11-03,16.15,16.25,16.0,16.09,11.1636,93618,0.0,1.0,POSI3
2010-11-04,16.09,16.15,15.81,15.92,11.0456,249164,0.0,1.0,POSI3
2010-11-05,15.9,15.96,15.32,15.32,10.6293,531032,0.0,1.0,POSI3
2010-11-08,15.33,15.66,15.25,15.66,10.8652,256546,0.0,1.0,POSI3
2010-11-09,15.73,15.85,15.36,15.4,10.6848,399394,0.0,1.0,POSI3
2010-11-10,15.3,15.49,15.05,15.24,10.5738,107679,0.0,1.0,POSI3
2010-11-11,15.5,15.5,14.93,15.0,10.4073,178374,0.0,1.0,POSI3
2010-11-12,14.68,14.7,13.41,13.42,9.3111,1954325,0.0,1.0,POSI3
2010-11-16,13.48,13.48,11.76,11.85,8.2218,3190547,0.0,1.0,POSI3
2010-11-17,11.95,12.56,11.7,12.34,8.5618,1267944,0.0,1.0,POSI3
2010-11-18,12.65,12.67,12.25,12.55,8.7075,1019869,0.0,1.0,POSI3
2010-11-19,12.56,12.69,12.05,12.1,8.3952,605320,0.0,1.0,POSI3
2010-11-22,12.17,12.33,11.82,11.95,8.2912,286350,0.0,1.0,POSI3
2010-11-23,11.9,11.9,10.93,11.1,7.7014,1480396,0.0,1.0,POSI3
2010-11-24,11.37,11.57,11.15,11.5,7.9789,874723,0.0,1.0,POSI3
2010-11-25,11.6,11.83,11.49,11.52,7.9928,423101,0.0,1.0,POSI3
2010-11-26,11.27,11.59,11.16,11.49,7.972,216818,0.0,1.0,POSI3
2010-11-29,11.44,11.71,10.98,11.05,7.6667,527122,0.0,1.0,POSI3
2010-11-30,11.03,11.3,10.8,11.01,7.639,498780,0.0,1.0,POSI3
2010-12-01,11.19,11.4,11.13,11.37,7.8887,341945,0.0,1.0,POSI3
2010-12-02,11.45,11.6,11.25,11.4,7.9096,557683,0.0,1.0,POSI3
2010-12-03,11.42,11.97,11.36,11.84,8.2148,715770,0.0,1.0,POSI3
2010-12-06,12.15,12.15,11.65,11.65,8.083,598538,0.0,1.0,POSI3
2010-12-07,11.88,11.88,11.25,11.25,7.8055,757847,0.0,1.0,POSI3
2010-12-08,11.24,11.43,11.1,11.1,7.7014,393040,0.0,1.0,POSI3
2010-12-09,11.2,11.3,11.0,11.12,7.7153,250679,0.0,1.0,POSI3
2010-12-10,11.2,11.3,11.11,11.2,7.7708,222795,0.0,1.0,POSI3
2010-12-13,11.29,11.29,10.98,11.01,7.639,510909,0.0,1.0,POSI3
2010-12-14,11.0,11.06,10.3,10.95,7.5973,501086,0.0,1.0,POSI3
2010-12-15,10.92,10.96,10.5,10.57,7.3337,411952,0.0,1.0,POSI3
2010-12-16,10.74,10.8,10.15,10.21,7.0839,470727,0.0,1.0,POSI3
2010-12-17,10.28,10.28,9.89,10.0,6.9382,946466,0.0,1.0,POSI3
2010-12-20,10.07,10.07,9.78,9.8,6.7994,473403,0.0,1.0,POSI3
2010-12-21,9.85,9.93,9.64,9.64,6.6884,581218,0.0,1.0,POSI3
2010-12-22,9.7,9.93,9.55,9.6,6.6607,619596,0.0,1.0,POSI3
2010-12-23,9.71,9.71,9.44,9.59,6.6537,373087,0.0,1.0,POSI3
2010-12-27,9.56,10.17,9.45,9.87,6.848,619118,0.0,1.0,POSI3
2010-12-28,9.94,10.15,9.65,9.65,6.6954,645649,0.0,1.0,POSI3
2010-12-29,9.7,9.8,9.53,9.64,6.6884,436572,0.0,1.0,POSI3
2010-12-30,9.64,9.83,9.64,9.75,6.7648,164779,0.0,1.0,POSI3
2011-01-03,9.85,10.04,9.85,9.98,6.9243,348030,0.0,1.0,POSI3
2011-01-04,10.06,10.2,9.91,9.98,6.9243,554896,0.0,1.0,POSI3
2011-01-05,9.97,10.18,9.8,9.95,6.9035,626858,0.0,1.0,POSI3
2011-01-06,10.05,10.1,9.8,9.88,6.855,308525,0.0,1.0,POSI3
2011-01-07,9.9,9.98,9.69,9.82,6.8133,211767,0.0,1.0,POSI3
2011-01-10,9.75,9.9,9.7,9.88,6.855,205449,0.0,1.0,POSI3
2011-01-11,9.91,10.0,9.85,9.95,6.9035,289335,0.0,1.0,POSI3
2011-01-12,10.02,10.09,9.93,9.97,6.9174,497233,0.0,1.0,POSI3
2011-01-13,10.07,10.12,9.89,9.9,6.8688,316980,0.0,1.0,POSI3
2011-01-14,9.9,9.94,9.84,9.87,6.848,171953,0.0,1.0,POSI3
2011-01-17,10.3,10.65,10.21,10.5,7.2851,1935595,0.0,1.0,POSI3
2011-01-18,10.6,10.82,10.3,10.48,7.2712,974194,0.0,1.0,POSI3
2011-01-19,10.47,10.48,10.15,10.15,7.0423,375916,0.0,1.0,POSI3
2011-01-20,10.2,10.32,9.99,10.24,7.1047,405177,0.0,1.0,POSI3
2011-01-21,10.29,10.36,10.05,10.05,6.9729,242952,0.0,1.0,POSI3
2011-01-24,10.1,10.23,10.04,10.06,6.9798,248504,0.0,1.0,POSI3
2011-01-26,10.1,10.24,10.01,10.14,7.0353,273559,0.0,1.0,POSI3
2011-01-27,10.07,10.19,10.02,10.02,6.9521,174573,0.0,1.0,POSI3
2011-01-28,10.0,10.0,9.3,9.3,6.4525,1098366,0.0,1.0,POSI3
2011-01-31,9.33,9.69,9.22,9.47,6.5705,570734,0.0,1.0,POSI3
2011-02-01,9.6,9.74,9.53,9.68,6.7162,183696,0.0,1.0,POSI3
2011-02-02,9.68,9.74,9.46,9.51,6.5982,306380,0.0,1.0,POSI3
2011-02-03,9.61,9.61,9.32,9.4,6.5219,149283,0.0,1.0,POSI3
2011-02-04,9.42,9.54,9.02,9.05,6.2791,318761,0.0,1.0,POSI3
2011-02-07,9.38,9.77,9.3,9.45,6.5566,468120,0.0,1.0,POSI3
2011-02-08,9.58,10.27,9.55,9.58,6.6468,1223708,0.0,1.0,POSI3
2011-02-09,9.7,9.95,9.59,9.59,6.6537,347260,0.0,1.0,POSI3
2011-02-10,9.58,9.87,9.4,9.64,6.6884,250006,0.0,1.0,POSI3
2011-02-11,9.6,9.8,9.46,9.74,6.7578,238687,0.0,1.0,POSI3
2011-02-14,9.79,9.8,9.52,9.59,6.6537,394567,0.0,1.0,POSI3
2011-02-15,9.68,9.68,9.32,9.39,6.515,249741,0.0,1.0,POSI3
2011-02-16,9.53,9.56,9.36,9.44,6.5497,261385,0.0,1.0,POSI3
2011-02-17,9.42,9.67,9.22,9.58,6.6468,512174,0.0,1.0,POSI3
2011-02-18,9.58,9.97,9.5,9.92,6.8827,585348,0.0,1.0,POSI3
2011-02-21,9.89,10.48,9.8,10.15,7.0423,470933,0.0,1.0,POSI3
2011-02-22,10.09,10.29,9.68,9.7,6.7301,697587,0.0,1.0,POSI3
2011-02-23,9.71,9.84,9.64,9.64,6.6884,188347,0.0,1.0,POSI3
2011-02-24,9.78,9.8,9.66,9.69,6.7231,198586,0.0,1.0,POSI3
