,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-10-25,1205.0,1220.0,1105.04,1167.0,23.1541,596700,0.0,1.0,PRIO3
2010-10-26,1140.01,1170.0,1125.0,1125.0,22.3208,144000,0.0,1.0,PRIO3
2010-10-27,1125.0,1160.0,1110.12,1135.0,22.5192,73700,0.0,1.0,PRIO3
2010-10-28,1135.5,1135.5,1105.0,1125.0,22.3208,58000,0.0,1.0,PRIO3
2010-10-29,1130.0,1145.0,1120.0,1137.0,22.5589,16500,0.0,1.0,PRIO3
2010-11-01,1142.0,1188.99,1142.0,1175.0,23.3128,18200,0.0,1.0,PRIO3
2010-11-03,1188.0,1210.0,1170.17,1195.0,23.7096,40200,0.0,1.0,PRIO3
2010-11-04,1195.0,1209.99,1190.02,1198.0,23.7692,27700,0.0,1.0,PRIO3
2010-11-05,1197.98,1222.0,1197.98,1220.0,24.2057,110200,0.0,1.0,PRIO3
2010-11-08,1220.0,1220.0,1200.0,1200.0,23.8088,19200,0.0,1.0,PRIO3
2010-11-09,1200.01,1230.0,1180.0,1180.0,23.412,30000,0.0,1.0,PRIO3
2010-11-10,1210.0,1210.0,1161.02,1185.0,23.5112,9300,0.0,1.0,PRIO3
2010-11-11,1160.0,1192.0,1160.0,1180.0,23.412,21700,0.0,1.0,PRIO3
2010-11-12,1179.99,1184.99,1165.61,1170.0,23.2136,6900,0.0,1.0,PRIO3
2010-11-16,1150.0,1160.0,1110.0,1112.05,22.0638,24900,0.0,1.0,PRIO3
2010-11-17,1112.05,1136.99,1112.01,1130.0,22.42,20500,0.0,1.0,PRIO3
2010-11-18,1145.0,1204.0,1145.0,1200.01,23.809,26000,0.0,1.0,PRIO3
2010-11-19,1175.0,1205.0,1175.0,1200.0,23.8088,29100,0.0,1.0,PRIO3
2010-11-22,1202.01,1202.01,1190.0,1201.0,23.8287,16300,0.0,1.0,PRIO3
2010-11-23,1200.0,1220.0,1195.0,1210.0,24.0072,20800,0.0,1.0,PRIO3
2010-11-24,1230.0,1350.0,1230.0,1350.0,26.7849,21100,0.0,1.0,PRIO3
2010-11-25,1380.0,1380.0,1330.0,1350.0,26.7849,11700,0.0,1.0,PRIO3
2010-11-26,1331.0,1435.0,1331.0,1390.0,27.5786,29000,0.0,1.0,PRIO3
