,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2020-02-17,13.38,13.99,12.82,13.4,12.6356,4011600,0.0,1.0,PRNR3
2020-02-18,13.62,16.64,13.61,14.72,13.8803,4449200,0.0,1.0,PRNR3
2020-02-19,15.3,15.8,13.85,13.9,13.107,2000800,0.0,1.0,PRNR3
2020-02-20,13.99,14.88,13.91,14.6,13.7671,660000,0.0,1.0,PRNR3
2020-02-21,14.6,15.16,14.6,14.97,14.116,602700,0.0,1.0,PRNR3
2020-02-26,14.13,14.5,13.52,13.99,13.1919,442800,0.0,1.0,PRNR3
2020-02-27,13.8,14.78,13.25,14.29,13.4748,394200,0.0,1.0,PRNR3
2020-02-28,14.05,14.08,13.31,13.8,13.0128,247900,0.0,1.0,PRNR3
2020-03-02,13.9,14.45,13.9,14.17,13.3616,324300,0.0,1.0,PRNR3
2020-03-03,14.4,14.68,14.08,14.57,13.7388,289900,0.0,1.0,PRNR3
2020-03-04,14.95,14.95,14.3,14.3,13.4842,173200,0.0,1.0,PRNR3
2020-03-05,14.35,14.43,13.4,13.4,12.6356,165800,0.0,1.0,PRNR3
2020-03-06,13.25,13.66,12.95,13.5,12.7299,406800,0.0,1.0,PRNR3
2020-03-09,12.74,12.79,11.6,11.8,11.1268,229800,0.0,1.0,PRNR3
2020-03-10,13.0,13.4,12.2,13.4,12.6356,162400,0.0,1.0,PRNR3
2020-03-11,13.29,13.8,12.5,13.8,13.0128,145000,0.0,1.0,PRNR3
2020-03-12,12.69,12.69,11.0,12.0,11.3154,184400,0.0,1.0,PRNR3
2020-03-13,12.2,13.07,11.0,12.5,11.7869,327700,0.0,1.0,PRNR3
2020-03-16,10.5,11.3,10.29,10.75,10.1367,58800,0.0,1.0,PRNR3
2020-03-17,11.0,11.0,10.0,10.21,9.6276,150500,0.0,1.0,PRNR3
2020-03-18,9.99,9.99,8.3,9.01,8.496,111300,0.0,1.0,PRNR3
2020-03-19,8.5,10.0,7.2,10.0,9.4295,194400,0.0,1.0,PRNR3
2020-03-20,10.5,10.5,9.4,10.5,9.901,142700,0.0,1.0,PRNR3
