,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2011-06-29,13.15,15.15,13.02,15.05,8.245,10127612,0.0,1.0,QUAL3
2011-06-30,15.18,15.18,14.6,14.9,8.1628,809012,0.0,1.0,QUAL3
2011-07-01,14.5,15.2,14.42,15.0,8.2176,352238,0.0,1.0,QUAL3
2011-07-04,14.81,14.89,14.6,14.75,8.0806,359203,0.0,1.0,QUAL3
2011-07-05,14.55,15.0,14.55,14.89,8.1573,207217,0.0,1.0,QUAL3
2011-07-06,15.02,15.02,14.55,14.6,7.9985,473516,0.0,1.0,QUAL3
2011-07-07,14.55,14.89,14.5,14.84,8.1299,4711,0.0,1.0,QUAL3
2011-07-08,14.61,14.75,14.4,14.75,8.0806,72788,0.0,1.0,QUAL3
2011-07-11,14.59,14.6,14.25,14.49,7.9382,968016,0.0,1.0,QUAL3
2011-07-12,14.1,14.33,13.8,13.8,7.5602,491742,0.0,1.0,QUAL3
2011-07-13,14.0,14.12,13.92,13.93,7.6314,57479,0.0,1.0,QUAL3
2011-07-14,13.9,13.95,13.8,13.95,7.6424,607945,0.0,1.0,QUAL3
2011-07-15,13.9,14.1,13.77,14.1,7.7245,63646,0.0,1.0,QUAL3
2011-07-18,14.0,14.0,13.67,13.98,7.6588,49458,0.0,1.0,QUAL3
2011-07-19,13.51,13.99,13.51,13.95,7.6424,125119,0.0,1.0,QUAL3
2011-07-20,13.7,13.98,13.49,13.75,7.5328,638820,0.0,1.0,QUAL3
2011-07-21,13.74,14.4,13.74,14.4,7.8889,17179,0.0,1.0,QUAL3
2011-07-22,14.4,14.75,14.4,14.75,8.0806,313675,0.0,1.0,QUAL3
2011-07-25,14.74,14.74,14.39,14.7,8.0532,471243,0.0,1.0,QUAL3
2011-07-26,14.6,14.75,14.19,14.75,8.0806,11961,0.0,1.0,QUAL3
2011-07-27,14.73,14.85,14.67,14.8,8.108,1200670,0.0,1.0,QUAL3
2011-07-28,14.59,14.75,14.22,14.7,8.0532,997845,0.0,1.0,QUAL3
2011-07-29,14.94,15.0,14.5,14.5,7.9437,326071,0.0,1.0,QUAL3
2011-08-01,14.51,14.52,14.07,14.5,7.9437,14900,0.0,1.0,QUAL3
2011-08-02,14.08,14.96,14.01,14.74,8.0752,986074,0.0,1.0,QUAL3
2011-08-03,14.4,14.4,14.0,14.4,7.8889,22229,0.0,1.0,QUAL3
2011-08-04,14.5,14.54,13.99,14.0,7.6698,737684,0.0,1.0,QUAL3
2011-08-05,14.01,14.01,13.01,13.01,7.1274,977200,0.0,1.0,QUAL3
2011-08-08,12.8,13.0,11.8,12.0,6.5741,365161,0.0,1.0,QUAL3
2011-08-09,12.0,13.9,11.8,13.9,7.615,870703,0.0,1.0,QUAL3
2011-08-10,14.19,14.19,12.7,13.35,7.3137,2214,0.0,1.0,QUAL3
2011-08-11,13.99,13.99,13.65,13.65,7.478,36758,0.0,1.0,QUAL3
2011-08-12,13.5,13.65,13.15,13.65,7.478,44200,0.0,1.0,QUAL3
2011-08-15,13.7,13.9,13.51,13.51,7.4013,50900,0.0,1.0,QUAL3
2011-08-16,13.92,13.94,13.7,13.7,7.5054,961060,0.0,1.0,QUAL3
2011-08-17,13.7,13.9,13.5,13.5,7.3958,85300,0.0,1.0,QUAL3
2011-08-18,13.04,13.15,12.9,12.91,7.0726,5601,0.0,1.0,QUAL3
2011-08-19,12.99,12.99,12.36,12.36,6.7713,209414,0.0,1.0,QUAL3
2011-08-22,12.37,12.6,12.31,12.5,6.848,95030,0.0,1.0,QUAL3
2011-08-23,12.5,12.6,12.5,12.5,6.848,34200,0.0,1.0,QUAL3
2011-08-24,12.5,12.57,12.5,12.57,6.8863,127300,0.0,1.0,QUAL3
2011-08-25,12.6,12.6,12.2,12.6,6.9028,9600,0.0,1.0,QUAL3
2011-08-26,12.5,12.75,12.5,12.75,6.985,24600,0.0,1.0,QUAL3
2011-08-29,12.84,13.3,12.84,13.3,7.2863,55300,0.0,1.0,QUAL3
2011-08-30,13.62,14.0,13.6,14.0,7.6698,23102,0.0,1.0,QUAL3
2011-08-31,14.4,14.69,14.0,14.4,7.8889,185281,0.0,1.0,QUAL3
2011-09-01,14.6,15.0,14.5,15.0,8.2176,223391,0.0,1.0,QUAL3
2011-09-02,14.9,14.9,14.8,14.8,8.108,13700,0.0,1.0,QUAL3
2011-09-05,15.0,15.0,14.01,14.5,7.9437,117100,0.0,1.0,QUAL3
2011-09-06,14.5,14.5,14.3,14.3,7.8341,278700,0.0,1.0,QUAL3
