,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2021-08-05,7.48,7.6,7.18,7.24,6.3655,98192300,0.0,1.0,RAIZ4
2021-08-06,7.25,7.35,7.03,7.1,6.2424,28559800,0.0,1.0,RAIZ4
2021-08-09,7.18,7.31,7.07,7.07,6.216,14338700,0.0,1.0,RAIZ4
2021-08-10,7.12,7.16,7.05,7.1,6.2424,9861700,0.0,1.0,RAIZ4
2021-08-11,7.13,7.14,6.8,6.87,6.0402,31759000,0.0,1.0,RAIZ4
2021-08-12,6.97,6.98,6.75,6.96,6.1193,16948600,0.0,1.0,RAIZ4
2021-08-13,6.98,7.04,6.86,7.01,6.1633,21044300,0.0,1.0,RAIZ4
2021-08-16,6.97,7.12,6.78,7.02,6.1721,13370400,0.0,1.0,RAIZ4
2021-08-17,6.93,6.99,6.76,6.82,5.9962,17656900,0.0,1.0,RAIZ4
2021-08-18,6.83,7.0,6.72,6.81,5.9874,8786100,0.0,1.0,RAIZ4
2021-08-19,6.7,6.93,6.42,6.93,6.0929,5341800,0.0,1.0,RAIZ4
2021-08-20,6.89,7.05,6.83,6.98,6.1369,3077300,0.0,1.0,RAIZ4
2021-08-23,7.04,7.2,7.01,7.17,6.304,6093000,0.0,1.0,RAIZ4
2021-08-24,7.24,7.4,7.18,7.25,6.3743,6010000,0.0,1.0,RAIZ4
2021-08-25,7.32,7.38,7.26,7.34,6.4534,5155200,0.0,1.0,RAIZ4
2021-08-26,7.34,7.38,7.1,7.1,6.2424,7855000,0.0,1.0,RAIZ4
2021-08-27,7.15,7.24,7.12,7.19,6.3215,5793700,0.0,1.0,RAIZ4
2021-08-30,7.25,7.28,7.09,7.11,6.2512,4935900,0.0,1.0,RAIZ4
2021-08-31,7.15,7.15,7.01,7.1,6.2424,3685300,0.0,1.0,RAIZ4
2021-09-01,7.1,7.15,7.03,7.07,6.216,6460200,0.0,1.0,RAIZ4
2021-09-02,7.07,7.09,6.77,6.8,5.9787,3635000,0.0,1.0,RAIZ4
2021-09-03,6.84,7.0,6.73,7.0,6.1545,3696900,0.0,1.0,RAIZ4
2021-09-06,6.94,7.02,6.88,6.93,6.0929,1629400,0.0,1.0,RAIZ4
2021-09-08,6.93,6.93,6.42,6.53,5.7413,10164900,0.0,1.0,RAIZ4
2021-09-09,6.53,6.62,6.35,6.41,5.6358,5271300,0.0,1.0,RAIZ4
2021-09-10,6.54,6.69,6.37,6.5,5.7149,5847200,0.0,1.0,RAIZ4
2021-09-13,6.75,7.0,6.72,6.95,6.1105,8912200,0.0,1.0,RAIZ4
2021-09-14,7.06,7.38,7.06,7.19,6.3215,9631100,0.0,1.0,RAIZ4
2021-09-15,7.24,7.38,7.14,7.24,6.3655,7201900,0.0,1.0,RAIZ4
2021-09-16,7.2,7.29,7.0,7.12,6.26,6070700,0.0,1.0,RAIZ4
2021-09-17,7.1,7.24,6.78,7.24,6.3655,15953900,0.0,1.0,RAIZ4
2021-09-20,6.99,7.17,6.88,7.11,6.2512,8946900,0.0,1.0,RAIZ4
2021-09-21,7.2,7.4,7.11,7.28,6.4007,11041600,0.0,1.0,RAIZ4
2021-09-22,7.33,7.44,7.26,7.31,6.427,10214400,0.0,1.0,RAIZ4
2021-09-23,7.38,7.42,7.19,7.23,6.3567,6298700,0.0,1.0,RAIZ4
2021-09-24,7.19,7.23,6.99,7.0,6.1545,4990500,0.0,1.0,RAIZ4
2021-09-27,7.0,7.19,6.92,7.15,6.2864,6326400,0.0,1.0,RAIZ4
2021-09-28,7.1,7.12,6.94,6.94,6.1017,6757600,0.0,1.0,RAIZ4
2021-09-29,7.05,7.09,6.85,6.85,6.0226,6409600,0.0,1.0,RAIZ4
2021-09-30,6.9,7.2,6.87,7.1,6.2424,15964000,0.0,1.0,RAIZ4
2021-10-01,7.18,7.45,7.18,7.37,6.4798,15460100,0.0,1.0,RAIZ4
2021-10-04,7.4,7.43,7.02,7.02,6.1721,11899300,0.0,1.0,RAIZ4
2021-10-05,7.14,7.23,7.08,7.13,6.2833,12866700,0.0162,1.0,RAIZ4
2021-10-06,7.07,7.1,6.88,6.99,6.16,10291500,0.0,1.0,RAIZ4
2021-10-07,7.11,7.33,7.03,7.13,6.2833,18299400,0.0,1.0,RAIZ4
2021-10-08,7.2,7.53,7.12,7.14,6.2921,20076000,0.0,1.0,RAIZ4
2021-10-11,7.2,7.25,7.03,7.03,6.1952,10307200,0.0,1.0,RAIZ4
