,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-27,2.0,2.0,2.0,2.0,36000.0,110000,0.0,1.0,RCSL3
2010-08-03,1.75,1.75,1.75,1.75,31500.0,310200,0.0,1.0,RCSL3
2010-08-10,1.89,1.89,1.89,1.89,34020.0,400,0.0,1.0,RCSL3
2010-08-11,1.91,2.19,1.9,1.9,34200.0,31002,0.0,1.0,RCSL3
2010-09-01,1.9,2.0,1.9,2.0,36000.0,2400,0.0,1.0,RCSL3
2010-09-02,2.0,2.0,2.0,2.0,36000.0,500,0.0,1.0,RCSL3
2010-09-13,2.0,2.0,2.0,2.0,36000.0,2600,0.0,1.0,RCSL3
2010-09-27,1.94,1.94,1.94,1.94,34920.0,5000,0.0,1.0,RCSL3
2010-09-29,1.7,1.7,1.7,1.7,30600.0,300,0.0,1.0,RCSL3
2010-09-30,1.7,1.7,1.6,1.6,28800.0,2728,0.0,1.0,RCSL3
2010-10-06,1.6,1.6,1.6,1.6,28800.0,2166,0.0,1.0,RCSL3
2010-10-14,1.4,1.4,1.4,1.4,25200.0,3000,0.0,1.0,RCSL3
2010-10-15,1.4,1.4,1.4,1.4,25200.0,1000,0.0,1.0,RCSL3
2010-10-19,1.6,1.6,1.6,1.6,28800.0,200,0.0,1.0,RCSL3
2010-10-28,1.51,1.51,1.51,1.51,27180.0,200,0.0,1.0,RCSL3
2010-11-03,1.3,1.3,1.3,1.3,23400.0,2100,0.0,1.0,RCSL3
2010-11-04,1.68,1.68,1.65,1.65,29700.0,201,0.0,1.0,RCSL3
2010-11-05,1.65,1.69,1.5,1.6,28800.0,1000,0.0,1.0,RCSL3
2010-11-17,1.57,1.57,1.57,1.57,28260.0,100,0.0,1.0,RCSL3
2010-11-19,1.4,1.4,1.4,1.4,25200.0,200,0.0,1.0,RCSL3
2010-11-22,1.6,1.6,1.6,1.6,28800.0,1000,0.0,1.0,RCSL3
2010-12-06,1.5,1.5,1.5,1.5,27000.0,100,0.0,1.0,RCSL3
2010-12-09,1.3,1.47,1.3,1.47,26460.0,2200,0.0,1.0,RCSL3
2010-12-22,1.45,1.45,1.45,1.45,26100.0,200,0.0,1.0,RCSL3
2010-12-29,1.46,1.46,1.46,1.46,26280.0,200,0.0,1.0,RCSL3
2011-01-13,1.5,1.5,1.4,1.4,25200.0,1200,0.0,1.0,RCSL3
2011-01-18,1.5,1.5,1.5,1.5,27000.0,100,0.0,1.0,RCSL3
2011-01-19,1.5,1.55,1.5,1.55,27900.0,200,0.0,1.0,RCSL3
2011-01-21,1.55,1.55,1.55,1.55,27900.0,113,0.0,1.0,RCSL3
2011-01-27,1.4,1.4,1.4,1.4,25200.0,600,0.0,1.0,RCSL3
2011-02-21,1.21,1.21,1.21,1.21,21780.0,1400,0.0,1.0,RCSL3
2011-02-28,1.29,1.29,1.03,1.26,22680.0,500,0.0,1.0,RCSL3
2011-03-04,1.29,1.29,1.29,1.29,23220.0,276,0.0,1.0,RCSL3
2011-03-11,1.2,1.2,1.2,1.2,21600.0,100,0.0,1.0,RCSL3
2011-03-14,1.09,1.09,1.05,1.05,18900.0,4718,0.0,1.0,RCSL3
2011-03-15,1.0,1.0,1.0,1.0,18000.0,100,0.0,1.0,RCSL3
2011-03-31,1.0,1.0,1.0,1.0,18000.0,400,0.0,1.0,RCSL3
