,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2020-12-10,65.01,65.92,61.08,62.4,57.3408,26020700,0.0,1.0,RDOR3
2020-12-11,62.45,64.95,62.01,64.95,59.6841,3543300,0.0,1.0,RDOR3
2020-12-14,65.0,67.46,64.11,66.39,61.0074,3860400,0.0,1.0,RDOR3
2020-12-15,66.9,67.42,65.8,66.59,61.1911,3280200,0.0,1.0,RDOR3
2020-12-16,66.8,67.49,66.2,67.25,61.7976,2828500,0.0,1.0,RDOR3
2020-12-17,67.08,70.89,67.05,69.8,64.1409,3834800,0.0,1.0,RDOR3
2020-12-18,69.79,71.48,68.31,68.31,62.7717,9732100,0.0,1.0,RDOR3
2020-12-21,67.01,67.44,65.8,66.18,60.8144,2149200,0.0,1.0,RDOR3
2020-12-22,66.7,67.31,66.07,67.3,61.8436,1742500,0.0,1.0,RDOR3
2020-12-23,67.49,68.22,67.0,68.14,62.6155,858400,0.0,1.0,RDOR3
2020-12-28,68.5,68.67,67.4,68.0,62.4868,1376300,0.0,1.0,RDOR3
2020-12-29,68.0,68.2,67.5,68.0,62.4868,967300,0.0,1.0,RDOR3
2020-12-30,68.01,68.3,66.7,68.3,62.7625,1304100,0.0,1.0,RDOR3
2021-01-04,68.55,68.55,65.7,66.0,60.7697,1350100,0.1312,1.0,RDOR3
2021-01-05,66.0,66.49,63.55,65.1,59.9411,1235000,0.0,1.0,RDOR3
2021-01-06,65.11,65.22,61.85,61.85,56.9486,1223200,0.0,1.0,RDOR3
2021-01-07,62.41,63.38,60.5,60.95,56.1199,1918400,0.0,1.0,RDOR3
2021-01-08,61.6,63.06,61.01,62.23,57.2985,2329200,0.0,1.0,RDOR3
2021-01-11,62.19,62.95,59.62,61.24,56.387,3473200,0.0,1.0,RDOR3
2021-01-12,61.5,65.0,60.06,64.17,59.0848,2693000,0.0,1.0,RDOR3
2021-01-13,64.0,66.35,63.03,66.35,61.092,2330400,0.0,1.0,RDOR3
2021-01-14,66.22,67.46,66.05,67.1,61.7826,1952800,0.0,1.0,RDOR3
2021-01-15,66.4,68.0,65.6,67.4,62.0588,1457800,0.0,1.0,RDOR3
2021-01-18,67.3,68.38,65.51,67.25,61.9207,3530900,0.0,1.0,RDOR3
2021-01-19,67.74,68.93,67.01,67.9,62.5192,2200500,0.0,1.0,RDOR3
2021-01-20,68.31,69.0,67.7,68.0,62.6112,2117800,0.0,1.0,RDOR3
2021-01-21,67.99,68.7,66.88,67.92,62.5376,1762200,0.0,1.0,RDOR3
2021-01-22,67.3,67.97,65.9,67.3,61.9667,1625500,0.0,1.0,RDOR3
2021-01-26,67.3,67.97,65.52,66.39,61.1288,1400300,0.0,1.0,RDOR3
2021-01-27,66.66,66.66,63.1,64.15,59.0663,2670200,0.0,1.0,RDOR3
2021-01-28,64.0,65.19,63.6,65.01,59.8582,1761100,0.0,1.0,RDOR3
2021-01-29,64.64,66.88,63.6,65.7,60.4935,2213800,0.0,1.0,RDOR3
2021-02-01,67.0,68.0,66.12,67.8,62.4271,1903500,0.0,1.0,RDOR3
2021-02-02,68.03,69.74,67.7,68.55,63.1177,2228800,0.0,1.0,RDOR3
2021-02-03,68.64,71.0,68.36,71.0,65.3735,3827400,0.0,1.0,RDOR3
2021-02-04,71.15,73.49,70.53,73.4,67.5833,4122900,0.0,1.0,RDOR3
2021-02-05,73.5,74.9,72.24,74.9,68.9644,2778900,0.0,1.0,RDOR3
2021-02-08,74.9,74.95,73.36,73.5,67.6754,2136600,0.0,1.0,RDOR3
2021-02-09,72.99,74.56,71.65,74.25,68.366,2657900,0.0,1.0,RDOR3
2021-02-10,74.25,74.25,71.75,72.6,66.8467,1811700,0.0,1.0,RDOR3
2021-02-11,72.6,73.68,71.06,72.36,66.6257,7585400,0.0,1.0,RDOR3
2021-02-12,71.89,73.96,71.51,73.8,67.9516,1294500,0.0,1.0,RDOR3
2021-02-17,74.0,75.0,72.64,73.68,67.8411,1187000,0.0,1.0,RDOR3
2021-02-18,74.05,74.14,71.58,72.0,66.2943,1149400,0.0,1.0,RDOR3
2021-02-19,71.33,73.28,71.32,73.02,67.2334,684600,0.0,1.0,RDOR3
2021-02-22,71.49,71.98,67.8,70.96,65.3367,1775300,0.0,1.0,RDOR3
2021-02-23,71.5,72.95,69.39,72.5,66.7546,1701700,0.0,1.0,RDOR3
2021-02-24,72.9,72.98,70.79,72.73,66.9664,1060000,0.0,1.0,RDOR3
