,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,23.01,23.28,22.51,23.15,4.5673,965223,0.0,1.0,RENT3
2010-07-14,22.9,23.7,22.73,23.56,4.6482,358165,0.0,1.0,RENT3
2010-07-15,23.31,23.94,23.15,23.6,4.6561,907109,0.0,1.0,RENT3
2010-07-16,23.7,23.7,23.15,23.32,4.6008,220925,0.0,1.0,RENT3
2010-07-19,23.32,23.73,23.15,23.4,4.6166,298496,0.0,1.0,RENT3
2010-07-20,23.49,23.93,23.1,23.54,4.6442,276307,0.0,1.0,RENT3
2010-07-21,23.88,24.2,23.15,23.16,4.5693,388254,0.0,1.0,RENT3
2010-07-22,23.42,23.98,23.28,23.85,4.7054,696639,0.0,1.0,RENT3
2010-07-23,23.85,24.0,23.43,24.0,4.735,703452,0.0,1.0,RENT3
2010-07-26,23.81,24.68,23.81,24.4,4.8139,622616,0.0,1.0,RENT3
2010-07-27,24.5,25.36,24.5,25.1,4.952,1733214,0.0,1.0,RENT3
2010-07-28,25.07,25.15,23.74,24.7,4.8731,843088,0.0,1.0,RENT3
2010-07-29,24.93,24.93,24.18,24.75,4.883,140028,0.0,1.0,RENT3
2010-07-30,24.77,24.8,24.05,24.32,4.7982,692443,0.0,1.0,RENT3
2010-08-02,24.39,24.69,23.81,24.0,4.735,756991,0.0,1.0,RENT3
2010-08-03,24.09,24.29,23.41,23.7,4.6758,372511,0.0,1.0,RENT3
2010-08-04,23.6,24.5,23.39,24.5,4.8337,532537,0.0,1.0,RENT3
2010-08-05,24.49,24.84,23.99,24.26,4.7863,230219,0.0,1.0,RENT3
2010-08-06,24.18,24.79,24.08,24.65,4.8633,236917,0.0,1.0,RENT3
2010-08-09,24.79,24.84,24.11,24.38,4.81,318642,0.0,1.0,RENT3
2010-08-10,24.2,24.85,23.75,24.55,4.8435,342077,0.0,1.0,RENT3
2010-08-11,24.17,24.33,23.93,23.99,4.733,261648,0.0,1.0,RENT3
2010-08-12,23.8,24.16,23.44,23.5,4.6364,188002,0.0,1.0,RENT3
2010-08-13,23.78,23.78,23.18,23.4,4.6166,221339,0.0,1.0,RENT3
2010-08-16,23.64,23.7,23.26,23.5,4.6364,196700,0.0,1.0,RENT3
2010-08-17,23.69,23.79,23.52,23.6,4.6561,235000,0.0,1.0,RENT3
2010-08-18,23.55,24.07,23.55,24.05,4.7449,242247,0.0,1.0,RENT3
2010-08-19,23.83,25.2,23.83,25.05,4.9421,586268,0.0,1.0,RENT3
2010-08-20,24.84,25.64,24.8,25.35,5.0013,254094,0.0,1.0,RENT3
2010-08-23,25.3,25.64,24.71,24.82,4.8968,338339,0.0,1.0,RENT3
2010-08-24,24.45,24.68,24.07,24.68,4.8692,195416,0.0,1.0,RENT3
2010-08-25,24.35,24.6,23.9,24.1,4.7547,453271,0.0,1.0,RENT3
2010-08-26,23.92,24.0,23.09,23.35,4.6067,355843,0.0,1.0,RENT3
2010-08-27,23.4,24.13,23.03,23.96,4.7271,284943,0.0,1.0,RENT3
2010-08-30,24.01,24.18,23.83,24.02,4.739,107645,0.0,1.0,RENT3
2010-08-31,23.94,24.64,23.65,24.5,4.8337,368268,0.0,1.0,RENT3
2010-09-01,24.5,25.5,24.26,25.0,4.9323,467027,0.0,1.0,RENT3
2010-09-02,24.8,25.15,24.6,24.95,4.9225,304842,0.0,1.0,RENT3
2010-09-03,25.2,25.49,23.7,23.84,4.7035,440996,0.0,1.0,RENT3
2010-09-06,23.9,24.5,23.51,24.5,4.8337,256120,0.0,1.0,RENT3
2010-09-08,24.38,25.5,24.0,24.74,4.881,1795823,0.0,1.0,RENT3
2010-09-09,24.75,24.94,24.24,24.69,4.8711,448261,0.0,1.0,RENT3
2010-09-10,24.89,25.4,24.6,24.8,4.8928,346548,0.0,1.0,RENT3
2010-09-13,24.46,26.5,24.46,25.95,5.1197,281730,0.0,1.0,RENT3
2010-09-14,25.76,26.62,25.24,25.99,5.1276,617793,0.0,1.0,RENT3
2010-09-15,25.95,26.5,25.74,26.1,5.1493,286517,0.0,1.0,RENT3
2010-09-16,26.37,27.0,25.81,26.49,5.2263,384029,0.0,1.0,RENT3
2010-09-17,26.49,26.7,25.43,26.38,5.2045,704409,0.0,1.0,RENT3
2010-09-20,26.4,26.59,25.78,26.39,5.2065,396870,0.0,1.0,RENT3
2010-09-21,25.96,26.72,25.93,26.68,5.2637,571038,0.0,1.0,RENT3
2010-09-22,26.51,27.5,26.51,27.0,5.3269,610644,0.0,1.0,RENT3
2010-09-23,26.5,27.5,26.22,26.35,5.1986,591932,0.0,1.0,RENT3
2010-09-24,26.4,26.7,25.54,26.0,5.1296,513004,0.0,1.0,RENT3
