,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,0.3732,0.3818,0.3725,0.3811,10.1117,1201500,0.0,1.0,SANB11
2010-07-14,0.3786,0.384,0.3735,0.3755,9.9634,1968400,0.0,1.0,SANB11
2010-07-15,0.3735,0.3772,0.3676,0.3709,9.843,1556900,0.0,1.0,SANB11
2010-07-16,0.3709,0.3727,0.3575,0.3575,9.4863,1227200,0.0,1.0,SANB11
2010-07-19,0.3587,0.3715,0.3587,0.3706,9.8337,590100,0.0,1.0,SANB11
2010-07-20,0.3678,0.3762,0.3613,0.3753,9.9588,1056100,0.0,1.0,SANB11
2010-07-21,0.3788,0.391,0.377,0.3866,10.2599,3148500,0.0,1.0,SANB11
2010-07-22,0.3894,0.3952,0.3882,0.3884,10.3062,4568100,0.0,1.0,SANB11
2010-07-23,0.3889,0.3945,0.3859,0.391,10.3757,2972800,0.0,1.0,SANB11
2010-07-26,0.3919,0.394,0.3863,0.3863,10.2506,1622100,0.0,1.0,SANB11
2010-07-27,0.3927,0.3975,0.3908,0.3929,10.4266,1980800,0.0,1.0,SANB11
2010-07-28,0.391,0.4013,0.3908,0.4013,10.649,1426700,0.0,1.0,SANB11
2010-07-29,0.4032,0.4095,0.3985,0.3989,10.5841,3176800,0.0,1.0,SANB11
2010-07-30,0.3927,0.4121,0.3921,0.4057,10.7648,2593300,0.0,1.0,SANB11
2010-08-02,0.4085,0.4114,0.4037,0.405,10.7462,1630200,0.0,1.0,SANB11
2010-08-03,0.4029,0.4046,0.3966,0.4004,10.6258,1399500,0.0,1.0,SANB11
2010-08-04,0.4032,0.4032,0.3952,0.3969,10.5332,1046800,0.0,1.0,SANB11
2010-08-05,0.4013,0.4032,0.3947,0.3985,10.5749,1046600,0.0,1.0,SANB11
2010-08-06,0.3971,0.4027,0.3931,0.3985,10.5749,1128700,0.0,1.0,SANB11
2010-08-09,0.3999,0.4044,0.3985,0.4004,10.6258,997300,0.0,1.0,SANB11
2010-08-10,0.3971,0.4029,0.3952,0.4001,10.6165,1031300,0.0,1.0,SANB11
2010-08-11,0.3997,0.3997,0.3859,0.3893,10.3294,1728800,0.0,1.0,SANB11
2010-08-12,0.3859,0.3962,0.3818,0.3933,10.4359,1443300,0.0,1.0,SANB11
2010-08-13,0.3929,0.3962,0.3886,0.391,10.3757,4515700,0.0,1.0,SANB11
2010-08-16,0.3903,0.3987,0.3903,0.3987,10.5795,1189400,0.0,1.0,SANB11
2010-08-17,0.4006,0.4069,0.3955,0.4037,10.7138,1540800,0.0,1.0,SANB11
2010-08-18,0.4017,0.4055,0.3973,0.4029,10.6907,1395600,0.0,1.0,SANB11
2010-08-19,0.4039,0.4039,0.3954,0.3976,10.5517,1196300,0.0,1.0,SANB11
2010-08-20,0.398,0.3996,0.3948,0.3962,10.5146,1252800,0.0,1.0,SANB11
2010-08-23,0.3945,0.4001,0.3945,0.398,10.561,1652500,0.0,1.0,SANB11
2010-08-24,0.3908,0.3966,0.3903,0.3936,10.4452,2250900,0.0,1.0,SANB11
2010-08-25,0.3921,0.3927,0.3835,0.3893,10.3294,2967500,0.0,1.0,SANB11
