,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,34.89,34.89,34.33,34.44,5.8535,209878,0.0,1.0,SBSP3
2010-07-14,34.1,34.74,33.95,34.6,5.8807,435696,0.0,1.0,SBSP3
2010-07-15,34.26,34.32,33.71,34.15,5.8042,400254,0.0,1.0,SBSP3
2010-07-16,34.15,34.31,33.55,33.55,5.7022,248661,0.0,1.0,SBSP3
2010-07-19,33.92,33.93,33.28,33.51,5.6954,488845,0.0,1.0,SBSP3
2010-07-20,33.6,34.32,33.31,34.3,5.8297,438506,0.0,1.0,SBSP3
2010-07-21,34.32,34.73,34.0,34.15,5.8042,363755,0.0,1.0,SBSP3
2010-07-22,34.67,34.95,34.28,34.33,5.8348,398552,0.0,1.0,SBSP3
2010-07-23,34.23,34.98,34.23,34.71,5.8994,297170,0.0,1.0,SBSP3
2010-07-26,34.59,35.22,34.57,34.65,5.8892,183502,0.0,1.0,SBSP3
2010-07-27,35.26,35.67,34.78,35.2,5.9827,264225,0.0,1.0,SBSP3
2010-07-28,35.19,35.36,34.62,35.36,6.0099,180301,0.0,1.0,SBSP3
2010-07-29,35.3,35.6,34.41,34.94,5.9385,213642,0.0,1.0,SBSP3
2010-07-30,34.3,35.18,34.3,35.17,5.9776,416993,0.0,1.0,SBSP3
2010-08-02,35.62,35.63,35.21,35.63,6.0558,156590,0.0,1.0,SBSP3
2010-08-03,35.62,35.65,34.88,35.26,5.9929,195247,0.0,1.0,SBSP3
2010-08-04,35.3,35.65,34.97,35.65,6.0591,224335,0.0,1.0,SBSP3
2010-08-05,35.02,35.65,35.02,35.65,6.0591,127938,0.0,1.0,SBSP3
2010-08-06,35.61,35.76,34.92,35.76,6.0779,135502,0.0,1.0,SBSP3
2010-08-09,35.94,35.94,35.06,35.5,6.0337,163827,0.0,1.0,SBSP3
2010-08-10,35.11,35.39,34.47,34.98,5.9453,203295,0.0,1.0,SBSP3
2010-08-11,34.09,34.82,33.77,33.9,5.7617,207191,0.0,1.0,SBSP3
2010-08-12,33.56,34.89,33.56,34.89,5.93,230963,0.0,1.0,SBSP3
2010-08-13,34.64,35.29,34.12,34.86,5.9249,173273,0.0,1.0,SBSP3
2010-08-16,35.22,35.28,34.41,35.28,5.9963,194861,0.0,1.0,SBSP3
2010-08-17,35.29,35.56,34.8,35.47,6.0286,174596,0.0,1.0,SBSP3
2010-08-18,35.5,35.74,34.97,35.74,6.0744,214715,0.0,1.0,SBSP3
2010-08-19,35.49,35.66,35.02,35.55,6.0422,183763,0.0,1.0,SBSP3
2010-08-20,35.64,35.64,34.94,34.95,5.9402,120477,0.0,1.0,SBSP3
2010-08-23,35.2,35.35,34.83,35.1,5.9657,705931,0.0,1.0,SBSP3
2010-08-24,35.0,35.2,34.1,34.44,5.8535,216816,0.0,1.0,SBSP3
2010-08-25,34.2,34.48,33.62,34.2,5.8127,226607,0.0,1.0,SBSP3
2010-08-26,34.07,34.4,33.79,33.79,5.743,225680,0.0,1.0,SBSP3
2010-08-27,34.02,35.3,33.86,35.01,5.9504,260775,0.0,1.0,SBSP3
2010-08-30,34.23,35.75,33.89,33.89,5.76,159408,0.0,1.0,SBSP3
2010-08-31,34.2,34.39,32.97,33.41,5.6785,697223,0.0,1.0,SBSP3
2010-09-01,33.88,34.67,33.6,34.67,5.8926,267931,0.0,1.0,SBSP3
2010-09-02,34.32,34.61,34.0,34.0,5.7787,183180,0.0,1.0,SBSP3
2010-09-03,34.3,34.55,34.0,34.34,5.8365,187310,0.0,1.0,SBSP3
2010-09-06,34.1,34.95,34.0,34.95,5.9402,20963,0.0,1.0,SBSP3
2010-09-08,34.4,34.4,33.57,33.84,5.7515,204251,0.0,1.0,SBSP3
2010-09-09,33.99,34.3,33.74,33.9,5.7617,236670,0.0,1.0,SBSP3
2010-09-10,34.09,35.49,34.09,35.49,6.032,195561,0.0,1.0,SBSP3
2010-09-13,35.49,35.94,35.34,35.59,6.0489,161539,0.0,1.0,SBSP3
2010-09-14,35.69,35.89,35.35,35.82,6.0881,175601,0.0,1.0,SBSP3
2010-09-15,35.84,36.29,35.41,36.29,6.168,212758,0.0,1.0,SBSP3
2010-09-16,36.3,36.33,35.38,35.66,6.0609,153602,0.0,1.0,SBSP3
2010-09-17,35.6,35.85,34.79,35.24,5.9895,267470,0.0,1.0,SBSP3
2010-09-20,35.46,35.87,34.86,35.87,6.0966,184113,0.0,1.0,SBSP3
2010-09-21,35.87,35.87,34.62,34.62,5.8841,210936,0.0,1.0,SBSP3
2010-09-22,34.78,36.23,34.52,36.23,6.1578,250709,0.0,1.0,SBSP3
2010-09-23,35.97,36.3,35.51,35.88,6.0983,310259,0.0,1.0,SBSP3
2010-09-24,35.89,36.43,35.59,35.93,6.1068,298526,0.0,1.0,SBSP3
2010-09-27,36.14,36.7,35.78,36.7,6.2376,142078,0.0,1.0,SBSP3
2010-09-28,36.25,36.55,35.88,36.09,6.1339,272996,0.0,1.0,SBSP3
2010-09-29,36.24,37.4,35.88,37.4,6.3566,298116,0.0,1.0,SBSP3
2010-09-30,37.4,37.9,36.61,37.9,6.4416,315653,0.0,1.0,SBSP3
2010-10-01,37.94,38.0,37.34,37.89,6.4399,210897,0.0,1.0,SBSP3
2010-10-04,37.84,37.91,37.22,37.59,6.3889,147953,0.0,1.0,SBSP3
2010-10-05,37.85,38.75,37.14,38.33,6.5147,458144,0.0,1.0,SBSP3
2010-10-06,38.6,39.49,37.82,39.29,6.6778,277252,0.0,1.0,SBSP3
2010-10-07,38.83,39.27,38.18,38.8,6.5945,232156,0.0,1.0,SBSP3
2010-10-08,38.35,39.8,38.35,39.68,6.7441,175777,0.0,1.0,SBSP3
2010-10-11,39.4,39.79,39.28,39.41,6.6982,136471,0.0,1.0,SBSP3
2010-10-13,39.62,41.53,39.61,40.73,6.9226,543761,0.0,1.0,SBSP3
2010-10-14,40.72,41.05,39.76,40.6,6.9005,421404,0.0,1.0,SBSP3
2010-10-15,40.79,41.2,39.62,41.2,7.0024,322474,0.0,1.0,SBSP3
2010-10-18,41.19,42.09,40.73,41.74,7.0942,410407,0.0,1.0,SBSP3
2010-10-19,40.6,41.2,39.39,39.39,6.6948,349251,0.0,1.0,SBSP3
2010-10-20,39.43,39.69,39.23,39.3,6.6795,281854,0.0,1.0,SBSP3
2010-10-21,39.53,39.53,38.0,38.07,6.4705,258482,0.0,1.0,SBSP3
2010-10-22,38.37,38.67,37.53,38.0,6.4586,204871,0.0,1.0,SBSP3
2010-10-25,37.96,38.75,37.96,38.5,6.5435,227382,0.0,1.0,SBSP3
2010-10-26,38.47,39.99,38.05,39.99,6.7968,333845,0.0,1.0,SBSP3
2010-10-27,39.97,39.97,38.92,39.7,6.7475,119585,0.0,1.0,SBSP3
2010-10-28,39.34,39.96,39.25,39.79,6.7628,124124,0.0,1.0,SBSP3
2010-10-29,40.0,40.1,38.05,38.15,6.4841,442253,0.0,1.0,SBSP3
2010-11-01,38.51,39.7,38.16,39.59,6.7288,192166,0.0,1.0,SBSP3
2010-11-03,39.01,40.03,38.94,40.03,6.8036,131260,0.0,1.0,SBSP3
2010-11-04,40.2,41.19,40.15,40.85,6.943,152456,0.0,1.0,SBSP3
2010-11-05,41.1,41.18,40.29,41.1,6.9855,278481,0.0,1.0,SBSP3
2010-11-08,41.39,41.39,40.22,40.73,6.9226,101864,0.0,1.0,SBSP3
2010-11-09,41.08,41.4,40.46,41.4,7.0364,126067,0.0,1.0,SBSP3
2010-11-10,41.34,41.36,40.44,41.05,6.9769,126288,0.0,1.0,SBSP3
2010-11-11,41.0,41.0,39.64,40.07,6.8104,115016,0.0,1.0,SBSP3
2010-11-12,40.24,40.4,39.5,40.4,6.8665,85957,0.0,1.0,SBSP3
2010-11-16,40.47,40.47,39.2,40.0,6.7985,300098,0.0,1.0,SBSP3
2010-11-17,39.71,40.6,39.31,40.57,6.8954,73581,0.0,1.0,SBSP3
