,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2013-11-04,18.5,19.39,18.42,19.3,14.9037,1614600,0.0,1.0,SEER3
2013-11-05,19.24,19.7,19.07,19.45,15.0195,1355400,0.0,1.0,SEER3
2013-11-06,19.35,19.4,19.1,19.35,14.9423,273600,0.0,1.0,SEER3
2013-11-07,19.5,19.99,19.0,19.79,15.2821,447200,0.0,1.0,SEER3
2013-11-08,19.8,19.9,19.52,19.8,15.2898,368800,0.0,1.0,SEER3
2013-11-11,19.79,19.8,19.59,19.7,15.2126,181500,0.0,1.0,SEER3
2013-11-12,19.89,19.89,19.24,19.45,15.0195,230500,0.0,1.0,SEER3
2013-11-13,19.39,19.87,19.02,19.5,15.0581,324300,0.0,1.0,SEER3
2013-11-14,19.7,19.98,19.4,19.9,15.367,319800,0.0,1.0,SEER3
2013-11-18,20.0,20.11,19.75,20.0,15.4443,250700,0.0,1.0,SEER3
2013-11-19,19.77,20.11,19.6,20.0,15.4443,161000,0.0,1.0,SEER3
2013-11-21,19.72,20.12,19.56,19.99,15.4365,240600,0.0,1.0,SEER3
2013-11-22,19.99,20.61,19.63,20.0,15.4443,283200,0.0,1.0,SEER3
2013-11-25,20.41,20.49,19.78,20.25,15.6373,361100,0.0,1.0,SEER3
2013-11-26,20.25,20.85,19.9,20.75,16.0234,518000,0.0,1.0,SEER3
2013-11-27,20.93,21.38,20.16,21.0,16.2164,388200,0.0,1.0,SEER3
2013-11-28,21.0,21.44,20.51,21.4,16.5253,275300,0.0,1.0,SEER3
2013-11-29,21.35,21.7,21.2,21.4,16.5253,504600,0.0,1.0,SEER3
2013-12-02,21.11,21.88,20.87,21.35,16.4867,547500,0.0,1.0,SEER3
2013-12-03,21.18,21.7,20.91,21.25,16.4095,547100,0.0,1.0,SEER3
2013-12-04,21.69,21.7,21.02,21.4,16.5253,257700,0.0,1.0,SEER3
2013-12-05,21.64,21.64,21.2,21.44,16.5562,276000,0.0,1.0,SEER3
2013-12-06,21.31,21.4,20.99,21.2,16.3709,429600,0.0,1.0,SEER3
2013-12-09,21.02,21.53,21.0,21.0,16.2164,305300,0.0,1.0,SEER3
2013-12-10,20.96,21.39,20.82,21.17,16.3477,732000,0.0,1.0,SEER3
2013-12-11,21.24,21.3,21.1,21.2,16.3709,287700,0.0,1.0,SEER3
