,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2021-04-29,13.9,15.32,13.51,14.5,13.102,7817700,0.0,1.0,SOJA3
2021-04-30,15.1,17.88,15.0,16.2,14.6381,7654100,0.0,1.0,SOJA3
2021-05-03,17.2,17.2,15.49,16.04,14.4935,3088000,0.0,1.0,SOJA3
2021-05-04,16.21,16.62,15.7,15.9,14.367,1238100,0.0,1.0,SOJA3
2021-05-05,16.09,16.1,15.61,15.62,14.114,832000,0.0,1.0,SOJA3
2021-05-06,15.85,15.85,15.21,15.27,13.7978,637000,0.0,1.0,SOJA3
2021-05-07,15.35,15.52,14.81,15.3,13.8249,804900,0.0,1.0,SOJA3
2021-05-10,15.3,15.46,15.11,15.11,13.6532,601800,0.0,1.0,SOJA3
2021-05-11,15.0,15.15,14.75,15.0,13.5538,383600,0.0,1.0,SOJA3
2021-05-12,14.9,15.4,14.85,15.05,13.599,531400,0.0,1.0,SOJA3
2021-05-13,15.3,16.82,15.05,16.18,14.62,3053300,0.0,1.0,SOJA3
2021-05-14,16.38,17.14,16.3,16.7,15.0899,2071600,0.0,1.0,SOJA3
2021-05-17,16.89,17.6,16.51,16.88,15.2525,1900700,0.0,1.0,SOJA3
2021-05-18,17.05,17.2,16.52,16.72,15.108,837500,0.0,1.0,SOJA3
2021-05-19,16.63,16.84,16.13,16.28,14.7104,754900,0.0,1.0,SOJA3
2021-05-20,16.0,16.0,15.5,15.8,14.2767,1052600,0.0,1.0,SOJA3
2021-05-21,15.8,16.28,15.8,15.96,14.4212,505400,0.0,1.0,SOJA3
2021-05-24,16.18,16.93,16.09,16.21,14.6471,947500,0.0,1.0,SOJA3
2021-05-25,16.18,16.47,16.0,16.02,14.4755,511100,0.0,1.0,SOJA3
2021-05-26,16.14,16.32,16.01,16.03,14.4845,348500,0.0,1.0,SOJA3
2021-05-27,16.09,16.24,15.88,15.9,14.367,441600,0.0,1.0,SOJA3
2021-05-28,15.95,16.08,15.65,15.73,14.2134,737600,0.0,1.0,SOJA3
2021-05-31,15.76,15.95,15.23,15.55,14.0508,677200,0.0,1.0,SOJA3
2021-06-01,15.72,16.09,15.51,16.0,14.4574,589900,0.0,1.0,SOJA3
2021-06-02,16.0,16.08,15.56,15.64,14.1321,557000,0.0,1.0,SOJA3
2021-06-04,15.68,15.98,15.52,15.67,14.1592,433100,0.0,1.0,SOJA3
2021-06-07,15.53,15.79,15.33,15.41,13.9243,620900,0.0,1.0,SOJA3
2021-06-08,15.33,15.38,15.0,15.03,13.5809,683900,0.0,1.0,SOJA3
2021-06-09,15.13,15.38,15.13,15.37,13.8881,425200,0.0,1.0,SOJA3
2021-06-10,15.48,15.7,15.36,15.64,14.1321,460300,0.0,1.0,SOJA3
2021-06-11,15.69,15.69,15.4,15.51,14.0146,279600,0.0,1.0,SOJA3
2021-06-14,15.62,15.7,15.3,15.3,13.8249,375500,0.0,1.0,SOJA3
2021-06-15,15.48,15.62,15.34,15.39,13.9062,301800,0.0,1.0,SOJA3
2021-06-16,15.49,15.56,15.3,15.42,13.9333,249000,0.0,1.0,SOJA3
2021-06-17,15.41,15.53,15.2,15.35,13.8701,296300,0.0,1.0,SOJA3
2021-06-18,15.26,15.39,15.15,15.28,13.8068,347000,0.0,1.0,SOJA3
2021-06-21,15.35,15.41,15.07,15.11,13.6532,410500,0.0,1.0,SOJA3
2021-06-22,15.11,15.29,14.76,14.97,13.5267,731700,0.0,1.0,SOJA3
2021-06-23,15.0,15.08,14.62,14.62,13.2104,856400,0.0,1.0,SOJA3
2021-06-24,14.75,15.11,14.75,14.89,13.4544,308600,0.0,1.0,SOJA3
2021-06-25,14.99,15.0,14.6,14.87,13.4363,324300,0.0,1.0,SOJA3
2021-06-28,14.9,15.0,14.65,14.7,13.2827,375900,0.0,1.0,SOJA3
2021-06-29,14.55,15.3,14.55,15.3,13.8249,496800,0.0,1.0,SOJA3
2021-06-30,15.2,15.46,15.01,15.46,13.9695,501500,0.0,1.0,SOJA3
2021-07-01,15.42,15.58,15.11,15.11,13.6532,381800,0.0,1.0,SOJA3
2021-07-02,15.11,15.39,15.08,15.08,13.6261,395600,0.0,1.0,SOJA3
2021-07-05,15.16,15.27,15.01,15.01,13.5628,170300,0.0,1.0,SOJA3
2021-07-06,15.06,15.09,14.8,14.92,13.4815,262800,0.0,1.0,SOJA3
2021-07-07,14.98,15.15,14.9,14.9,13.4634,191600,0.0,1.0,SOJA3
2021-07-08,14.8,15.28,14.7,14.9,13.4634,398900,0.0,1.0,SOJA3
2021-07-12,15.0,15.14,14.75,14.75,13.3279,282000,0.0,1.0,SOJA3
2021-07-13,14.75,14.86,14.55,14.6,13.1924,405100,0.0,1.0,SOJA3
2021-07-14,14.6,14.79,14.6,14.61,13.2014,221800,0.0,1.0,SOJA3
2021-07-15,14.61,14.84,14.5,14.53,13.1291,302100,0.0,1.0,SOJA3
2021-07-16,14.57,14.69,14.36,14.62,13.2104,313500,0.0,1.0,SOJA3
2021-07-19,14.5,14.52,13.93,14.05,12.6954,525200,0.0,1.0,SOJA3
2021-07-20,14.1,14.33,13.73,13.9,12.5599,964200,0.0,1.0,SOJA3
2021-07-21,13.92,14.09,13.26,13.26,11.9816,1140900,0.0,1.0,SOJA3
2021-07-22,13.37,13.7,12.86,13.0,11.7466,1436000,0.0,1.0,SOJA3
