,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,7.58,7.6,7.35,7.35,730.7999,374930,0.0,1.0,TIMS3
2010-07-14,7.35,7.45,7.2,7.36,731.7942,3027215,0.0,1.0,TIMS3
2010-07-15,7.45,7.46,7.22,7.37,732.7885,597816,0.0,1.0,TIMS3
2010-07-16,7.37,7.41,7.1,7.1,705.9428,434550,0.0,1.0,TIMS3
2010-07-19,7.1,7.28,7.1,7.11,706.9371,114509,0.0,1.0,TIMS3
2010-07-20,7.13,7.21,6.91,7.1,705.9428,644686,0.0,1.0,TIMS3
2010-07-21,7.18,7.18,7.01,7.02,697.9885,143309,0.0,1.0,TIMS3
2010-07-22,7.13,7.23,7.07,7.21,716.8799,708171,0.0,1.0,TIMS3
2010-07-23,7.06,7.21,7.06,7.12,707.9314,241244,0.0,1.0,TIMS3
2010-07-26,7.11,7.25,7.05,7.21,716.8799,227806,0.0,1.0,TIMS3
2010-07-27,7.28,7.28,7.11,7.13,708.9257,611471,0.0,1.0,TIMS3
2010-07-28,7.08,7.23,7.07,7.12,707.9314,665430,0.0,1.0,TIMS3
2010-07-29,7.26,7.26,7.03,7.03,698.9828,277768,0.0,1.0,TIMS3
2010-07-30,7.14,7.14,6.92,6.95,691.0285,591475,0.0,1.0,TIMS3
2010-08-02,7.05,7.1,6.99,7.04,699.9771,555732,0.0,1.0,TIMS3
2010-08-03,7.07,7.13,6.94,6.94,690.0342,474930,0.0,1.0,TIMS3
2010-08-04,7.04,7.18,6.97,7.15,710.9142,531420,0.0,1.0,TIMS3
2010-08-05,7.12,8.1,7.11,8.0,795.4285,4041831,0.0,1.0,TIMS3
2010-08-06,7.94,8.1,7.81,8.03,798.4114,997297,0.0,1.0,TIMS3
2010-08-09,8.1,8.14,7.75,7.84,779.5199,606175,0.0,1.0,TIMS3
2010-08-10,7.72,7.84,7.66,7.69,764.6056,796733,0.0,1.0,TIMS3
2010-08-11,7.58,7.73,7.53,7.63,758.6399,400398,0.0,1.0,TIMS3
2010-08-12,7.55,7.6,7.43,7.43,738.7542,296413,0.0,1.0,TIMS3
2010-08-13,7.41,7.41,7.1,7.33,728.8114,329102,0.0,1.0,TIMS3
2010-08-16,7.25,7.69,7.25,7.6,755.6571,336012,0.0,1.0,TIMS3
2010-08-17,7.6,7.8,7.45,7.45,740.7428,358197,0.0,1.0,TIMS3
2010-08-18,7.49,7.7,7.4,7.48,743.7256,512534,0.0,1.0,TIMS3
2010-08-19,7.44,7.52,7.25,7.35,730.7999,379006,0.0,1.0,TIMS3
2010-08-20,7.4,7.4,7.17,7.37,732.7885,583607,0.0,1.0,TIMS3
2010-08-23,7.4,7.48,7.26,7.3,725.8285,221069,0.0,1.0,TIMS3
2010-08-24,7.18,7.37,7.18,7.2,715.8857,298778,0.0,1.0,TIMS3
2010-08-25,7.12,7.35,7.0,7.07,702.9599,601519,0.0,1.0,TIMS3
2010-08-26,7.07,7.17,6.87,6.87,683.0742,652866,0.0,1.0,TIMS3
2010-08-27,7.0,7.04,6.89,6.97,693.0171,422029,0.0,1.0,TIMS3
2010-08-30,6.93,7.09,6.85,6.96,692.0228,242861,0.0,1.0,TIMS3
2010-08-31,7.12,7.12,6.83,6.99,695.0057,1617823,0.0,1.0,TIMS3
