,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,132.402,132.402,130.461,131.427,6.332,271177,0.0,1.0,TOTS3
2010-07-14,130.929,132.1335,128.082,131.088,6.3156,1190168,0.0,1.0,TOTS3
2010-07-15,131.835,131.835,129.0375,130.4205,6.2835,82859,0.0,1.0,TOTS3
2010-07-16,128.4495,130.431,128.061,128.838,6.2072,947615,0.0,1.0,TOTS3
2010-07-19,129.933,129.933,127.4535,129.426,6.2356,219955,0.0,1.0,TOTS3
2010-07-20,128.4405,130.83,127.9425,130.6305,6.2936,2555096,0.0,1.0,TOTS3
2010-07-21,132.3225,132.423,131.178,132.423,6.38,394714,0.0,1.0,TOTS3
2010-07-22,132.4125,133.1295,131.925,132.423,6.38,438403,0.0,1.0,TOTS3
2010-07-23,132.4125,133.4085,131.9145,132.9195,6.4039,1021435,0.0,1.0,TOTS3
2010-07-26,133.398,133.398,131.955,132.423,6.38,2036845,0.0,1.0,TOTS3
2010-07-27,132.423,132.8205,132.423,132.423,6.38,564953,0.0,1.0,TOTS3
2010-07-28,132.423,134.145,131.436,133.9155,6.4519,906938,0.0,1.0,TOTS3
2010-07-29,133.587,133.866,130.0035,130.431,6.284,5693224,0.0,1.0,TOTS3
2010-07-30,131.427,131.427,128.091,128.3505,6.1838,4471418,0.0,1.0,TOTS3
2010-08-02,129.435,131.0985,128.3505,128.937,6.212,2199552,0.0,1.0,TOTS3
2010-08-03,128.4405,129.435,126.7965,127.4445,6.1401,870781,0.0,1.0,TOTS3
2010-08-04,128.937,128.937,125.9505,125.9505,6.0681,917484,0.0,1.0,TOTS3
2010-08-05,126.9465,126.9465,124.6065,125.403,6.0417,1393551,0.0,1.0,TOTS3
2010-08-06,125.334,125.3535,120.0855,120.744,5.8173,2157368,0.0,1.0,TOTS3
2010-08-09,122.466,124.4565,119.469,124.4565,5.9961,1194688,0.0,1.0,TOTS3
2010-08-10,124.4565,124.4565,123.462,124.437,5.9952,438403,0.0,1.0,TOTS3
2010-08-11,124.3185,124.338,122.973,123.2625,5.9386,750258,0.0,1.0,TOTS3
2010-08-12,123.8505,123.96,122.1675,123.432,5.9468,736699,0.0,1.0,TOTS3
2010-08-13,120.5745,123.441,120.5745,122.964,5.9242,1294120,0.0,1.0,TOTS3
2010-08-16,123.6405,123.6405,122.7345,123.4515,5.9477,696022,0.0,1.0,TOTS3
2010-08-17,123.591,124.4565,122.4765,123.4515,5.9477,2300490,0.0,1.0,TOTS3
2010-08-18,123.213,123.282,121.68,122.466,5.9002,462508,0.0,1.0,TOTS3
2010-08-19,122.4555,122.9535,121.4895,121.4895,5.8532,1169076,0.0,1.0,TOTS3
2010-08-20,120.4845,122.4555,120.0765,122.4555,5.8997,551394,0.0,1.0,TOTS3
2010-08-23,121.47,122.4255,120.972,120.972,5.8283,1357394,0.0,1.0,TOTS3
2010-08-24,121.0815,122.964,119.976,121.9785,5.8768,2017260,0.0,1.0,TOTS3
2010-08-25,120.5835,128.928,119.4885,128.928,6.2116,4135459,0.0,1.0,TOTS3
2010-08-26,127.245,128.43,126.0105,127.9425,6.1641,387181,0.0,1.0,TOTS3
2010-08-27,127.4445,127.9425,127.2345,127.9425,6.1641,860235,0.0,1.0,TOTS3
2010-08-30,127.4445,127.4445,126.459,126.528,6.0959,3058,0.0,1.0,TOTS3
2010-08-31,126.9465,129.435,126.468,129.435,6.236,1324250,0.0,1.0,TOTS3
2010-09-01,129.435,134.4135,127.9515,134.4135,6.4759,5694,0.0,1.0,TOTS3
2010-09-02,132.93,138.387,132.4125,135.4095,6.5238,1324250,0.0,1.0,TOTS3
2010-09-03,135.1605,139.4025,134.5635,137.1015,6.6054,3130595,0.0,1.0,TOTS3
2010-09-06,133.4175,138.396,133.089,135.3105,6.5191,329932,0.0,1.0,TOTS3
2010-09-08,135.399,138.0675,133.4175,135.399,6.5233,1715951,0.0,1.0,TOTS3
2010-09-09,138.0675,138.396,134.1255,138.396,6.6677,3731705,0.0,1.0,TOTS3
2010-09-10,136.515,140.388,136.515,138.396,6.6677,1666236,0.0,1.0,TOTS3
2010-09-13,137.4105,141.384,137.4105,139.0935,6.7013,1559271,0.0,1.0,TOTS3
2010-09-14,139.3725,140.2875,137.769,139.392,6.7157,1078684,0.0,1.0,TOTS3
2010-09-15,139.392,139.392,138.4065,139.392,6.7157,1150998,0.0,1.0,TOTS3
2010-09-16,139.392,139.392,136.9125,137.2815,6.614,468534,0.0,1.0,TOTS3
2010-09-17,137.271,141.0555,133.776,134.4135,6.4759,1200714,0.0,1.0,TOTS3
2010-09-20,134.433,136.395,134.433,135.4095,6.5238,1214273,0.0,1.0,TOTS3
2010-09-21,136.305,136.305,132.2235,132.2235,6.3704,2205578,0.0,1.0,TOTS3
2010-09-22,133.4175,134.4045,132.0345,132.4125,6.3795,2259,0.0,1.0,TOTS3
2010-09-23,132.0735,132.423,128.4405,131.2275,6.3224,1312198,0.0,1.0,TOTS3
2010-09-24,131.427,134.4135,129.5445,130.431,6.284,1277548,0.0,1.0,TOTS3
2010-09-27,130.431,130.929,129.0375,130.68,6.296,1191675,0.0,1.0,TOTS3
2010-09-28,131.5665,131.5665,127.4445,127.4445,6.1401,2021780,0.0,1.0,TOTS3
2010-09-29,125.652,127.4445,124.059,124.059,5.977,4302685,0.0,1.0,TOTS3
2010-09-30,124.188,129.336,123.999,129.336,6.2312,2857911,0.0,1.0,TOTS3
2010-10-01,129.3255,133.8165,128.4495,133.4085,6.4274,3537361,0.0,1.0,TOTS3
2010-10-04,135.2595,136.305,131.427,136.296,6.5666,2308023,0.0,1.0,TOTS3
2010-10-05,134.175,141.384,134.175,141.384,6.8117,4039040,0.0,1.0,TOTS3
2010-10-06,139.392,145.3665,137.4,137.4,6.6197,2600292,0.0,1.0,TOTS3
2010-10-07,136.0965,138.894,133.4175,137.4,6.6197,1574336,0.0,1.0,TOTS3
2010-10-08,135.201,140.388,135.201,139.3815,6.7152,604123,0.0,1.0,TOTS3
2010-10-11,142.3695,145.3455,140.079,145.068,6.9892,3968232,0.0,1.0,TOTS3
2010-10-13,145.0575,148.941,142.011,148.8405,7.1709,1731017,0.0,1.0,TOTS3
2010-10-14,149.2185,152.226,145.515,149.349,7.1954,2698217,0.0,1.0,TOTS3
2010-10-15,149.349,150.075,147.3765,149.3385,7.1949,1604467,0.0,1.0,TOTS3
2010-10-18,149.3385,149.3385,145.755,146.361,7.0515,1036501,0.0,1.0,TOTS3
2010-10-19,145.884,146.799,144.3,144.3705,6.9556,2133264,0.0,1.0,TOTS3
2010-10-20,144.3795,145.1775,143.424,144.171,6.946,1232351,0.0,1.0,TOTS3
2010-10-21,143.364,145.236,142.8675,144.3705,6.9556,1179622,0.0,1.0,TOTS3
2010-10-22,141.4035,144.3705,140.6265,144.3705,6.9556,573992,0.0,1.0,TOTS3
2010-10-25,144.39,144.39,141.384,141.483,6.8165,432377,0.0,1.0,TOTS3
2010-10-26,141.8805,144.072,141.6615,143.8725,6.9316,1731017,0.0,1.0,TOTS3
2010-10-27,143.8125,144.36,141.453,143.325,6.9052,4912835,0.0,1.0,TOTS3
2010-10-28,151.2405,153.8295,149.1795,149.349,7.1954,6660424,0.0,1.0,TOTS3
2010-10-29,146.859,156.318,144.4905,156.318,7.5312,2012740,0.0,1.0,TOTS3
2010-11-01,151.638,159.8025,150.3435,159.3045,7.6751,1327263,0.0,1.0,TOTS3
2010-11-03,160.2915,163.596,156.3075,161.7945,7.795,2086561,0.0,1.0,TOTS3
2010-11-04,159.3255,164.274,157.434,160.3005,7.7231,1028968,0.0,1.0,TOTS3
2010-11-05,163.179,163.179,156.657,159.3045,7.6751,670411,0.0,1.0,TOTS3
2010-11-08,156.966,156.966,151.848,151.848,7.3158,16654827,0.0,1.0,TOTS3
2010-11-09,152.3355,152.8335,150.603,151.3305,7.2909,923510,0.0,1.0,TOTS3
2010-11-10,150.8025,152.316,147.228,147.228,7.0932,1694860,0.0,1.0,TOTS3
2010-11-11,154.3275,154.3275,149.349,149.847,7.2194,4112861,0.0,1.0,TOTS3
2010-11-12,149.6475,149.946,146.013,146.361,7.0515,1859073,0.0,1.0,TOTS3
2010-11-16,146.361,150.8325,145.5345,147.357,7.0995,3498191,0.0,1.0,TOTS3
2010-11-17,149.349,153.8295,149.349,153.8295,7.4113,1398071,0.0,1.0,TOTS3
2010-11-18,153.8295,159.3045,152.3655,158.7975,7.6507,3492165,0.0,1.0,TOTS3
2010-11-19,158.778,161.286,155.322,159.3045,7.6751,1078684,0.0,1.0,TOTS3
2010-11-22,160.311,161.037,158.409,159.8025,7.6991,1691847,0.0,1.0,TOTS3
2010-11-23,157.1145,157.314,153.879,154.3275,7.4353,1236871,0.0,1.0,TOTS3
2010-11-24,158.031,161.286,157.404,160.6995,7.7423,3073346,0.0,1.0,TOTS3
2010-11-25,160.6995,163.2885,157.353,163.128,7.8593,1919335,0.0,1.0,TOTS3
2010-11-26,164.094,164.094,159.3045,163.2885,7.867,1114841,0.0,1.0,TOTS3
2010-11-29,163.2885,164.274,157.623,162.063,7.808,2023286,0.0,1.0,TOTS3
2010-11-30,162.282,170.586,160.818,169.62,8.1721,25709147,0.0,1.0,TOTS3
2010-12-01,171.2535,171.2535,162.6015,164.283,7.9149,4670281,0.0,1.0,TOTS3
2010-12-02,163.7955,174.24,163.7955,173.7315,8.3702,3427384,0.0,1.0,TOTS3
2010-12-03,173.235,175.2255,172.0395,175.2255,8.4421,1000344,0.0,1.0,TOTS3
2010-12-06,175.236,178.7205,170.6055,178.7205,8.6105,1477918,0.0,1.0,TOTS3
2010-12-07,177.057,179.7165,173.7615,178.1235,8.5818,4480457,0.0,1.0,TOTS3
2010-12-08,176.5395,181.1895,173.244,173.244,8.3467,1440254,0.0,1.0,TOTS3
2010-12-09,174.2595,177.2175,173.742,174.24,8.3946,531809,0.0,1.0,TOTS3
2010-12-10,175.983,176.52,174.3795,175.236,8.4426,1176609,0.0,1.0,TOTS3
2010-12-13,174.5685,176.7195,173.244,173.244,8.3467,937069,0.0,1.0,TOTS3
2010-12-14,173.742,174.24,172.3485,173.244,8.3467,388687,0.0,1.0,TOTS3
2010-12-15,173.523,173.643,169.2615,169.2615,8.1548,1114841,0.0,1.0,TOTS3
2010-12-16,171.2625,173.841,169.1925,170.2575,8.2028,2463196,0.0,1.0,TOTS3
2010-12-17,171.7515,171.7515,167.271,169.2615,8.1548,1776213,0.0,1.0,TOTS3
2010-12-20,169.2615,174.0405,167.271,167.271,8.0589,2014247,0.0,1.0,TOTS3
2010-12-21,168.5655,172.11,168.2655,170.0775,8.4099,1691847,0.2861,1.0,TOTS3
2010-12-22,169.8,169.8,162.7005,164.283,8.1233,3382187,0.0,1.0,TOTS3
2010-12-23,164.283,170.2575,163.2885,170.2575,8.4188,577005,0.0,1.0,TOTS3
2010-12-27,168.276,168.2955,167.0805,167.5695,8.2858,119016,0.0,1.0,TOTS3
2010-12-28,168.8535,168.8535,164.1045,166.6725,8.2415,326919,0.0,1.0,TOTS3
2010-12-29,168.864,170.526,166.3845,166.5435,8.2351,186811,0.0,1.0,TOTS3
2010-12-30,169.2525,172.248,167.4105,168.2655,8.3203,912964,0.0,1.0,TOTS3
2011-01-03,164.283,174.24,164.283,173.244,8.5664,573992,0.0,1.0,TOTS3
2011-01-04,174.2295,174.2295,170.865,171.2535,8.468,667398,0.0,1.0,TOTS3
2011-01-05,172.2195,172.548,168.8535,169.2615,8.3695,476067,0.0,1.0,TOTS3
2011-01-06,170.2575,170.406,167.769,168.7635,8.3449,705061,0.0,1.0,TOTS3
2011-01-07,169.2525,170.3475,166.5435,167.769,8.2957,1413136,0.0,1.0,TOTS3
2011-01-10,169.6695,174.0105,168.8235,173.1345,8.561,1250430,0.0,1.0,TOTS3
2011-01-11,173.1345,174.141,171.2535,172.05,8.5074,890366,0.0,1.0,TOTS3
2011-01-12,172.956,175.5735,172.149,174.5385,8.6304,2502367,0.0,1.0,TOTS3
2011-01-13,173.2545,175.236,173.2545,174.141,8.6108,837637,0.0,1.0,TOTS3
2011-01-14,173.2545,175.236,171.8505,171.8505,8.4975,628228,0.0,1.0,TOTS3
2011-01-17,172.5675,174.2295,171.711,172.248,8.5172,275697,0.0,1.0,TOTS3
2011-01-18,172.248,178.7205,172.248,178.7205,8.8372,861742,0.0,1.0,TOTS3
2011-01-19,178.761,179.2185,175.962,177.7245,8.788,599603,0.0,1.0,TOTS3
2011-01-20,177.7245,178.989,170.2575,170.2575,8.4188,1559271,0.0,1.0,TOTS3
2011-01-21,171.96,173.244,167.271,167.271,8.2711,549888,0.0,1.0,TOTS3
2011-01-24,167.271,170.775,167.271,170.2575,8.4188,762310,0.0,1.0,TOTS3
2011-01-26,171.2325,173.244,170.466,172.05,8.5074,1816890,0.0,1.0,TOTS3
2011-01-27,172.0395,172.248,167.271,167.271,8.2711,580018,0.0,1.0,TOTS3
2011-01-28,166.782,167.271,154.5255,156.8655,7.7566,1988636,0.0,1.0,TOTS3
2011-01-31,158.727,161.526,157.0245,161.2965,7.9757,2101626,0.0,1.0,TOTS3
2011-02-01,163.2885,170.2575,159.1665,169.311,8.372,12986,0.0,1.0,TOTS3
2011-02-02,167.6085,171.4515,162.93,162.93,8.0564,1042527,0.0,1.0,TOTS3
2011-02-03,162.2925,169.242,162.2925,163.776,8.0983,4775,0.0,1.0,TOTS3
2011-02-04,160.5405,162.681,157.314,157.314,7.7787,1462852,0.0,1.0,TOTS3
2011-02-07,156.408,157.812,155.133,155.133,7.6709,281723,0.0,1.0,TOTS3
2011-02-08,154.3275,158.31,153.8295,154.3275,7.6311,6990,0.0,1.0,TOTS3
2011-02-09,156.318,161.2965,149.4585,153.3315,7.5818,1233858,0.0,1.0,TOTS3
2011-02-10,154.5465,154.5465,145.3665,145.3665,7.188,1907282,0.0,1.0,TOTS3
2011-02-11,146.361,152.3355,141.5025,151.848,7.5085,3196883,0.0,1.0,TOTS3
2011-02-14,152.3355,161.2965,150.4035,161.2965,7.9757,1322744,0.0,1.0,TOTS3
2011-02-15,162.2925,164.283,159.912,163.2885,8.0742,1699379,0.0,1.0,TOTS3
2011-02-16,160.998,165.279,159.0555,165.279,8.1726,893379,0.0,1.0,TOTS3
2011-02-17,163.836,166.773,162.7005,165.03,8.1603,1715951,0.0,1.0,TOTS3
2011-02-18,163.377,164.3835,159.8025,162.969,8.0584,858729,0.0,1.0,TOTS3
2011-02-21,163.2585,163.2885,159.3045,159.8025,7.9018,149147,0.0,1.0,TOTS3
2011-02-22,157.005,163.2075,155.4015,157.314,7.7787,1104295,0.0,1.0,TOTS3
2011-02-23,157.812,161.256,154.4865,154.4865,7.6389,406766,0.0,1.0,TOTS3
2011-02-24,154.4865,154.4865,154.4865,154.4865,7.6389,0,0.0,1.0,TOTS3
2011-02-25,154.5255,154.5255,150.354,151.3395,7.4833,700542,0.0,1.0,TOTS3
