,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2010-07-13,0.58,0.59,0.57,0.59,0.5409,2455069,0.0,1.0,UNIP6
2010-07-14,0.59,0.59,0.57,0.58,0.5317,1159530,0.0,1.0,UNIP6
2010-07-15,0.58,0.58,0.57,0.58,0.5317,497358,0.0,1.0,UNIP6
2010-07-16,0.58,0.58,0.57,0.57,0.5225,836493,0.0,1.0,UNIP6
2010-07-19,0.58,0.58,0.57,0.58,0.5317,232755,0.0,1.0,UNIP6
2010-07-20,0.57,0.6,0.57,0.59,0.5409,1109545,0.0,1.0,UNIP6
2010-07-21,0.59,0.6,0.57,0.58,0.5317,7004500,0.0,1.0,UNIP6
2010-07-22,0.59,0.63,0.57,0.58,0.5317,22288986,0.0,1.0,UNIP6
2010-07-23,0.6,0.61,0.58,0.59,0.5409,5712932,0.0,1.0,UNIP6
2010-07-26,0.59,0.6,0.58,0.59,0.5409,3488235,0.0,1.0,UNIP6
2010-07-27,0.59,0.6,0.58,0.58,0.5317,1543450,0.0,1.0,UNIP6
2010-07-28,0.59,0.61,0.58,0.59,0.5409,6018215,0.0,1.0,UNIP6
2010-07-29,0.59,0.61,0.59,0.6,0.55,923721,0.0,1.0,UNIP6
2010-07-30,0.6,0.6,0.59,0.59,0.5409,1221065,0.0,1.0,UNIP6
2010-08-02,0.6,0.61,0.59,0.6,0.55,1777328,0.0,1.0,UNIP6
2010-08-03,0.6,0.61,0.59,0.6,0.55,1840572,0.0,1.0,UNIP6
2010-08-04,0.61,0.71,0.59,0.67,0.6142,41000252,0.0,1.0,UNIP6
2010-08-05,0.7,0.74,0.68,0.68,0.6233,22827952,0.0,1.0,UNIP6
2010-08-06,0.69,0.72,0.67,0.69,0.6325,9738935,0.0,1.0,UNIP6
2010-08-09,0.7,0.72,0.69,0.69,0.6325,5031252,0.0,1.0,UNIP6
2010-08-10,0.69,0.71,0.66,0.71,0.6509,5748385,0.0,1.0,UNIP6
2010-08-11,0.72,0.83,0.72,0.81,0.7425,38718236,0.0,1.0,UNIP6
2010-08-12,0.8,0.81,0.68,0.69,0.6325,33505648,0.0,1.0,UNIP6
2010-08-13,0.71,0.74,0.67,0.69,0.6325,22265598,0.0,1.0,UNIP6
2010-08-16,0.69,0.71,0.66,0.67,0.6142,7388419,0.0,1.0,UNIP6
2010-08-17,0.68,0.7,0.67,0.68,0.6233,5100902,0.0,1.0,UNIP6
2010-08-18,0.68,0.69,0.67,0.68,0.6233,2104344,0.0,1.0,UNIP6
2010-08-19,0.68,0.73,0.68,0.72,0.66,15150308,0.0,1.0,UNIP6
2010-08-20,0.72,0.75,0.7,0.73,0.6692,12284194,0.0,1.0,UNIP6
2010-08-23,0.73,0.74,0.7,0.72,0.66,2263228,0.0,1.0,UNIP6
2010-08-24,0.71,0.72,0.69,0.7,0.6417,5346364,0.0,1.0,UNIP6
2010-08-25,0.7,0.71,0.66,0.67,0.6142,10100233,0.0,1.0,UNIP6
2010-08-26,0.68,0.69,0.63,0.65,0.5958,12761615,0.0,1.0,UNIP6
2010-08-27,0.65,0.67,0.64,0.65,0.5958,4273728,0.0,1.0,UNIP6
2010-08-30,0.66,0.66,0.62,0.64,0.5867,2494136,0.0,1.0,UNIP6
2010-08-31,0.64,0.65,0.63,0.63,0.5775,3898855,0.0,1.0,UNIP6
2010-09-01,0.64,0.66,0.63,0.64,0.5867,4905705,0.0,1.0,UNIP6
2010-09-02,0.65,0.65,0.64,0.64,0.5867,2434935,0.0,1.0,UNIP6
2010-09-03,0.64,0.65,0.63,0.64,0.5867,8924141,0.0,1.0,UNIP6
2010-09-06,0.64,0.65,0.63,0.64,0.5867,1925822,0.0,1.0,UNIP6
2010-09-08,0.64,0.65,0.63,0.65,0.5958,3250064,0.0,1.0,UNIP6
2010-09-09,0.65,0.69,0.64,0.67,0.6142,12406485,0.0,1.0,UNIP6
2010-09-10,0.68,0.7,0.65,0.66,0.605,8972179,0.0,1.0,UNIP6
2010-09-13,0.66,0.68,0.66,0.66,0.605,5308121,0.0,1.0,UNIP6
2010-09-14,0.67,0.67,0.65,0.66,0.605,1442129,0.0,1.0,UNIP6
2010-09-15,0.66,0.68,0.65,0.65,0.5958,9575180,0.0,1.0,UNIP6
2010-09-16,0.65,0.66,0.64,0.65,0.5958,3499741,0.0,1.0,UNIP6
2010-09-17,0.65,0.66,0.64,0.65,0.5958,3190098,0.0,1.0,UNIP6
2010-09-20,0.65,0.65,0.61,0.62,0.5683,11409291,0.0,1.0,UNIP6
2010-09-21,0.62,0.63,0.6,0.61,0.5592,9401815,0.0,1.0,UNIP6
2010-09-22,0.61,0.61,0.58,0.59,0.5409,14281816,0.0,1.0,UNIP6
2010-09-23,0.59,0.6,0.58,0.6,0.55,8400876,0.0,1.0,UNIP6
2010-09-24,0.6,0.62,0.59,0.6,0.55,9452612,0.0,1.0,UNIP6
2010-09-27,0.61,0.64,0.6,0.63,0.5775,13119976,0.0,1.0,UNIP6
2010-09-28,0.63,0.64,0.61,0.61,0.5592,8429188,0.0,1.0,UNIP6
2010-09-29,0.61,0.63,0.6,0.62,0.5683,3807524,0.0,1.0,UNIP6
2010-09-30,0.61,0.64,0.61,0.63,0.5775,9810243,0.0,1.0,UNIP6
